,modality,embedding_type,loss
0,visual,random,358.37218671378906
1,visual,autoencoder,278.44361295532195
2,visual,contrastive+autoencoder,284.0270662456283
3,auditory,random,3021.750923628049
4,auditory,autoencoder,1961.7602998067603
5,auditory,contrastive+autoencoder,2317.3532926324574
6,kinesthetic,random,821.0376533753322
7,kinesthetic,autoencoder,718.7564145649292
8,kinesthetic,contrastive+autoencoder,705.2899735226825
9,visual,random,354.6877293550642
10,visual,autoencoder,273.2284812823432
11,visual,contrastive+autoencoder,283.3100588063545
12,auditory,random,2964.9074259773897
13,auditory,autoencoder,2374.0055931172856
14,auditory,contrastive+autoencoder,2219.64792869015
15,kinesthetic,random,846.2709366620874
16,kinesthetic,autoencoder,679.8589091878509
17,kinesthetic,contrastive+autoencoder,697.9789836341157
18,visual,random,356.6223253939628
19,visual,autoencoder,268.560808309087
20,visual,contrastive+autoencoder,283.9671017594115
21,auditory,random,3008.607479146367
22,auditory,autoencoder,2128.6733281567926
23,auditory,contrastive+autoencoder,2313.9609086654355
24,kinesthetic,random,848.9937357992058
25,kinesthetic,autoencoder,675.0201548175584
26,kinesthetic,contrastive+autoencoder,729.5562211999847
27,visual,random,349.90867572469085
28,visual,autoencoder,272.77463952851315
29,visual,contrastive+autoencoder,280.00985089299166
30,auditory,random,3044.7944522277344
31,auditory,autoencoder,1701.3456513849344
32,auditory,contrastive+autoencoder,2137.1351624934173
33,kinesthetic,random,828.9120557602611
34,kinesthetic,autoencoder,694.063527841161
35,kinesthetic,contrastive+autoencoder,699.7283859171802
36,visual,random,361.90185020403385
37,visual,autoencoder,278.5162813539395
38,visual,contrastive+autoencoder,291.1236819504526
39,auditory,random,2699.8138955944664
40,auditory,autoencoder,2173.611495586758
41,auditory,contrastive+autoencoder,2296.20597571904
42,kinesthetic,random,845.6685054749399
43,kinesthetic,autoencoder,697.0528644564973
44,kinesthetic,contrastive+autoencoder,711.8507139323829
45,visual,random,354.10739237720753
46,visual,autoencoder,264.28744469633386
47,visual,contrastive+autoencoder,282.52876148808963
48,auditory,random,2740.388400210905
49,auditory,autoencoder,1988.7600448847888
50,auditory,contrastive+autoencoder,2286.412597922665
51,kinesthetic,random,805.8687790673232
52,kinesthetic,autoencoder,703.1205220524898
53,kinesthetic,contrastive+autoencoder,715.950870882786
54,visual,random,352.95247704758486
55,visual,autoencoder,269.7862880194269
56,visual,contrastive+autoencoder,284.52571797840227
57,auditory,random,2969.3771557065133
58,auditory,autoencoder,2144.4753975315766
59,auditory,contrastive+autoencoder,2507.5790779743215
60,kinesthetic,random,824.445635756584
61,kinesthetic,autoencoder,692.894714279443
62,kinesthetic,contrastive+autoencoder,758.5969356293353
63,visual,random,355.9083986117102
64,visual,autoencoder,270.84447285229396
65,visual,contrastive+autoencoder,281.1308925055047
66,auditory,random,2803.6396665302186
67,auditory,autoencoder,2003.6546379582387
68,auditory,contrastive+autoencoder,2242.2109707983445
69,kinesthetic,random,809.5043758421464
70,kinesthetic,autoencoder,669.7286091492977
71,kinesthetic,contrastive+autoencoder,718.907740384614
72,visual,random,353.7005718471357
73,visual,autoencoder,269.8686308993036
74,visual,contrastive+autoencoder,279.78858353411755
75,auditory,random,2806.4569215883325
76,auditory,autoencoder,2089.775349009992
77,auditory,contrastive+autoencoder,2073.548748902336
78,kinesthetic,random,830.2865843718072
79,kinesthetic,autoencoder,708.5554700373614
80,kinesthetic,contrastive+autoencoder,701.3628330777223
81,visual,random,360.34396438916036
82,visual,autoencoder,273.51936484548156
83,visual,contrastive+autoencoder,283.46430675829
84,auditory,random,2676.650376458468
85,auditory,autoencoder,1807.384844316716
86,auditory,contrastive+autoencoder,2156.9734760292517
87,kinesthetic,random,819.6189361509348
88,kinesthetic,autoencoder,721.5265558630166
89,kinesthetic,contrastive+autoencoder,735.6498013374534
90,visual,random,358.1696077406601
91,visual,autoencoder,257.1627301914652
92,visual,contrastive+autoencoder,276.6775229342075
93,auditory,random,2997.3417198489446
94,auditory,autoencoder,1997.297734819381
95,auditory,contrastive+autoencoder,2114.744063262686
96,kinesthetic,random,845.2064654873378
97,kinesthetic,autoencoder,655.9451208716234
98,kinesthetic,contrastive+autoencoder,686.1772139435996
99,visual,random,361.55329051919006
100,visual,autoencoder,263.47167370425166
101,visual,contrastive+autoencoder,284.1792549823336
102,auditory,random,2713.851626165873
103,auditory,autoencoder,1946.7852454930974
104,auditory,contrastive+autoencoder,2113.881097783589
105,kinesthetic,random,845.9330879160427
106,kinesthetic,autoencoder,695.8965024166309
107,kinesthetic,contrastive+autoencoder,716.1278386443407
108,visual,random,349.9400589685585
109,visual,autoencoder,272.26977607399704
110,visual,contrastive+autoencoder,280.37355190475193
111,auditory,random,2757.8409020869835
112,auditory,autoencoder,1713.6755166222376
113,auditory,contrastive+autoencoder,2184.1703731023263
114,kinesthetic,random,782.902195233564
115,kinesthetic,autoencoder,673.8805317023092
116,kinesthetic,contrastive+autoencoder,721.4043610101683
117,visual,random,354.375378105953
118,visual,autoencoder,268.7108195401387
119,visual,contrastive+autoencoder,284.8601551479953
120,auditory,random,2696.2840236420775
121,auditory,autoencoder,2081.142447807461
122,auditory,contrastive+autoencoder,2304.830189146453
123,kinesthetic,random,789.3063943771856
124,kinesthetic,autoencoder,706.8025221340966
125,kinesthetic,contrastive+autoencoder,711.1840621159212
126,visual,random,354.54124591611577
127,visual,autoencoder,265.01242325811415
128,visual,contrastive+autoencoder,293.27445112784596
129,auditory,random,2876.300866761301
130,auditory,autoencoder,2471.8562094680115
131,auditory,contrastive+autoencoder,2235.389132897234
132,kinesthetic,random,824.9148191228838
133,kinesthetic,autoencoder,748.4156041622463
134,kinesthetic,contrastive+autoencoder,702.3520048338304
135,visual,random,367.5647492936806
136,visual,autoencoder,271.38255851150444
137,visual,contrastive+autoencoder,285.8444207254554
138,auditory,random,2561.887634830075
139,auditory,autoencoder,1989.1439945364357
140,auditory,contrastive+autoencoder,2250.5582356145255
141,kinesthetic,random,825.839438505569
142,kinesthetic,autoencoder,663.2342615947302
143,kinesthetic,contrastive+autoencoder,757.9486464029866
144,visual,random,354.36930689074075
145,visual,autoencoder,270.41668135965756
146,visual,contrastive+autoencoder,283.8624169595363
147,auditory,random,2649.6466115170583
148,auditory,autoencoder,1907.6025900522002
149,auditory,contrastive+autoencoder,2197.407466071017
150,kinesthetic,random,825.1403725155934
151,kinesthetic,autoencoder,709.2187491234516
152,kinesthetic,contrastive+autoencoder,710.373739058913
153,visual,random,359.98995786618343
154,visual,autoencoder,279.35937846080196
155,visual,contrastive+autoencoder,287.0886659224963
156,auditory,random,2693.1680159377843
157,auditory,autoencoder,1942.3566566459049
158,auditory,contrastive+autoencoder,2232.5181032856344
159,kinesthetic,random,821.5924016218733
160,kinesthetic,autoencoder,666.5229011585371
161,kinesthetic,contrastive+autoencoder,702.6869586128172
162,visual,random,359.13381652233846
163,visual,autoencoder,267.2066950654807
164,visual,contrastive+autoencoder,286.849070423118
165,auditory,random,2818.2520110980663
166,auditory,autoencoder,1829.487809853582
167,auditory,contrastive+autoencoder,2225.3112020045883
168,kinesthetic,random,852.0394865840332
169,kinesthetic,autoencoder,672.2696488153678
