,time,signal,type,query,choice
0,374.48158955574036,searching,auditory,"864,193,562",3
1,391.2215518951416,searching,visual,"4325,3328,3184",0
2,398.8982267379761,searching,auditory,"94,192,612",1
3,420.8302438259125,searching,kinesthetic,"1860,1909,478",0
4,425.3406159877777,searching,kinesthetic,"1860,110,105",3
5,449.3027231693268,searching,kinesthetic,"1453,93,514",3
6,464.94906187057495,searching,kinesthetic,"1044,762,1754",3
7,485.8406698703766,searching,kinesthetic,"366,1299,1858",3
8,647.0086057186127,has_item,visual,"3667,4581,4697",3
9,699.0389239788055,has_item,visual,"612,1542,1871",3
10,703.0314199924469,has_item,visual,"5076,4940,2358",3
11,717.1615414619446,has_item,visual,"5076,4940,2358",3
12,723.0000188350677,has_item,visual,"2963,3900,4578",3
13,727.3013837337494,has_item,visual,"2963,3900,4578",3
14,729.1426527500153,has_item,visual,"3885,1130,4797",3
15,731.6149942874908,has_item,visual,"3467,3266,1199",3
16,744.8102486133575,has_item,visual,"1799,525,5543",3
17,800.7228174209595,has_item,visual,"1355,2064,236",3
18,802.2565224170685,has_item,visual,"4937,4705,1689",3
19,804.1004776954651,has_item,visual,"5765,812,4040",3
20,805.6398231983185,has_item,visual,"1118,4557,300",3
21,806.7619295120239,has_item,visual,"4230,2738,4799",3
22,809.0146923065186,has_item,visual,"2470,3820,2831",3
23,810.8597860336304,has_item,visual,"2176,2383,2037",3
24,812.3987548351288,has_item,visual,"1381,3926,5402",3
25,814.5454778671265,has_item,visual,"1363,5885,5753",3
26,816.0827293395996,has_item,visual,"1363,5885,5753",3
27,817.9257967472076,has_item,visual,"1866,998,4297",3
28,819.4732048511505,has_item,visual,"3526,5535,3531",3
29,820.6920628547668,has_item,visual,"3796,5640,5467",3
30,824.0699768066406,has_item,visual,"1630,2604,2666",3
31,825.2972588539124,has_item,visual,"1764,390,2398",3
32,826.4542937278748,has_item,visual,"1458,4476,5801",3
33,827.3929438591003,has_item,visual,"5688,724,2409",3
34,828.983457326889,has_item,visual,"128,1278,4704",3
35,830.4071426391602,has_item,visual,"2453,5712,4409",3
36,831.4560794830322,has_item,visual,"3736,490,4896",3
37,832.567883014679,has_item,visual,"4264,5236,4181",3
38,836.6634018421173,has_item,visual,"945,2651,1589",3
39,838.302232503891,has_item,visual,"5464,2898,3414",3
40,839.4317352771759,has_item,visual,"5425,5697,4785",3
41,840.9654664993286,has_item,visual,"1476,1023,4399",3
42,842.1951582431793,has_item,visual,"22,4024,2381",3
43,843.9327082633972,has_item,visual,"4330,2077,2888",3
44,846.595950126648,has_item,visual,"5233,5156,1153",3
45,1002.8586394786835,has_item,kinesthetic,"967,133,2093",2
46,1006.5439941883087,has_item,visual,"5233,4576,1730",0
47,1006.8812940120697,has_item,auditory,"316,668,188",0
48,1021.4136543273926,has_item,kinesthetic,"843,2017,2093",2
