,time,signal,type,phrase,results
0,26.949652194976807,searching,Audio, ,"169,676,432,809,773,193,31,661,552,340,37,44,215,180,343,261,498,56,194,6,560,653,280,553,401,642,192,242,24,749,220,8,30,782,1,87,620,829,663,719,655,832,579,618,699,665,484,641,595,485,187,395,530,270,361,425,843,603,720,439,815,326,349,59,646,333,694,212,564,387,262,353,605,837,768,7,462,241,173,255,741,339,851,685,185,716,362,84,715,136,112,759,174,613,707,821,184,22,592,736"
1,30.414082765579224,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
2,35.312121868133545,searching,Video, ,"29,5728,5723,4404,780,862,1861,1451,711,2198,1199,619,5745,5756,88,4396,2880,1070,2599,1171,1028,1040,788,1423,3422,354,2913,4413,996,455,314,379,882,1269,380,5771,650,4386,2551,1154,3861,812,770,997,1429,2179,1905,847,4416,65,641,2246,2033,3342,4415,2923,1664,126,3419,2471,5631,4390,2260,1705,5797,4394,5087,643,4424,715,577,2662,2052,1523,44,3423,4378,4940,5473,1027,5465,2006,1970,2399,3580,4756,5256,527,3429,1812,2043,268,1498,5058,63,648,5770,3574,1368,4414"
3,78.45654392242432,searching,Video, ,"29,5728,5723,4404,780,862,1861,1451,711,2198,1199,619,5745,5756,88,4396,2880,1070,2599,1171,1028,1040,788,1423,3422,354,2913,4413,996,455,314,379,882,1269,380,5771,650,4386,2551,1154,3861,812,770,997,1429,2179,1905,847,4416,65,641,2246,2033,3342,4415,2923,1664,126,3419,2471,5631,4390,2260,1705,5797,4394,5087,643,4424,715,577,2662,2052,1523,44,3423,4378,4940,5473,1027,5465,2006,1970,2399,3580,4756,5256,527,3429,1812,2043,268,1498,5058,63,648,5770,3574,1368,4414"
4,96.59353756904602,searching,Video, ,"169,676,432,809,773,193,31,661,552,340,37,44,215,180,343,261,498,56,194,6,560,653,280,553,401,642,192,242,24,749,220,8,30,782,1,87,620,829,663,719,655,832,579,618,699,665,484,641,595,485,187,395,530,270,361,425,843,603,720,439,815,326,349,59,646,333,694,212,564,387,262,353,605,837,768,7,462,241,173,255,741,339,851,685,185,716,362,84,715,136,112,759,174,613,707,821,184,22,592,736"
5,119.00422358512878,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
6,159.25344443321228,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
7,185.36737442016602,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
8,198.98520016670227,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
9,244.45633244514465,searching,Movement, ,"1506,1509,1510,1560,1512,1508,1513,1505,1507,1261,1257,1561,1511,1263,1514,1258,1564,1264,1555,1256,1259,1260,1255,1559,1308,1563,1556,1639,1387,1558,1382,1557,1137,1262,1309,1383,1305,1388,1562,1632,1634,1006,1314,1310,1384,1311,1005,1312,1689,1438,1009,1524,884,1520,1132,682,1306,1133,881,1393,1187,1138,632,1271,1307,880,1437,1637,1188,1008,1392,1635,1758,1882,1443,1250,931,1630,1059,1394,1056,1523,1389,1681,883,688,1684,1274,1680,1638,882,1521,557,1055,1432,1434,1433,1183,934,1633"
