,time,signal,type,phrase,results
0,204.20306253433228,has_item,Video, ,"3238,3358,145,5493,4731,752,4927,499,4277,4306,965,387,4016,5435,4278,4001,4116,48,1603,3106,2271,4750,4434,5453,4969,5611,5452,3510,895,3104,3291,1551,428,431,3167,4819,2177,3296,5735,5730,3129,3081,5469,3396,3066,5287,4977,3254,823,2772,4966,5472,2708,5459,1280,3171,5433,552,1207,1467,5767,4713,36,3041,2071,5632,495,1461,3069,2467,4425,3503,4712,2288,2652,5499,482,5468,4705,1048,2091,5076,2514,5271,3262,540,1176,3473,4408,2635,262,2454,5636,2428,3305,5753,2297,2776,3359,5073"
1,217.31132197380066,has_item,Video,Star,"499,3106,3104,3291,5730,5469,36,258,3525,106,426,4395,2555,4095,3517,1488,5786,4279"
2,233.38583970069885,has_item,Video,Box,"4434,4433,365,4439,4061,4053,330,685,3866,110,1370,4443,3722,5502,4729,3732,149,3044,2263,574,3727,4442,859,102,251,1197,4062,4130,3743,4055,4436,3505,3729,4039,2568,925,898,4052,4047,3730,3504,150,4435,4438,447,3734,5037,1994"
3,252.12702059745789,has_item,Movement, ,"2094,2093,2092,843,842,1969,967,1967,468,1966,467,844,1958,93,968,1965,2091,92,469,593,1959,1957,1968,1952,1974,94,1954,1972,2090,717,969,1956,2083,1973,592,594,2078,833,832,452,466,827,1953,77,91,848,847,98,78,1092,457,828,218,1844,2082,2077,2098,841,2097,1971,79,958,453,97,458,83,1951,99,2079,82,2084,1843,465,834,957,90,840,454,217,1842,473,1093,84,582,591,966,973,953,2099,451,472,1833,831,1832,583,474,952,219,76,1827"
4,334.1634225845337,has_item,Movement, ,"97,96,707,525,275,866,287,840,536,343,306,10,587,225,99,72,495,416,424,427,413,590,446,813,596,783,210,558,113,849,6,391,181,54,45,591,253,229,459,123,541,426,242,655,660,836,8,20,312,364,848,189,643,278,302,519,648,29,543,647,277,395,139,41,681,498,75,623,622,568,173,115,361,831,443,215,118,320,751,755,230,736,652,701,390,26,827,842,851,717,478,656,812,84,674,482,703,704,754,672"
5,383.6045413017273,has_item,Audio, ,"97,96,707,525,275,866,287,840,536,343,306,10,587,225,99,72,495,416,424,427,413,590,446,813,596,783,210,558,113,849,6,391,181,54,45,591,253,229,459,123,541,426,242,655,660,836,8,20,312,364,848,189,643,278,302,519,648,29,543,647,277,395,139,41,681,498,75,623,622,568,173,115,361,831,443,215,118,320,751,755,230,736,652,701,390,26,827,842,851,717,478,656,812,84,674,482,703,704,754,672"
6,481.29601287841797,has_information,Audio, ,"447,456,121,178,341,27,234,176,571,151,497,555,581,168,233,588,515,451,358,116,104,547,825,91,323,163,727,841,63,207,807,650,682,267,508,749,466,19,590,446,81,288,99,86,138,537,750,275,247,834,431,382,384,54,45,256,779,385,240,524,182,33,452,864,479,300,685,386,35,835,194,181,806,261,291,336,71,624,664,134,281,188,352,257,640,460,859,602,245,638,31,505,514,328,67,536,840,737,491,665"
7,482.83116722106934,has_information,Audio, ,"927,2653,1688,1242,5205,2329,719,497,1809,906,5521,1231,1762,2363,5530,3995,2336,2526,5054,273,2404,2123,317,3887,2463,4886,2833,2911,958,1179,3203,1484,1147,4882,2852,3345,517,892,1504,3120,1702,1377,4881,5394,1305,466,457,2729,477,4835,5031,1598,4562,97,4875,4099,2766,4914,1180,167,1052,280,4115,1655,2469,2166,1875,582,556,928,1486,3167,2797,875,545,2957,3204,24,874,2890,1056,979,4425,2919,650,200,802,1756,468,1307,4112,1078,2558,2842,1393,4344,1592,1705,4093,1694"
8,496.3502252101898,has_information,Video,Idea,"2363,2911,3203,2852,3120,3204,2558,2278,998,2435,2806,2752,3121,3053,2955,2337,2310,2910,3002,3004,3001,3003,108,686,284,0,2954,2807,2953,2753,2495,4462,2105,1621,237,3622"
9,517.5476908683777,has_information,Video,I lightbulb,
10,528.0935866832733,has_information,Video,light,"2363,3887,2911,3203,2852,3120,3204,2558,2278,998,2435,2806,2752,3121,3053,2955,2337,2310,2910,3002,3004,71,544,3234,2942,3001,5402,3003,108,5203,686,284,3757,4812,4995,3076,1115,0,3231,3178,2954,739,3892,2685,1405,2807,2953,2388,2799,3888,2753,3046,3143,3694,2664,4939,3899,2495,3224,41,5821,4462,728,2105,1536,3907,3904,3105,2941,1621,3890,2407,1076,4408,3893,4810,4490,3876,3884,3891,3194,757"
11,566.115763425827,has_information,Video,light,"447,456,121,178,341,27,234,176,571,151,497,555,581,168,233,588,515,451,358,116,104,547,825,91,323,163,727,841,63,207,807,650,682,267,508,749,466,19,590,446,81,288,99,86,138,537,750,275,247,834,431,382,384,54,45,256,779,385,240,524,182,33,452,864,479,300,685,386,35,835,194,181,806,261,291,336,71,624,664,134,281,188,352,257,640,460,859,602,245,638,31,505,514,328,67,536,840,737,491,665"
12,574.3778927326202,has_information,Audio,Alert,330
13,588.2025754451752,has_information,Audio,Help,
14,590.9672200679779,has_information,Audio,Help,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
15,592.5045320987701,has_information,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
16,717.4863202571869,has_information,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
17,801.7051048278809,searching,Movement, ,"1882,1883,1884,1880,1881,1631,1630,1888,1889,1639,1510,1637,1005,1886,1633,1930,1887,1506,1632,1636,1938,1638,1885,1931,1010,1686,1897,1878,1687,1000,1684,1015,1933,1505,1511,1899,1560,1634,1898,1509,1635,1894,1555,1514,1876,1019,1688,1937,1680,1895,1681,895,1939,1520,1879,1896,1877,1936,1689,1020,894,1006,1683,1685,1934,1940,1021,1646,1890,1645,1935,1513,1050,1521,1682,1932,1648,875,1626,1875,1561,1556,1260,884,1512,1625,880,1893,1001,1649,1508,1507,1263,1501,1941,1250,1564,1065,1647,1055"
18,802.9346580505371,searching,Movement, ,"927,2653,1688,1242,5205,2329,719,497,1809,906,5521,1231,1762,2363,5530,3995,2336,2526,5054,273,2404,2123,317,3887,2463,4886,2833,2911,958,1179,3203,1484,1147,4882,2852,3345,517,892,1504,3120,1702,1377,4881,5394,1305,466,457,2729,477,4835,5031,1598,4562,97,4875,4099,2766,4914,1180,167,1052,280,4115,1655,2469,2166,1875,582,556,928,1486,3167,2797,875,545,2957,3204,24,874,2890,1056,979,4425,2919,650,200,802,1756,468,1307,4112,1078,2558,2842,1393,4344,1592,1705,4093,1694"
19,809.3863813877106,searching,Video,Search,"4298,246,47,4865,4965,226,347,630,205,339,1666"
20,821.3661432266235,searching,Video,Search,"447,456,121,178,341,27,234,176,571,151,497,555,581,168,233,588,515,451,358,116,104,547,825,91,323,163,727,841,63,207,807,650,682,267,508,749,466,19,590,446,81,288,99,86,138,537,750,275,247,834,431,382,384,54,45,256,779,385,240,524,182,33,452,864,479,300,685,386,35,835,194,181,806,261,291,336,71,624,664,134,281,188,352,257,640,460,859,602,245,638,31,505,514,328,67,536,840,737,491,665"
