,signal,type,query,choice,pid
454,has_item,visual,"3727,5342,2357",0,9
556,has_item,kinesthetic,"107,238,1630",0,10
250,idle,auditory,"288,489,234",3,5
767,has_information,kinesthetic,"835,1961,1811",0,14
414,searching,auditory,"288,361,168",3,8
363,searching,auditory,"207,634,398",2,7
261,idle,visual,"2765,1004,2454",0,6
592,searching,auditory,"357,801,316",3,10
152,searching,auditory,"66,600,196",3,5
792,idle,visual,"722,2014,2177",0,17
497,has_information,visual,"4913,3088,5686",1,9
466,has_item,kinesthetic,"1167,1168,659",0,9
352,searching,visual,"5431,5442,3971",1,7
1004,has_item,visual,"3927,2453,1723",2,24
758,idle,auditory,"529,658,616",3,13
585,searching,auditory,"634,777,275",3,10
730,has_item,kinesthetic,"935,930,354",0,13
1038,idle,visual,"326,5185,1210",3,26
762,has_information,visual,"685,467,1367",1,14
498,has_information,visual,"2982,3088,1034",1,9
176,has_information,kinesthetic,"1371,793,1607",3,5
474,idle,visual,"5798,3549,3950",2,9
919,has_item,kinesthetic,"1142,2062,1193",2,22
129,has_information,visual,"3230,5776,4065",2,4
426,idle,auditory,"33,182,481",2,8
1029,searching,visual,"2198,1171,2276",0,25
702,idle,visual,"1985,1844,4673",3,12
742,searching,kinesthetic,"2024,1813,1749",2,13
447,has_item,kinesthetic,"1845,1460,196",0,8
31,has_information,auditory,"601,681,236",3,2
457,has_item,auditory,"605,662,218",3,9
439,has_item,visual,"395,2976,5676",3,8
830,has_information,auditory,"248,93,71",2,18
1008,idle,visual,"114,5587,4646",1,24
804,searching,visual,"4796,797,3587",0,17
790,has_item,auditory,"710,843,752",3,16
669,searching,visual,"36,3104,2699",0,11
361,searching,auditory,"268,735,216",0,7
835,searching,visual,"4325,3328,3184",0,19
582,searching,auditory,"221,314,452",3,10
943,has_information,visual,"954,2696,3321",0,22
555,has_item,kinesthetic,"107,108,2109",0,10
386,has_information,kinesthetic,"1025,1562,2003",3,8
974,idle,kinesthetic,"762,764,770",0,22
746,idle,visual,"4314,5893,2438",3,13
886,has_item,visual,"5077,3806,1084",0,22
682,has_information,visual,"2621,2867,5633",3,12
1064,searching,visual,"226,1289,5048",0,26
105,searching,visual,"5787,3682,2632",0,3
725,has_item,visual,"430,536,2187",3,13
434,idle,visual,"3777,194,490",3,8
478,searching,auditory,"288,602,678",2,9
101,searching,visual,"5604,5056,1297",0,3
543,has_item,visual,"3183,3817,4645",3,10
24,searching,visual,"3666,2912,5471",3,2
569,has_information,auditory,"384,740,299",3,10
864,has_item,visual,"1630,2604,2666",3,19
610,searching,auditory,"288,314,378",3,10
705,idle,visual,"1500,2107,5703",3,12
5,searching,kinesthetic,"363,359,1659",1,2
92,searching,kinesthetic,"1428,1448,792",1,3
1042,idle,kinesthetic,"1130,887,1181",2,26
1039,idle,visual,"326,5185,1210",0,26
196,has_item,auditory,"208,384,98",3,5
328,idle,auditory,"491,508,393",0,7
857,has_item,visual,"2176,2383,2037",3,19
483,has_information,visual,"3845,3691,2904",3,9
662,searching,visual,"5648,888,1071",2,11
611,searching,auditory,"288,332,142",3,10
657,searching,visual,"5655,5464,2812",1,11
540,idle,kinesthetic,"1355,1110,215",0,10
245,idle,auditory,"288,530,90",3,5
460,has_item,auditory,"819,518,577",2,9
547,has_item,auditory,"270,623,586",3,10
787,idle,auditory,"261,0,508",0,15
331,idle,kinesthetic,"386,2013,1468",0,7
783,has_information,auditory,"291,635,774",2,15
272,idle,kinesthetic,"1284,332,1293",2,6
286,searching,visual,"3441,1596,645",2,6
118,has_item,kinesthetic,"894,479,768",2,4
30,searching,visual,"3678,4522,252",3,2
125,has_information,kinesthetic,"1935,817,623",3,4
832,has_information,kinesthetic,"1343,1328,578",0,18
110,searching,visual,"5787,5781,4604",1,3
207,has_item,kinesthetic,"320,524,1274",3,5
912,has_item,auditory,"288,300,449",1,22
267,idle,auditory,"834,541,520",2,6
230,idle,auditory,"807,519,754",3,5
488,has_information,visual,"4822,1696,2411",3,9
810,has_item,kinesthetic,"1208,996,123",0,17
993,searching,kinesthetic,"1960,835,527",1,22
861,has_item,visual,"1866,998,4297",3,19
838,searching,kinesthetic,"1860,110,105",3,19
378,has_information,visual,"4437,4445,1014",0,7
96,searching,auditory,"275,99,257",0,3
796,idle,visual,"2228,1063,5114",2,17
333,idle,kinesthetic,"386,385,588",0,7
1058,searching,visual,"226,1289,5297",0,26
443,has_item,auditory,"547,288,779",0,8
878,has_item,visual,"5233,5156,1153",3,19
1041,idle,kinesthetic,"1175,681,1181",2,26
184,has_item,visual,"2902,5225,4536",3,5
727,has_item,auditory,"328,288,212",0,13
995,has_item,visual,"4562,43,1384",3,23
1069,has_information,visual,"519,155,5045",0,26
3,idle,visual,"4220,5561,4092",3,2
854,has_item,visual,"1118,4557,300",3,19
1014,idle,visual,"114,5587,5124",1,24
182,has_item,visual,"3180,2614,4466",3,5
785,idle,auditory,"261,178,611",0,15
926,has_item,auditory,"288,300,622",1,22
799,idle,visual,"4975,4143,1430",0,17
458,has_item,auditory,"3,231,256",3,9
566,has_information,auditory,"298,640,328",3,10
432,idle,visual,"1423,1880,3095",3,8
847,has_item,visual,"2963,3900,4578",3,19
769,has_information,visual,"685,830,420",1,14
911,has_item,auditory,"288,300,732",1,22
665,searching,visual,"1602,825,1960",1,11
221,idle,auditory,"312,633,445",3,5
190,has_item,visual,"1879,2855,5260",3,5
976,idle,kinesthetic,"762,764,880",0,22
899,has_item,visual,"5077,4889,1418",0,22
858,has_item,visual,"1381,3926,5402",3,19
119,idle,visual,"5254,1286,2126",3,4
991,searching,kinesthetic,"2086,2080,64",0,22
955,idle,visual,"1112,542,4155",2,22
322,idle,visual,"1447,2194,1918",1,7
291,searching,auditory,"848,522,818",1,6
661,searching,visual,"5648,1872,1071",2,11
305,has_item,visual,"5739,5053,4016",2,6
895,has_item,visual,"5077,1963,1572",0,22
17,searching,auditory,"783,804,15",3,2
223,idle,auditory,"584,85,471",3,5
284,searching,visual,"4013,2300,645",2,6
791,has_item,auditory,"645,843,752",0,16
815,searching,visual,"2375,1558,3127",0,18
808,searching,visual,"4796,907,4137",0,17
720,has_information,kinesthetic,"1536,1569,1549",2,13
841,searching,kinesthetic,"366,1299,1858",3,19
538,idle,kinesthetic,"1836,1460,1361",0,10
296,searching,auditory,"588,404,183",2,6
584,searching,auditory,"431,826,74",3,10
37,has_information,kinesthetic,"1921,2098,599",1,2
715,has_information,auditory,"38,562,423",0,13
199,has_item,auditory,"515,136,336",3,5
16,searching,auditory,"448,404,12",3,2
311,has_item,auditory,"609,712,314",2,6
168,has_information,auditory,"232,192,595",3,5
1045,searching,visual,"226,4937,3282",0,26
306,has_item,visual,"4277,5236,4016",2,6
978,searching,visual,"3030,3083,641",0,22
833,has_information,kinesthetic,"1343,1341,2094",0,18
294,searching,auditory,"108,478,390",1,6
726,has_item,auditory,"140,765,813",3,13
839,searching,kinesthetic,"1453,93,514",3,19
1012,idle,visual,"1502,5587,4041",1,24
944,has_information,visual,"954,5543,200",0,22
738,searching,auditory,"709,773,567",3,13
729,has_item,kinesthetic,"935,1075,551",3,13
1030,has_item,visual,"4415,4058,2684",0,25
451,has_item,visual,"4532,3668,4241",3,9
885,has_item,visual,"5077,3795,299",0,22
874,has_item,visual,"5425,5697,4785",3,19
565,has_information,auditory,"104,156,283",3,10
