modality,signal,embedding_type,embedding_size,metric,seed
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,0.75,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,0.5,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,idle,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,0.6666666865348816,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,0.75,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,0.4000000059604645,1
visual,searching,contrastive+autoencoder,16,1.0,1
visual,searching,contrastive+autoencoder,16,0.75,1
visual,searching,contrastive+autoencoder,16,0.5714285969734192,1
visual,has_item,contrastive+autoencoder,16,0.5,1
visual,has_item,contrastive+autoencoder,16,1.0,1
visual,has_item,contrastive+autoencoder,16,1.0,1
visual,has_item,contrastive+autoencoder,16,0.8333333134651184,1
visual,has_item,contrastive+autoencoder,16,1.0,1
visual,has_item,contrastive+autoencoder,16,0.0,1
visual,has_item,contrastive+autoencoder,16,1.0,1
visual,has_item,contrastive+autoencoder,16,0.8999999761581421,1
visual,has_item,contrastive+autoencoder,16,1.0,1
visual,has_item,contrastive+autoencoder,16,0.0,1
visual,has_item,contrastive+autoencoder,16,0.0,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,0.5,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,0.0,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,0.625,1
visual,has_information,contrastive+autoencoder,16,0.0,1
visual,has_information,contrastive+autoencoder,16,1.0,1
visual,has_information,contrastive+autoencoder,16,0.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,0.75,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,1.0,1
visual,idle,contrastive,16,0.800000011920929,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,0.6666666865348816,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,0.75,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,0.6000000238418579,1
visual,searching,contrastive,16,1.0,1
visual,searching,contrastive,16,0.0,1
visual,searching,contrastive,16,0.6428571343421936,1
visual,has_item,contrastive,16,0.5,1
visual,has_item,contrastive,16,1.0,1
visual,has_item,contrastive,16,1.0,1
visual,has_item,contrastive,16,0.8333333134651184,1
visual,has_item,contrastive,16,1.0,1
visual,has_item,contrastive,16,0.0,1
visual,has_item,contrastive,16,1.0,1
visual,has_item,contrastive,16,0.8999999761581421,1
visual,has_item,contrastive,16,1.0,1
visual,has_item,contrastive,16,0.0,1
visual,has_item,contrastive,16,0.0,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,0.5,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,0.0,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,0.625,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,1.0,1
visual,has_information,contrastive,16,0.0,1
visual,idle,autoencoder,16,0.6666666865348816,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,0.5,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,1.0,1
visual,idle,autoencoder,16,1.0,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,0.6666666865348816,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,0.75,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,0.6000000238418579,1
visual,searching,autoencoder,16,1.0,1
visual,searching,autoencoder,16,0.0,1
visual,searching,autoencoder,16,0.5714285969734192,1
visual,has_item,autoencoder,16,0.5,1
visual,has_item,autoencoder,16,1.0,1
visual,has_item,autoencoder,16,1.0,1
visual,has_item,autoencoder,16,0.8333333134651184,1
visual,has_item,autoencoder,16,1.0,1
visual,has_item,autoencoder,16,0.0,1
visual,has_item,autoencoder,16,1.0,1
visual,has_item,autoencoder,16,0.8999999761581421,1
visual,has_item,autoencoder,16,1.0,1
visual,has_item,autoencoder,16,0.0,1
visual,has_item,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,0.5,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,0.0,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,0.875,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,1.0,1
visual,has_information,autoencoder,16,0.0,1
visual,idle,random,16,0.6666666865348816,1
visual,idle,random,16,0.875,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,idle,random,16,1.0,1
visual,searching,random,16,1.0,1
visual,searching,random,16,1.0,1
visual,searching,random,16,1.0,1
visual,searching,random,16,0.6666666865348816,1
visual,searching,random,16,1.0,1
visual,searching,random,16,0.75,1
visual,searching,random,16,1.0,1
visual,searching,random,16,0.6000000238418579,1
visual,searching,random,16,1.0,1
visual,searching,random,16,0.0,1
visual,searching,random,16,0.0714285746216774,1
visual,has_item,random,16,0.5,1
visual,has_item,random,16,0.0,1
visual,has_item,random,16,1.0,1
visual,has_item,random,16,0.8333333134651184,1
visual,has_item,random,16,1.0,1
visual,has_item,random,16,0.0,1
visual,has_item,random,16,1.0,1
visual,has_item,random,16,0.8999999761581421,1
visual,has_item,random,16,0.6666666865348816,1
visual,has_item,random,16,0.5,1
visual,has_item,random,16,1.0,1
visual,has_information,random,16,1.0,1
visual,has_information,random,16,0.5,1
visual,has_information,random,16,0.25,1
visual,has_information,random,16,0.5,1
visual,has_information,random,16,1.0,1
visual,has_information,random,16,0.0,1
visual,has_information,random,16,0.0,1
visual,has_information,random,16,0.625,1
visual,has_information,random,16,1.0,1
visual,has_information,random,16,1.0,1
visual,has_information,random,16,0.0,1
auditory,idle,contrastive+autoencoder,16,0.0,1
auditory,idle,contrastive+autoencoder,16,0.5,1
auditory,idle,contrastive+autoencoder,16,1.0,1
auditory,idle,contrastive+autoencoder,16,0.9411764740943908,1
auditory,idle,contrastive+autoencoder,16,0.6666666865348816,1
auditory,idle,contrastive+autoencoder,16,0.0,1
auditory,idle,contrastive+autoencoder,16,1.0,1
auditory,idle,contrastive+autoencoder,16,1.0,1
auditory,searching,contrastive+autoencoder,16,0.6666666865348816,1
auditory,searching,contrastive+autoencoder,16,0.9473684430122375,1
auditory,searching,contrastive+autoencoder,16,0.6666666865348816,1
auditory,searching,contrastive+autoencoder,16,0.0,1
auditory,searching,contrastive+autoencoder,16,0.0,1
auditory,searching,contrastive+autoencoder,16,0.3333333432674408,1
auditory,searching,contrastive+autoencoder,16,1.0,1
auditory,searching,contrastive+autoencoder,16,0.5,1
auditory,searching,contrastive+autoencoder,16,1.0,1
auditory,searching,contrastive+autoencoder,16,0.5,1
auditory,has_item,contrastive+autoencoder,16,1.0,1
auditory,has_item,contrastive+autoencoder,16,0.5,1
auditory,has_item,contrastive+autoencoder,16,0.5,1
auditory,has_item,contrastive+autoencoder,16,0.0,1
auditory,has_item,contrastive+autoencoder,16,1.0,1
auditory,has_item,contrastive+autoencoder,16,1.0,1
auditory,has_item,contrastive+autoencoder,16,0.0,1
auditory,has_item,contrastive+autoencoder,16,1.0,1
auditory,has_information,contrastive+autoencoder,16,0.0,1
auditory,has_information,contrastive+autoencoder,16,1.0,1
auditory,has_information,contrastive+autoencoder,16,0.0,1
auditory,has_information,contrastive+autoencoder,16,1.0,1
auditory,has_information,contrastive+autoencoder,16,1.0,1
auditory,has_information,contrastive+autoencoder,16,1.0,1
auditory,has_information,contrastive+autoencoder,16,0.0,1
auditory,has_information,contrastive+autoencoder,16,1.0,1
auditory,idle,contrastive,16,0.0,1
auditory,idle,contrastive,16,1.0,1
auditory,idle,contrastive,16,1.0,1
auditory,idle,contrastive,16,0.9411764740943908,1
auditory,idle,contrastive,16,0.6666666865348816,1
auditory,idle,contrastive,16,0.0,1
auditory,idle,contrastive,16,1.0,1
auditory,idle,contrastive,16,1.0,1
auditory,searching,contrastive,16,0.6666666865348816,1
auditory,searching,contrastive,16,0.9473684430122375,1
auditory,searching,contrastive,16,0.3333333432674408,1
auditory,searching,contrastive,16,0.0,1
auditory,searching,contrastive,16,1.0,1
auditory,searching,contrastive,16,0.6666666865348816,1
auditory,searching,contrastive,16,1.0,1
auditory,searching,contrastive,16,0.5,1
auditory,searching,contrastive,16,1.0,1
auditory,searching,contrastive,16,0.5,1
auditory,has_item,contrastive,16,1.0,1
auditory,has_item,contrastive,16,1.0,1
auditory,has_item,contrastive,16,0.0,1
auditory,has_item,contrastive,16,0.0,1
auditory,has_item,contrastive,16,1.0,1
auditory,has_item,contrastive,16,1.0,1
auditory,has_item,contrastive,16,0.0,1
auditory,has_item,contrastive,16,0.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,has_information,contrastive,16,0.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,has_information,contrastive,16,0.0,1
auditory,has_information,contrastive,16,1.0,1
auditory,idle,autoencoder,16,0.0,1
auditory,idle,autoencoder,16,0.0,1
auditory,idle,autoencoder,16,1.0,1
auditory,idle,autoencoder,16,0.9411764740943908,1
auditory,idle,autoencoder,16,0.3333333432674408,1
auditory,idle,autoencoder,16,0.0,1
auditory,idle,autoencoder,16,1.0,1
auditory,idle,autoencoder,16,1.0,1
auditory,searching,autoencoder,16,0.6666666865348816,1
auditory,searching,autoencoder,16,0.9473684430122375,1
auditory,searching,autoencoder,16,0.0,1
auditory,searching,autoencoder,16,1.0,1
auditory,searching,autoencoder,16,0.0,1
auditory,searching,autoencoder,16,0.3333333432674408,1
auditory,searching,autoencoder,16,1.0,1
auditory,searching,autoencoder,16,0.5,1
auditory,searching,autoencoder,16,1.0,1
auditory,searching,autoencoder,16,0.5,1
auditory,has_item,autoencoder,16,1.0,1
auditory,has_item,autoencoder,16,1.0,1
auditory,has_item,autoencoder,16,0.5,1
auditory,has_item,autoencoder,16,0.0,1
auditory,has_item,autoencoder,16,1.0,1
auditory,has_item,autoencoder,16,1.0,1
auditory,has_item,autoencoder,16,0.0,1
auditory,has_item,autoencoder,16,1.0,1
auditory,has_information,autoencoder,16,1.0,1
auditory,has_information,autoencoder,16,1.0,1
auditory,has_information,autoencoder,16,0.0,1
auditory,has_information,autoencoder,16,0.0,1
auditory,has_information,autoencoder,16,1.0,1
auditory,has_information,autoencoder,16,1.0,1
auditory,has_information,autoencoder,16,0.0,1
auditory,has_information,autoencoder,16,1.0,1
auditory,idle,random,16,0.3333333432674408,1
auditory,idle,random,16,0.5,1
auditory,idle,random,16,1.0,1
auditory,idle,random,16,0.9411764740943908,1
auditory,idle,random,16,0.3333333432674408,1
auditory,idle,random,16,0.0,1
auditory,idle,random,16,1.0,1
auditory,idle,random,16,1.0,1
auditory,searching,random,16,0.6666666865348816,1
auditory,searching,random,16,0.9473684430122375,1
auditory,searching,random,16,0.3333333432674408,1
auditory,searching,random,16,1.0,1
auditory,searching,random,16,0.0,1
auditory,searching,random,16,0.3333333432674408,1
auditory,searching,random,16,1.0,1
auditory,searching,random,16,0.5,1
auditory,searching,random,16,1.0,1
auditory,searching,random,16,0.5,1
auditory,has_item,random,16,1.0,1
auditory,has_item,random,16,1.0,1
auditory,has_item,random,16,0.5,1
auditory,has_item,random,16,0.0,1
auditory,has_item,random,16,1.0,1
auditory,has_item,random,16,1.0,1
auditory,has_item,random,16,0.0,1
auditory,has_item,random,16,1.0,1
auditory,has_information,random,16,0.0,1
auditory,has_information,random,16,1.0,1
auditory,has_information,random,16,0.0,1
auditory,has_information,random,16,0.0,1
auditory,has_information,random,16,1.0,1
auditory,has_information,random,16,1.0,1
auditory,has_information,random,16,0.0,1
auditory,has_information,random,16,1.0,1
kinesthetic,idle,contrastive+autoencoder,16,0.0,1
kinesthetic,idle,contrastive+autoencoder,16,0.0,1
kinesthetic,idle,contrastive+autoencoder,16,0.6666666865348816,1
kinesthetic,idle,contrastive+autoencoder,16,0.0,1
kinesthetic,searching,contrastive+autoencoder,16,1.0,1
kinesthetic,searching,contrastive+autoencoder,16,0.6666666865348816,1
kinesthetic,searching,contrastive+autoencoder,16,1.0,1
kinesthetic,searching,contrastive+autoencoder,16,1.0,1
kinesthetic,searching,contrastive+autoencoder,16,0.5,1
kinesthetic,searching,contrastive+autoencoder,16,0.0,1
kinesthetic,searching,contrastive+autoencoder,16,1.0,1
kinesthetic,searching,contrastive+autoencoder,16,0.0,1
kinesthetic,has_item,contrastive+autoencoder,16,0.0,1
kinesthetic,has_item,contrastive+autoencoder,16,0.3333333432674408,1
kinesthetic,has_item,contrastive+autoencoder,16,0.0,1
kinesthetic,has_item,contrastive+autoencoder,16,0.0,1
kinesthetic,has_item,contrastive+autoencoder,16,1.0,1
kinesthetic,has_item,contrastive+autoencoder,16,0.5,1
kinesthetic,has_item,contrastive+autoencoder,16,1.0,1
kinesthetic,has_item,contrastive+autoencoder,16,1.0,1
kinesthetic,has_item,contrastive+autoencoder,16,0.6666666865348816,1
kinesthetic,has_information,contrastive+autoencoder,16,0.0,1
kinesthetic,has_information,contrastive+autoencoder,16,0.0,1
kinesthetic,has_information,contrastive+autoencoder,16,1.0,1
kinesthetic,has_information,contrastive+autoencoder,16,1.0,1
kinesthetic,has_information,contrastive+autoencoder,16,1.0,1
kinesthetic,has_information,contrastive+autoencoder,16,1.0,1
kinesthetic,idle,contrastive,16,0.0,1
kinesthetic,idle,contrastive,16,0.0,1
kinesthetic,idle,contrastive,16,0.6666666865348816,1
kinesthetic,idle,contrastive,16,0.0,1
kinesthetic,searching,contrastive,16,0.5,1
kinesthetic,searching,contrastive,16,0.6666666865348816,1
kinesthetic,searching,contrastive,16,1.0,1
kinesthetic,searching,contrastive,16,0.0,1
kinesthetic,searching,contrastive,16,0.5,1
kinesthetic,searching,contrastive,16,0.0,1
kinesthetic,searching,contrastive,16,1.0,1
kinesthetic,searching,contrastive,16,0.0,1
kinesthetic,has_item,contrastive,16,0.0,1
kinesthetic,has_item,contrastive,16,0.3333333432674408,1
kinesthetic,has_item,contrastive,16,0.0,1
kinesthetic,has_item,contrastive,16,0.0,1
kinesthetic,has_item,contrastive,16,1.0,1
kinesthetic,has_item,contrastive,16,0.5,1
kinesthetic,has_item,contrastive,16,1.0,1
kinesthetic,has_item,contrastive,16,1.0,1
kinesthetic,has_item,contrastive,16,0.6666666865348816,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,0.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,has_information,contrastive,16,1.0,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,idle,autoencoder,16,0.6666666865348816,1
kinesthetic,idle,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,searching,autoencoder,16,0.6666666865348816,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,0.5,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,0.0,1
kinesthetic,searching,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,0.3333333432674408,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,1.0,1
kinesthetic,has_item,autoencoder,16,0.6666666865348816,1
kinesthetic,has_information,autoencoder,16,0.0,1
kinesthetic,has_information,autoencoder,16,0.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,has_information,autoencoder,16,1.0,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,idle,random,16,0.6666666865348816,1
kinesthetic,idle,random,16,0.0,1
kinesthetic,searching,random,16,0.5,1
kinesthetic,searching,random,16,0.6666666865348816,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,searching,random,16,0.0,1
kinesthetic,searching,random,16,0.5,1
kinesthetic,searching,random,16,0.0,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,searching,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,0.3333333432674408,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,1.0,1
kinesthetic,has_item,random,16,0.6666666865348816,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,0.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
kinesthetic,has_information,random,16,1.0,1
