,modality,conditioning,pretraining,embedding_type,embedding_size,task_idx,loss
0,auditory,independent,ast_embeds,random,128,0,2865.067775212186
1,auditory,independent,ast_embeds,random,128,1,2863.7239093100493
2,auditory,independent,ast_embeds,random,128,2,2509.729955401821
3,auditory,independent,ast_embeds,random,128,3,2586.45938808717
4,auditory,independent,ast_embeds,random,128,0,2454.162844224667
5,auditory,independent,ast_embeds,random,128,1,3176.3198639439943
6,auditory,independent,ast_embeds,random,128,2,3064.486300889244
7,auditory,independent,ast_embeds,random,128,3,2835.7961509368197
8,visual,taskconditioned,clip_embeds,VAE,128,0,506.6704205603166
9,visual,taskconditioned,clip_embeds,VAE,128,1,738.1831570629691
10,visual,taskconditioned,clip_embeds,VAE,128,2,663.3191606521742
11,visual,taskconditioned,clip_embeds,VAE,128,3,579.7014394771649
12,visual,taskconditioned,clip_embeds,VAE,128,0,475.6191361969895
13,visual,taskconditioned,clip_embeds,VAE,128,1,582.86129645653
14,visual,taskconditioned,clip_embeds,VAE,128,2,482.30538684080307
15,visual,taskconditioned,clip_embeds,VAE,128,3,502.09931916986005
16,auditory,taskconditioned,raw,VAE,128,0,2403.1105741576716
17,auditory,taskconditioned,raw,VAE,128,1,2198.7237865026786
18,auditory,taskconditioned,raw,VAE,128,2,2372.6635866098018
19,auditory,taskconditioned,raw,VAE,128,3,2125.759974193888
20,auditory,taskconditioned,raw,VAE,128,0,2369.9240299470316
21,auditory,taskconditioned,raw,VAE,128,1,2617.7277821340244
22,auditory,taskconditioned,raw,VAE,128,2,2231.145485189691
23,auditory,taskconditioned,raw,VAE,128,3,1967.855957025393
24,visual,independent,raw,VAE,128,0,457.0714604964227
25,visual,independent,raw,VAE,128,1,492.19678013570797
26,visual,independent,raw,VAE,128,2,625.1529694248227
27,visual,independent,raw,VAE,128,3,565.3504529595255
28,visual,independent,raw,VAE,128,0,583.375066004389
29,visual,independent,raw,VAE,128,1,447.14035468403677
