modality,conditioning,pretraining,embedding_type,embedding_size,metric,signal
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,searching
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,searching
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,searching
kinesthetic,taskconditioned,raw,autoencoder,64,0.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,idle
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_information
kinesthetic,taskconditioned,raw,autoencoder,64,1.0,has_item
