modality,signal,embedding_type,embedding_size,metric
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,idle,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,0.3333333432674408
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,0.4000000059604645
visual,searching,contrastive+autoencoder,4,1.0
visual,searching,contrastive+autoencoder,4,0.75
visual,searching,contrastive+autoencoder,4,0.5714285969734192
visual,has_item,contrastive+autoencoder,4,0.5
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_item,contrastive+autoencoder,4,0.8333333134651184
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_item,contrastive+autoencoder,4,0.0
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_item,contrastive+autoencoder,4,0.8999999761581421
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_item,contrastive+autoencoder,4,0.5
visual,has_item,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,0.5
visual,has_information,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,0.5
visual,has_information,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,0.0
visual,has_information,contrastive+autoencoder,4,0.0
visual,has_information,contrastive+autoencoder,4,0.5
visual,has_information,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,1.0
visual,has_information,contrastive+autoencoder,4,0.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,0.875
visual,idle,contrastive,4,0.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,1.0
visual,idle,contrastive,4,0.800000011920929
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,0.6666666865348816
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,0.25
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,0.4000000059604645
visual,searching,contrastive,4,1.0
visual,searching,contrastive,4,0.0
visual,searching,contrastive,4,0.5714285969734192
visual,has_item,contrastive,4,0.5
visual,has_item,contrastive,4,1.0
visual,has_item,contrastive,4,1.0
visual,has_item,contrastive,4,0.8333333134651184
visual,has_item,contrastive,4,1.0
visual,has_item,contrastive,4,0.0
visual,has_item,contrastive,4,1.0
visual,has_item,contrastive,4,0.8999999761581421
visual,has_item,contrastive,4,1.0
visual,has_item,contrastive,4,0.5
visual,has_item,contrastive,4,1.0
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,0.5
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,0.0
visual,has_information,contrastive,4,0.0
visual,has_information,contrastive,4,0.625
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,1.0
visual,has_information,contrastive,4,0.0
visual,idle,autoencoder,4,1.0
visual,idle,autoencoder,4,0.75
visual,idle,autoencoder,4,0.0
visual,idle,autoencoder,4,1.0
visual,idle,autoencoder,4,1.0
visual,idle,autoencoder,4,0.5
visual,idle,autoencoder,4,1.0
visual,idle,autoencoder,4,1.0
visual,idle,autoencoder,4,1.0
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,0.6666666865348816
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,0.6000000238418579
visual,searching,autoencoder,4,1.0
visual,searching,autoencoder,4,0.75
visual,searching,autoencoder,4,0.5
visual,has_item,autoencoder,4,0.5
visual,has_item,autoencoder,4,0.0
visual,has_item,autoencoder,4,1.0
visual,has_item,autoencoder,4,0.8333333134651184
visual,has_item,autoencoder,4,1.0
visual,has_item,autoencoder,4,0.0
visual,has_item,autoencoder,4,1.0
visual,has_item,autoencoder,4,0.8999999761581421
visual,has_item,autoencoder,4,1.0
visual,has_item,autoencoder,4,0.0
visual,has_item,autoencoder,4,1.0
visual,has_information,autoencoder,4,0.3333333432674408
visual,has_information,autoencoder,4,0.5
visual,has_information,autoencoder,4,1.0
visual,has_information,autoencoder,4,0.5
visual,has_information,autoencoder,4,1.0
visual,has_information,autoencoder,4,0.0
visual,has_information,autoencoder,4,1.0
visual,has_information,autoencoder,4,0.75
visual,has_information,autoencoder,4,1.0
visual,has_information,autoencoder,4,1.0
visual,has_information,autoencoder,4,0.0
visual,idle,random,4,0.6666666865348816
visual,idle,random,4,0.875
visual,idle,random,4,0.0
visual,idle,random,4,1.0
visual,idle,random,4,1.0
visual,idle,random,4,1.0
visual,idle,random,4,1.0
visual,idle,random,4,0.5
visual,idle,random,4,0.6000000238418579
visual,searching,random,4,1.0
visual,searching,random,4,1.0
visual,searching,random,4,1.0
