modality,signal,embedding_type,embedding_size,metric,seed
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,0.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
visual,idle,contrastive+autoencoder,128,1.0,11
