condition,rank,signal,trial,modality,id,pid
contrastive,0,has_information,0,kinetic,847,0
contrastive+VAE,1,has_information,0,kinetic,2096,0
autoencoder,2,has_information,0,kinetic,2099,0
contrastive+autoencoder,3,has_information,0,kinetic,2085,0
VAE,4,has_information,0,kinetic,2075,0
autoencoder,0,has_information,1,auditory,166,0
contrastive+autoencoder,1,has_information,1,auditory,231,0
VAE,2,has_information,1,auditory,734,0
contrastive+VAE,3,has_information,1,auditory,846,0
contrastive,4,has_information,1,auditory,785,0
contrastive+autoencoder,0,has_information,2,visual,1622,0
VAE,1,has_information,2,visual,1627,0
autoencoder,2,has_information,2,visual,387,0
contrastive+VAE,3,has_information,2,visual,106,0
contrastive,4,has_information,2,visual,5774,0
contrastive,0,has_information,3,auditory,376,0
VAE,1,has_information,3,auditory,227,0
autoencoder,2,has_information,3,auditory,94,0
contrastive+autoencoder,3,has_information,3,auditory,257,0
contrastive+VAE,4,has_information,3,auditory,357,0
contrastive+autoencoder,0,has_information,4,kinetic,1345,0
contrastive+VAE,1,has_information,4,kinetic,1346,0
autoencoder,2,has_information,4,kinetic,1326,0
VAE,3,has_information,4,kinetic,1331,0
contrastive,4,has_information,4,kinetic,909,0
autoencoder,0,has_information,5,visual,1643,0
contrastive+VAE,1,has_information,5,visual,1748,0
VAE,2,has_information,5,visual,1022,0
contrastive+autoencoder,3,has_information,5,visual,5296,0
contrastive,4,has_information,5,visual,4430,0
autoencoder,0,has_information,6,visual,1547,0
contrastive,1,has_information,6,visual,2927,0
contrastive+autoencoder,2,has_information,6,visual,2376,0
contrastive+VAE,3,has_information,6,visual,3770,0
VAE,4,has_information,6,visual,2043,0
VAE,0,has_information,7,kinetic,148,0
contrastive,1,has_information,7,kinetic,264,0
contrastive+VAE,2,has_information,7,kinetic,139,0
autoencoder,3,has_information,7,kinetic,138,0
contrastive+autoencoder,4,has_information,7,kinetic,128,0
contrastive,0,has_information,8,auditory,347,0
autoencoder,1,has_information,8,auditory,543,0
contrastive+autoencoder,2,has_information,8,auditory,405,0
contrastive+VAE,3,has_information,8,auditory,109,0
VAE,4,has_information,8,auditory,100,0
contrastive+VAE,0,has_information,9,kinetic,2045,0
autoencoder,1,has_information,9,kinetic,42,0
contrastive,2,has_information,9,kinetic,1792,0
contrastive+autoencoder,3,has_information,9,kinetic,31,0
VAE,4,has_information,9,kinetic,41,0
autoencoder,0,has_information,10,auditory,638,0
VAE,1,has_information,10,auditory,121,0
contrastive+autoencoder,2,has_information,10,auditory,257,0
contrastive+VAE,3,has_information,10,auditory,513,0
contrastive,4,has_information,10,auditory,303,0
contrastive+VAE,0,has_information,11,visual,3926,0
contrastive+autoencoder,1,has_information,11,visual,5154,0
contrastive,2,has_information,11,visual,828,0
autoencoder,3,has_information,11,visual,2153,0
VAE,4,has_information,11,visual,126,0
contrastive,0,has_information,12,auditory,403,0
contrastive+VAE,1,has_information,12,auditory,608,0
contrastive+autoencoder,2,has_information,12,auditory,509,0
VAE,3,has_information,12,auditory,654,0
autoencoder,4,has_information,12,auditory,228,0
contrastive+autoencoder,0,has_information,13,visual,4783,0
VAE,1,has_information,13,visual,5836,0
autoencoder,2,has_information,13,visual,4090,0
contrastive+VAE,3,has_information,13,visual,4319,0
contrastive,4,has_information,13,visual,378,0
contrastive+autoencoder,0,has_information,14,kinetic,980,0
VAE,1,has_information,14,kinetic,983,0
autoencoder,2,has_information,14,kinetic,993,0
contrastive,3,has_information,14,kinetic,118,0
contrastive+VAE,4,has_information,14,kinetic,991,0
autoencoder,0,has_information,15,kinetic,955,0
contrastive+VAE,1,has_information,15,kinetic,967,0
contrastive+autoencoder,2,has_information,15,kinetic,969,0
contrastive,3,has_information,15,kinetic,1340,0
VAE,4,has_information,15,kinetic,965,0
contrastive+autoencoder,0,has_information,16,auditory,789,0
contrastive,1,has_information,16,auditory,742,0
VAE,2,has_information,16,auditory,368,0
contrastive+VAE,3,has_information,16,auditory,776,0
autoencoder,4,has_information,16,auditory,213,0
contrastive+VAE,0,has_information,17,kinetic,217,0
VAE,1,has_information,17,kinetic,219,0
contrastive,2,has_information,17,kinetic,1084,0
autoencoder,3,has_information,17,kinetic,205,0
contrastive+autoencoder,4,has_information,17,kinetic,216,0
contrastive,0,has_information,18,kinetic,1597,0
contrastive+VAE,1,has_information,18,kinetic,1539,0
contrastive+autoencoder,2,has_information,18,kinetic,1542,0
autoencoder,3,has_information,18,kinetic,1534,0
VAE,4,has_information,18,kinetic,1544,0
contrastive,0,has_information,19,visual,5012,0
contrastive+autoencoder,1,has_information,19,visual,2205,0
autoencoder,2,has_information,19,visual,1352,0
contrastive+VAE,3,has_information,19,visual,4130,0
VAE,4,has_information,19,visual,2526,0
contrastive+VAE,0,has_information,20,kinetic,422,0
contrastive,1,has_information,20,kinetic,39,0
contrastive+autoencoder,2,has_information,20,kinetic,413,0
autoencoder,3,has_information,20,kinetic,403,0
VAE,4,has_information,20,kinetic,402,0
contrastive+VAE,0,has_information,21,auditory,514,0
contrastive,1,has_information,21,auditory,290,0
contrastive+autoencoder,2,has_information,21,auditory,555,0
VAE,3,has_information,21,auditory,859,0
autoencoder,4,has_information,21,auditory,581,0
contrastive,0,has_information,22,auditory,763,0
autoencoder,1,has_information,22,auditory,711,0
VAE,2,has_information,22,auditory,839,0
contrastive+autoencoder,3,has_information,22,auditory,528,0
contrastive+VAE,4,has_information,22,auditory,128,0
VAE,0,has_information,23,visual,3905,0
autoencoder,1,has_information,23,visual,2747,0
contrastive+VAE,2,has_information,23,visual,4436,0
contrastive+autoencoder,3,has_information,23,visual,962,0
contrastive,4,has_information,23,visual,5786,0
contrastive,0,has_information,24,visual,2916,0
contrastive+autoencoder,1,has_information,24,visual,5170,0
autoencoder,2,has_information,24,visual,3177,0
VAE,3,has_information,24,visual,187,0
contrastive+VAE,4,has_information,24,visual,685,0
VAE,0,has_information,25,visual,4728,0
contrastive,1,has_information,25,visual,1641,0
autoencoder,2,has_information,25,visual,1152,0
contrastive+autoencoder,3,has_information,25,visual,2583,0
contrastive+VAE,4,has_information,25,visual,791,0
autoencoder,0,has_information,26,auditory,613,0
VAE,1,has_information,26,auditory,404,0
contrastive+autoencoder,2,has_information,26,auditory,280,0
contrastive+VAE,3,has_information,26,auditory,529,0
contrastive,4,has_information,26,auditory,749,0
autoencoder,0,has_information,27,auditory,584,0
contrastive,1,has_information,27,auditory,225,0
contrastive+VAE,2,has_information,27,auditory,23,0
contrastive+autoencoder,3,has_information,27,auditory,714,0
VAE,4,has_information,27,auditory,785,0
contrastive+VAE,0,has_information,28,visual,476,0
contrastive,1,has_information,28,visual,4937,0
autoencoder,2,has_information,28,visual,2278,0
VAE,3,has_information,28,visual,998,0
contrastive+autoencoder,4,has_information,28,visual,136,0
autoencoder,0,has_information,29,kinetic,1067,0
contrastive+autoencoder,1,has_information,29,kinetic,1069,0
contrastive+VAE,2,has_information,29,kinetic,1065,0
VAE,3,has_information,29,kinetic,941,0
contrastive,4,has_information,29,kinetic,1090,0
