condition,rank,signal,trial,modality,id,pid
contrastive+autoencoder,0,has_item,0,visual,1242,0
autoencoder,1,has_item,0,visual,3878,0
contrastive,2,has_item,0,visual,3370,0
VAE,3,has_item,0,visual,1664,0
contrastive+VAE,4,has_item,0,visual,2015,0
contrastive+autoencoder,0,has_item,1,auditory,680,0
contrastive+VAE,1,has_item,1,auditory,754,0
autoencoder,2,has_item,1,auditory,755,0
VAE,3,has_item,1,auditory,264,0
contrastive,4,has_item,1,auditory,622,0
contrastive,0,has_item,2,kinetic,435,0
autoencoder,1,has_item,2,kinetic,1297,0
contrastive+autoencoder,2,has_item,2,kinetic,1298,0
VAE,3,has_item,2,kinetic,1288,0
contrastive+VAE,4,has_item,2,kinetic,1278,0
contrastive,0,has_item,3,kinetic,2120,0
contrastive+VAE,1,has_item,3,kinetic,765,0
VAE,2,has_item,3,kinetic,766,0
contrastive+autoencoder,3,has_item,3,kinetic,769,0
autoencoder,4,has_item,3,kinetic,767,0
VAE,0,has_item,4,visual,5135,0
contrastive,1,has_item,4,visual,311,0
contrastive+autoencoder,2,has_item,4,visual,3358,0
autoencoder,3,has_item,4,visual,49,0
contrastive+VAE,4,has_item,4,visual,5233,0
contrastive,0,has_item,5,auditory,313,0
contrastive+autoencoder,1,has_item,5,auditory,233,0
VAE,2,has_item,5,auditory,515,0
autoencoder,3,has_item,5,auditory,194,0
contrastive+VAE,4,has_item,5,auditory,27,0
contrastive+VAE,0,has_item,6,kinetic,945,0
contrastive+autoencoder,1,has_item,6,kinetic,948,0
VAE,2,has_item,6,kinetic,930,0
autoencoder,3,has_item,6,kinetic,929,0
contrastive,4,has_item,6,kinetic,1283,0
contrastive,0,has_item,7,auditory,814,0
autoencoder,1,has_item,7,auditory,559,0
VAE,2,has_item,7,auditory,571,0
contrastive+VAE,3,has_item,7,auditory,610,0
contrastive+autoencoder,4,has_item,7,auditory,568,0
VAE,0,has_item,8,visual,1335,0
contrastive,1,has_item,8,visual,4927,0
autoencoder,2,has_item,8,visual,479,0
contrastive+VAE,3,has_item,8,visual,1485,0
contrastive+autoencoder,4,has_item,8,visual,5786,0
autoencoder,0,has_item,9,visual,4765,0
contrastive+VAE,1,has_item,9,visual,5013,0
VAE,2,has_item,9,visual,1478,0
contrastive+autoencoder,3,has_item,9,visual,1783,0
contrastive,4,has_item,9,visual,5786,0
contrastive+autoencoder,0,has_item,10,visual,2308,0
autoencoder,1,has_item,10,visual,92,0
VAE,2,has_item,10,visual,1583,0
contrastive+VAE,3,has_item,10,visual,2593,0
contrastive,4,has_item,10,visual,3629,0
VAE,0,has_item,11,auditory,172,0
contrastive,1,has_item,11,auditory,376,0
autoencoder,2,has_item,11,auditory,94,0
contrastive+autoencoder,3,has_item,11,auditory,257,0
contrastive+VAE,4,has_item,11,auditory,357,0
contrastive+VAE,0,has_item,12,auditory,522,0
VAE,1,has_item,12,auditory,165,0
autoencoder,2,has_item,12,auditory,264,0
contrastive+autoencoder,3,has_item,12,auditory,110,0
contrastive,4,has_item,12,auditory,26,0
autoencoder,0,has_item,13,kinetic,780,0
VAE,1,has_item,13,kinetic,779,0
contrastive,2,has_item,13,kinetic,733,0
contrastive+autoencoder,3,has_item,13,kinetic,790,0
contrastive+VAE,4,has_item,13,kinetic,794,0
contrastive,0,has_item,14,kinetic,770,0
autoencoder,1,has_item,14,kinetic,122,0
contrastive+autoencoder,2,has_item,14,kinetic,124,0
contrastive+VAE,3,has_item,14,kinetic,108,0
VAE,4,has_item,14,kinetic,103,0
autoencoder,0,has_item,15,kinetic,748,0
contrastive+autoencoder,1,has_item,15,kinetic,731,0
contrastive+VAE,2,has_item,15,kinetic,738,0
VAE,3,has_item,15,kinetic,728,0
contrastive,4,has_item,15,kinetic,1527,0
autoencoder,0,has_item,16,visual,5168,0
VAE,1,has_item,16,visual,5134,0
contrastive+autoencoder,2,has_item,16,visual,2238,0
contrastive+VAE,3,has_item,16,visual,2936,0
contrastive,4,has_item,16,visual,1088,0
VAE,0,has_item,17,visual,5039,0
autoencoder,1,has_item,17,visual,756,0
contrastive,2,has_item,17,visual,1395,0
contrastive+VAE,3,has_item,17,visual,3633,0
contrastive+autoencoder,4,has_item,17,visual,4941,0
VAE,0,has_item,18,kinetic,1191,0
contrastive+VAE,1,has_item,18,kinetic,1143,0
contrastive,2,has_item,18,kinetic,765,0
contrastive+autoencoder,3,has_item,18,kinetic,1190,0
autoencoder,4,has_item,18,kinetic,1194,0
contrastive,0,has_item,19,kinetic,136,0
contrastive+autoencoder,1,has_item,19,kinetic,1381,0
autoencoder,2,has_item,19,kinetic,1384,0
contrastive+VAE,3,has_item,19,kinetic,1376,0
VAE,4,has_item,19,kinetic,1387,0
VAE,0,has_item,20,auditory,666,0
autoencoder,1,has_item,20,auditory,469,0
contrastive+autoencoder,2,has_item,20,auditory,265,0
contrastive,3,has_item,20,auditory,85,0
contrastive+VAE,4,has_item,20,auditory,381,0
VAE,0,has_item,21,auditory,747,0
contrastive+VAE,1,has_item,21,auditory,409,0
contrastive,2,has_item,21,auditory,682,0
autoencoder,3,has_item,21,auditory,16,0
contrastive+autoencoder,4,has_item,21,auditory,194,0
contrastive+autoencoder,0,has_item,22,kinetic,1155,0
VAE,1,has_item,22,kinetic,1165,0
contrastive,2,has_item,22,kinetic,744,0
autoencoder,3,has_item,22,kinetic,1169,0
contrastive+VAE,4,has_item,22,kinetic,1168,0
contrastive,0,has_item,23,visual,1996,0
autoencoder,1,has_item,23,visual,181,0
VAE,2,has_item,23,visual,1388,0
contrastive+autoencoder,3,has_item,23,visual,126,0
contrastive+VAE,4,has_item,23,visual,2999,0
autoencoder,0,has_item,24,visual,599,0
contrastive+VAE,1,has_item,24,visual,1281,0
contrastive+autoencoder,2,has_item,24,visual,482,0
contrastive,3,has_item,24,visual,78,0
VAE,4,has_item,24,visual,4414,0
contrastive+autoencoder,0,has_item,25,auditory,242,0
contrastive,1,has_item,25,auditory,118,0
contrastive+VAE,2,has_item,25,auditory,829,0
VAE,3,has_item,25,auditory,288,0
autoencoder,4,has_item,25,auditory,515,0
contrastive+VAE,0,has_item,26,auditory,54,0
VAE,1,has_item,26,auditory,506,0
contrastive+autoencoder,2,has_item,26,auditory,776,0
contrastive,3,has_item,26,auditory,257,0
autoencoder,4,has_item,26,auditory,667,0
contrastive+autoencoder,0,has_item,27,kinetic,1470,0
contrastive,1,has_item,27,kinetic,346,0
autoencoder,2,has_item,27,kinetic,1473,0
VAE,3,has_item,27,kinetic,1455,0
contrastive+VAE,4,has_item,27,kinetic,1461,0
contrastive+autoencoder,0,has_item,28,auditory,408,0
VAE,1,has_item,28,auditory,206,0
contrastive,2,has_item,28,auditory,290,0
autoencoder,3,has_item,28,auditory,728,0
contrastive+VAE,4,has_item,28,auditory,330,0
contrastive+VAE,0,has_item,29,visual,4975,0
contrastive+autoencoder,1,has_item,29,visual,5357,0
VAE,2,has_item,29,visual,2911,0
autoencoder,3,has_item,29,visual,5604,0
contrastive,4,has_item,29,visual,4858,0
