condition,rank,signal,trial,modality,id,pid
autoencoder,0,searching,0,auditory,176,0
contrastive+VAE,1,searching,0,auditory,817,0
VAE,2,searching,0,auditory,398,0
contrastive+autoencoder,3,searching,0,auditory,601,0
contrastive,4,searching,0,auditory,507,0
contrastive+VAE,0,searching,1,auditory,391,0
contrastive+autoencoder,1,searching,1,auditory,482,0
VAE,2,searching,1,auditory,733,0
contrastive,3,searching,1,auditory,470,0
autoencoder,4,searching,1,auditory,29,0
contrastive+VAE,0,searching,2,auditory,849,0
autoencoder,1,searching,2,auditory,179,0
contrastive+autoencoder,2,searching,2,auditory,378,0
contrastive,3,searching,2,auditory,372,0
VAE,4,searching,2,auditory,88,0
VAE,0,searching,3,kinetic,895,0
contrastive+autoencoder,1,searching,3,kinetic,896,0
autoencoder,2,searching,3,kinetic,881,0
contrastive+VAE,3,searching,3,kinetic,877,0
contrastive,4,searching,3,kinetic,294,0
contrastive+autoencoder,0,searching,4,kinetic,1668,0
autoencoder,1,searching,4,kinetic,1669,0
VAE,2,searching,4,kinetic,1664,0
contrastive,3,searching,4,kinetic,1901,0
contrastive+VAE,4,searching,4,kinetic,1654,0
contrastive,0,searching,5,visual,3588,0
VAE,1,searching,5,visual,3804,0
autoencoder,2,searching,5,visual,5862,0
contrastive+autoencoder,3,searching,5,visual,5700,0
contrastive+VAE,4,searching,5,visual,3090,0
contrastive+autoencoder,0,searching,6,kinetic,1431,0
contrastive,1,searching,6,kinetic,297,0
autoencoder,2,searching,6,kinetic,1433,0
contrastive+VAE,3,searching,6,kinetic,1427,0
VAE,4,searching,6,kinetic,1428,0
contrastive,0,searching,7,kinetic,2047,0
VAE,1,searching,7,kinetic,299,0
contrastive+autoencoder,2,searching,7,kinetic,297,0
autoencoder,3,searching,7,kinetic,162,0
contrastive+VAE,4,searching,7,kinetic,289,0
contrastive,0,searching,8,kinetic,924,0
contrastive+VAE,1,searching,8,kinetic,277,0
autoencoder,2,searching,8,kinetic,157,0
contrastive+autoencoder,3,searching,8,kinetic,158,0
VAE,4,searching,8,kinetic,278,0
contrastive,0,searching,9,auditory,701,0
autoencoder,1,searching,9,auditory,736,0
contrastive+VAE,2,searching,9,auditory,620,0
contrastive+autoencoder,3,searching,9,auditory,6,0
VAE,4,searching,9,auditory,353,0
contrastive,0,searching,10,auditory,494,0
autoencoder,1,searching,10,auditory,650,0
contrastive+autoencoder,2,searching,10,auditory,682,0
contrastive+VAE,3,searching,10,auditory,736,0
VAE,4,searching,10,auditory,404,0
contrastive,0,searching,11,visual,1180,0
VAE,1,searching,11,visual,4302,0
contrastive+VAE,2,searching,11,visual,2544,0
contrastive+autoencoder,3,searching,11,visual,3910,0
autoencoder,4,searching,11,visual,5858,0
VAE,0,searching,12,visual,4195,0
autoencoder,1,searching,12,visual,2471,0
contrastive+VAE,2,searching,12,visual,5162,0
contrastive,3,searching,12,visual,686,0
contrastive+autoencoder,4,searching,12,visual,4993,0
contrastive+autoencoder,0,searching,13,kinetic,1292,0
autoencoder,1,searching,13,kinetic,1294,0
contrastive+VAE,2,searching,13,kinetic,1289,0
VAE,3,searching,13,kinetic,1281,0
contrastive,4,searching,13,kinetic,952,0
VAE,0,searching,14,visual,4099,0
contrastive+autoencoder,1,searching,14,visual,2236,0
contrastive,2,searching,14,visual,3044,0
autoencoder,3,searching,14,visual,5271,0
contrastive+VAE,4,searching,14,visual,4440,0
contrastive,0,searching,15,kinetic,93,0
autoencoder,1,searching,15,kinetic,1296,0
contrastive+VAE,2,searching,15,kinetic,1276,0
