condition,rank,signal,trial,modality,id
contrastive+autoencoder,0,has_information,0,visual,4782
autoencoder,1,has_information,0,visual,2339
contrastive,2,has_information,0,visual,3888
random,3,has_information,0,visual,126
VAE,4,has_information,0,visual,634
VAE,0,has_information,1,visual,856
random,1,has_information,1,visual,5444
contrastive,2,has_information,1,visual,5729
contrastive+autoencoder,3,has_information,1,visual,3865
autoencoder,4,has_information,1,visual,958
VAE,0,has_information,2,visual,187
contrastive,1,has_information,2,visual,2916
autoencoder,2,has_information,2,visual,2630
random,3,has_information,2,visual,3015
contrastive+autoencoder,4,has_information,2,visual,311
autoencoder,0,has_information,3,visual,1120
random,1,has_information,3,visual,3140
VAE,2,has_information,3,visual,2964
contrastive,3,has_information,3,visual,20
contrastive+autoencoder,4,has_information,3,visual,962
random,0,has_information,4,visual,778
VAE,1,has_information,4,visual,4728
contrastive+autoencoder,2,has_information,4,visual,2416
autoencoder,3,has_information,4,visual,5802
contrastive,4,has_information,4,visual,4663
contrastive,0,has_information,5,visual,1129
contrastive+autoencoder,1,has_information,5,visual,3358
random,2,has_information,5,visual,2860
autoencoder,3,has_information,5,visual,3053
VAE,4,has_information,5,visual,3203
random,0,has_information,6,visual,5516
VAE,1,has_information,6,visual,3580
contrastive+autoencoder,2,has_information,6,visual,1395
contrastive,3,has_information,6,visual,2394
autoencoder,4,has_information,6,visual,3696
autoencoder,0,has_information,7,visual,4146
VAE,1,has_information,7,visual,756
contrastive,2,has_information,7,visual,1321
contrastive+autoencoder,3,has_information,7,visual,1785
random,4,has_information,7,visual,3088
random,0,has_information,8,visual,2518
autoencoder,1,has_information,8,visual,1696
contrastive+autoencoder,2,has_information,8,visual,2756
contrastive,3,has_information,8,visual,5012
VAE,4,has_information,8,visual,2526
random,0,has_information,9,visual,5589
VAE,1,has_information,9,visual,4560
contrastive,2,has_information,9,visual,4447
autoencoder,3,has_information,9,visual,4523
contrastive+autoencoder,4,has_information,9,visual,398
autoencoder,0,has_information,10,auditory,81
contrastive+autoencoder,1,has_information,10,auditory,121
random,2,has_information,10,auditory,515
contrastive,3,has_information,10,auditory,300
VAE,4,has_information,10,auditory,194
contrastive+autoencoder,0,has_information,11,auditory,6
contrastive,1,has_information,11,auditory,118
autoencoder,2,has_information,11,auditory,626
random,3,has_information,11,auditory,448
VAE,4,has_information,11,auditory,404
contrastive,0,has_information,12,auditory,441
autoencoder,1,has_information,12,auditory,166
VAE,2,has_information,12,auditory,463
random,3,has_information,12,auditory,583
contrastive+autoencoder,4,has_information,12,auditory,231
contrastive,0,has_information,13,auditory,61
contrastive+autoencoder,1,has_information,13,auditory,490
random,2,has_information,13,auditory,721
VAE,3,has_information,13,auditory,232
autoencoder,4,has_information,13,auditory,213
VAE,0,has_information,14,auditory,613
autoencoder,1,has_information,14,auditory,35
contrastive,2,has_information,14,auditory,134
random,3,has_information,14,auditory,153
contrastive+autoencoder,4,has_information,14,auditory,428
contrastive+autoencoder,0,has_information,15,auditory,257
contrastive,1,has_information,15,auditory,23
random,2,has_information,15,auditory,708
autoencoder,3,has_information,15,auditory,377
VAE,4,has_information,15,auditory,200
random,0,has_information,16,auditory,320
contrastive+autoencoder,1,has_information,16,auditory,686
VAE,2,has_information,16,auditory,440
contrastive,3,has_information,16,auditory,7
autoencoder,4,has_information,16,auditory,348
contrastive+autoencoder,0,has_information,17,auditory,826
contrastive,1,has_information,17,auditory,448
VAE,2,has_information,17,auditory,301
autoencoder,3,has_information,17,auditory,802
random,4,has_information,17,auditory,308
contrastive+autoencoder,0,has_information,18,auditory,608
contrastive,1,has_information,18,auditory,774
VAE,2,has_information,18,auditory,724
random,3,has_information,18,auditory,440
autoencoder,4,has_information,18,auditory,228
autoencoder,0,has_information,19,auditory,285
contrastive+autoencoder,1,has_information,19,auditory,782
random,2,has_information,19,auditory,301
contrastive,3,has_information,19,auditory,748
VAE,4,has_information,19,auditory,271
random,0,has_information,20,kinetic,815
VAE,1,has_information,20,kinetic,816
contrastive+autoencoder,2,has_information,20,kinetic,818
autoencoder,3,has_information,20,kinetic,819
contrastive,4,has_information,20,kinetic,107
contrastive,0,has_information,21,kinetic,1272
autoencoder,1,has_information,21,kinetic,1349
VAE,2,has_information,21,kinetic,1334
random,3,has_information,21,kinetic,1326
contrastive+autoencoder,4,has_information,21,kinetic,1346
random,0,has_information,22,kinetic,1659
autoencoder,1,has_information,22,kinetic,1669
contrastive+autoencoder,2,has_information,22,kinetic,1668
VAE,3,has_information,22,kinetic,1654
contrastive,4,has_information,22,kinetic,1909
random,0,has_information,23,kinetic,2017
contrastive+autoencoder,1,has_information,23,kinetic,2018
VAE,2,has_information,23,kinetic,2016
autoencoder,3,has_information,23,kinetic,2015
contrastive,4,has_information,23,kinetic,391
random,0,has_information,24,kinetic,1219
contrastive+autoencoder,1,has_information,24,kinetic,1217
autoencoder,2,has_information,24,kinetic,1206
VAE,3,has_information,24,kinetic,1215
contrastive,4,has_information,24,kinetic,591
VAE,0,has_information,25,kinetic,1947
autoencoder,1,has_information,25,kinetic,1937
random,2,has_information,25,kinetic,437
contrastive+autoencoder,3,has_information,25,kinetic,1675
contrastive,4,has_information,25,kinetic,1939
VAE,0,has_information,26,kinetic,969
autoencoder,1,has_information,26,kinetic,965
random,2,has_information,26,kinetic,967
contrastive+autoencoder,3,has_information,26,kinetic,968
contrastive,4,has_information,26,kinetic,1340
contrastive,0,has_information,27,kinetic,1065
contrastive+autoencoder,1,has_information,27,kinetic,1066
autoencoder,2,has_information,27,kinetic,1019
random,3,has_information,27,kinetic,1067
VAE,4,has_information,27,kinetic,1068
contrastive+autoencoder,0,has_information,28,kinetic,1065
VAE,1,has_information,28,kinetic,940
autoencoder,2,has_information,28,kinetic,1069
random,3,has_information,28,kinetic,1068
contrastive,4,has_information,28,kinetic,1579
autoencoder,0,has_information,29,kinetic,1689
VAE,1,has_information,29,kinetic,1679
contrastive+autoencoder,2,has_information,29,kinetic,1677
contrastive,3,has_information,29,kinetic,563
random,4,has_information,29,kinetic,1685
