condition,rank,signal,trial,modality,id,pid
contrastive,0,has_item,0,auditory,165,0
contrastive+VAE,1,has_item,0,auditory,26,0
contrastive+autoencoder,2,has_item,0,auditory,482,0
VAE,3,has_item,0,auditory,108,0
random,4,has_item,0,auditory,736,0
contrastive,0,has_item,1,visual,686,0
contrastive+VAE,1,has_item,1,visual,2241,0
contrastive+autoencoder,2,has_item,1,visual,3104,0
VAE,3,has_item,1,visual,5810,0
random,4,has_item,1,visual,3649,0
VAE,0,has_item,2,visual,4223,0
random,1,has_item,2,visual,5727,0
contrastive+VAE,2,has_item,2,visual,3683,0
contrastive+autoencoder,3,has_item,2,visual,1755,0
contrastive,4,has_item,2,visual,3806,0
contrastive,0,has_item,3,visual,5176,0
VAE,1,has_item,3,visual,4241,0
contrastive+autoencoder,2,has_item,3,visual,2486,0
random,3,has_item,3,visual,5557,0
contrastive+VAE,4,has_item,3,visual,891,0
contrastive,0,has_item,4,auditory,376,0
VAE,1,has_item,4,auditory,172,0
contrastive+VAE,2,has_item,4,auditory,456,0
contrastive+autoencoder,3,has_item,4,auditory,451,0
random,4,has_item,4,auditory,568,0
VAE,0,has_item,5,auditory,326,0
contrastive+autoencoder,1,has_item,5,auditory,426,0
random,2,has_item,5,auditory,201,0
contrastive+VAE,3,has_item,5,auditory,104,0
contrastive,4,has_item,5,auditory,508,0
contrastive+VAE,0,has_item,6,kinetic,890,0
contrastive+autoencoder,1,has_item,6,kinetic,894,0
random,2,has_item,6,kinetic,893,0
VAE,3,has_item,6,kinetic,892,0
contrastive,4,has_item,6,kinetic,1166,0
VAE,0,has_item,7,auditory,638,0
contrastive+autoencoder,1,has_item,7,auditory,661,0
contrastive,2,has_item,7,auditory,109,0
contrastive+VAE,3,has_item,7,auditory,220,0
random,4,has_item,7,auditory,188,0
contrastive+autoencoder,0,has_item,8,auditory,597,0
random,1,has_item,8,auditory,370,0
VAE,2,has_item,8,auditory,151,0
contrastive,3,has_item,8,auditory,314,0
contrastive+VAE,4,has_item,8,auditory,226,0
contrastive+autoencoder,0,has_item,9,kinetic,1148,0
contrastive+VAE,1,has_item,9,kinetic,1146,0
random,2,has_item,9,kinetic,1145,0
VAE,3,has_item,9,kinetic,1129,0
contrastive,4,has_item,9,kinetic,1132,0
VAE,0,has_item,10,kinetic,1131,0
random,1,has_item,10,kinetic,1143,0
contrastive+autoencoder,2,has_item,10,kinetic,1142,0
contrastive,3,has_item,10,kinetic,1144,0
contrastive+VAE,4,has_item,10,kinetic,1140,0
random,0,has_item,11,kinetic,890,0
contrastive+VAE,1,has_item,11,kinetic,894,0
contrastive+autoencoder,2,has_item,11,kinetic,893,0
VAE,3,has_item,11,kinetic,892,0
contrastive,4,has_item,11,kinetic,166,0
contrastive,0,has_item,12,auditory,257,0
VAE,1,has_item,12,auditory,749,0
contrastive+VAE,2,has_item,12,auditory,288,0
random,3,has_item,12,auditory,151,0
contrastive+autoencoder,4,has_item,12,auditory,271,0
random,0,has_item,13,visual,2827,0
contrastive,1,has_item,13,visual,4252,0
contrastive+autoencoder,2,has_item,13,visual,662,0
VAE,3,has_item,13,visual,4734,0
contrastive+VAE,4,has_item,13,visual,4858,0
random,0,has_item,14,visual,5181,0
VAE,1,has_item,14,visual,5141,0
contrastive+autoencoder,2,has_item,14,visual,5254,0
contrastive,3,has_item,14,visual,311,0
contrastive+VAE,4,has_item,14,visual,5233,0
contrastive+autoencoder,0,has_item,15,visual,326,0
contrastive+VAE,1,has_item,15,visual,5806,0
contrastive,2,has_item,15,visual,5303,0
VAE,3,has_item,15,visual,5786,0
random,4,has_item,15,visual,5804,0
contrastive+autoencoder,0,has_item,16,auditory,639,0
contrastive+VAE,1,has_item,16,auditory,650,0
random,2,has_item,16,auditory,682,0
VAE,3,has_item,16,auditory,0,0
contrastive,4,has_item,16,auditory,716,0
VAE,0,has_item,17,kinetic,526,0
random,1,has_item,17,kinetic,531,0
contrastive+autoencoder,2,has_item,17,kinetic,529,0
contrastive+VAE,3,has_item,17,kinetic,534,0
contrastive,4,has_item,17,kinetic,478,0
contrastive+autoencoder,0,has_item,18,kinetic,766,0
VAE,1,has_item,18,kinetic,765,0
random,2,has_item,18,kinetic,769,0
contrastive+VAE,3,has_item,18,kinetic,767,0
contrastive,4,has_item,18,kinetic,2018,0
contrastive,0,has_item,19,visual,3592,0
contrastive+autoencoder,1,has_item,19,visual,269,0
VAE,2,has_item,19,visual,2287,0
contrastive+VAE,3,has_item,19,visual,4761,0
random,4,has_item,19,visual,2788,0
random,0,has_item,20,kinetic,1157,0
contrastive+autoencoder,1,has_item,20,kinetic,1155,0
contrastive+VAE,2,has_item,20,kinetic,1169,0
contrastive,3,has_item,20,kinetic,744,0
VAE,4,has_item,20,kinetic,1168,0
