condition,rank,signal,trial,modality,id,pid
contrastive+autoencoder,0,idle,0,kinetic,1387,0
contrastive,1,idle,0,kinetic,1755,0
contrastive+VAE,2,idle,0,kinetic,1380,0
autoencoder,3,idle,0,kinetic,1381,0
VAE,4,idle,0,kinetic,1386,0
autoencoder,0,idle,1,auditory,662,0
contrastive+VAE,1,idle,1,auditory,473,0
contrastive,2,idle,1,auditory,5,0
contrastive+autoencoder,3,idle,1,auditory,284,0
VAE,4,idle,1,auditory,141,0
random,0,idle,2,visual,3911,0
autoencoder,1,idle,2,visual,3904,0
contrastive+VAE,2,idle,2,visual,4993,0
VAE,3,idle,2,visual,1711,0
contrastive,4,idle,2,visual,791,0
autoencoder,0,idle,3,auditory,81,0
contrastive+VAE,1,idle,3,auditory,316,0
random,2,idle,3,auditory,515,0
contrastive,3,idle,3,auditory,300,0
VAE,4,idle,3,auditory,194,0
random,0,idle,4,auditory,50,0
contrastive+VAE,1,idle,4,auditory,762,0
contrastive+autoencoder,2,idle,4,auditory,316,0
autoencoder,3,idle,4,auditory,308,0
contrastive,4,idle,4,auditory,55,0
random,0,idle,5,visual,5511,0
contrastive+VAE,1,idle,5,visual,5233,0
autoencoder,2,idle,5,visual,142,0
contrastive+autoencoder,3,idle,5,visual,3757,0
contrastive,4,idle,5,visual,4404,0
contrastive,0,idle,6,kinetic,2062,0
autoencoder,1,idle,6,kinetic,1932,0
contrastive+autoencoder,2,idle,6,kinetic,1933,0
contrastive+VAE,3,idle,6,kinetic,1935,0
VAE,4,idle,6,kinetic,1936,0
contrastive,0,idle,7,kinetic,1675,0
autoencoder,1,idle,7,kinetic,1925,0
random,2,idle,7,kinetic,1935,0
contrastive+VAE,3,idle,7,kinetic,1930,0
contrastive+autoencoder,4,idle,7,kinetic,1936,0
random,0,idle,8,kinetic,1842,0
contrastive+VAE,1,idle,8,kinetic,1843,0
VAE,2,idle,8,kinetic,1830,0
autoencoder,3,idle,8,kinetic,1841,0
contrastive,4,idle,8,kinetic,1831,0
contrastive,0,idle,9,visual,4734,0
VAE,1,idle,9,visual,2385,0
random,2,idle,9,visual,2378,0
contrastive+VAE,3,idle,9,visual,2541,0
autoencoder,4,idle,9,visual,5265,0
contrastive+autoencoder,0,idle,10,auditory,754,0
VAE,1,idle,10,auditory,451,0
contrastive,2,idle,10,auditory,129,0
contrastive+VAE,3,idle,10,auditory,357,0
random,4,idle,10,auditory,440,0
autoencoder,0,idle,11,kinetic,1996,0
contrastive+VAE,1,idle,11,kinetic,1995,0
contrastive,2,idle,11,kinetic,1905,0
VAE,3,idle,11,kinetic,1980,0
contrastive+autoencoder,4,idle,11,kinetic,1985,0
contrastive,0,idle,12,kinetic,1307,0
contrastive+VAE,1,idle,12,kinetic,1312,0
contrastive+autoencoder,2,idle,12,kinetic,1306,0
VAE,3,idle,12,kinetic,1305,0
random,4,idle,12,kinetic,1310,0
contrastive,0,idle,13,auditory,145,0
VAE,1,idle,13,auditory,323,0
contrastive+autoencoder,2,idle,13,auditory,637,0
autoencoder,3,idle,13,auditory,524,0
contrastive+VAE,4,idle,13,auditory,782,0
contrastive,0,idle,14,auditory,173,0
autoencoder,1,idle,14,auditory,513,0
VAE,2,idle,14,auditory,301,0
contrastive+autoencoder,3,idle,14,auditory,96,0
contrastive+VAE,4,idle,14,auditory,357,0
contrastive+VAE,0,idle,15,kinetic,1292,0
contrastive,1,idle,15,kinetic,1328,0
contrastive+autoencoder,2,idle,15,kinetic,1293,0
VAE,3,idle,15,kinetic,1291,0
random,4,idle,15,kinetic,1281,0
contrastive+VAE,0,idle,16,visual,5460,0
VAE,1,idle,16,visual,226,0
contrastive,2,idle,16,visual,5219,0
random,3,idle,16,visual,1848,0
autoencoder,4,idle,16,visual,1048,0
VAE,0,idle,17,kinetic,772,0
autoencoder,1,idle,17,kinetic,773,0
contrastive+VAE,2,idle,17,kinetic,770,0
contrastive+autoencoder,3,idle,17,kinetic,752,0
random,4,idle,17,kinetic,753,0
contrastive+VAE,0,idle,18,auditory,418,0
random,1,idle,18,auditory,290,0
autoencoder,2,idle,18,auditory,744,0
contrastive,3,idle,18,auditory,790,0
VAE,4,idle,18,auditory,314,0
random,0,idle,19,visual,5511,0
autoencoder,1,idle,19,visual,142,0
contrastive+VAE,2,idle,19,visual,5233,0
VAE,3,idle,19,visual,106,0
contrastive+autoencoder,4,idle,19,visual,3757,0
contrastive+autoencoder,0,idle,20,visual,5896,0
autoencoder,1,idle,20,visual,4000,0
random,2,idle,20,visual,2406,0
VAE,3,idle,20,visual,3093,0
contrastive,4,idle,20,visual,3757,0
contrastive+autoencoder,0,idle,21,visual,1087,0
VAE,1,idle,21,visual,1161,0
contrastive,2,idle,21,visual,1911,0
contrastive+VAE,3,idle,21,visual,65,0
random,4,idle,21,visual,277,0
VAE,0,idle,22,auditory,82,0
random,1,idle,22,auditory,227,0
contrastive+autoencoder,2,idle,22,auditory,307,0
autoencoder,3,idle,22,auditory,751,0
contrastive,4,idle,22,auditory,327,0
contrastive+VAE,0,idle,23,visual,3006,0
