condition,rank,signal,trial,modality,id,pid,name,time
contrastive+autoencoder,0,searching,0,kinetic,1286,21,1286.png,1714080402265
random,1,searching,0,kinetic,1296,21,1296.png,1714080402265
autoencoder,2,searching,0,kinetic,1291,21,1291.png,1714080402265
VAE,3,searching,0,kinetic,1290,21,1290.png,1714080402265
contrastive+VAE,4,searching,0,kinetic,1276,21,1276.png,1714080402265
contrastive+autoencoder,0,searching,1,kinetic,158,21,158.png,1714080443349
autoencoder,1,searching,1,kinetic,157,21,157.png,1714080443349
random,2,searching,1,kinetic,283,21,283.png,1714080443349
contrastive+VAE,3,searching,1,kinetic,278,21,278.png,1714080443349
contrastive,4,searching,1,kinetic,153,21,153.png,1714080443349
random,0,searching,2,kinetic,1447,21,1447.png,1714080485494
contrastive+VAE,1,searching,2,kinetic,1427,21,1427.png,1714080485494
VAE,2,searching,2,kinetic,1436,21,1436.png,1714080485494
contrastive+autoencoder,3,searching,2,kinetic,1431,21,1431.png,1714080485494
autoencoder,4,searching,2,kinetic,1428,21,1428.png,1714080485494
random,0,searching,3,kinetic,838,21,838.png,1714080516285
contrastive+autoencoder,1,searching,3,kinetic,837,21,837.png,1714080516285
autoencoder,2,searching,3,kinetic,836,21,836.png,1714080516285
contrastive,3,searching,3,kinetic,78,21,78.png,1714080516285
contrastive+VAE,4,searching,3,kinetic,848,21,848.png,1714080516285
contrastive,0,searching,4,kinetic,153,21,153.png,1714080563289
contrastive+VAE,1,searching,4,kinetic,848,21,848.png,1714080563289
autoencoder,2,searching,4,kinetic,1428,21,1428.png,1714080563289
contrastive+VAE,3,searching,4,kinetic,1276,21,1276.png,1714080563289
random,4,searching,4,kinetic,1691,21,1691.png,1714080563289
contrastive,0,searching,5,kinetic,452,21,452.png,1714080600330
random,1,searching,5,kinetic,455,21,455.png,1714080600330
autoencoder,2,searching,5,kinetic,470,21,470.png,1714080600330
VAE,3,searching,5,kinetic,471,21,471.png,1714080600330
contrastive+VAE,4,searching,5,kinetic,451,21,451.png,1714080600330
contrastive+autoencoder,0,searching,6,kinetic,1508,21,1508.png,1714080644795
contrastive+VAE,1,searching,6,kinetic,1512,21,1512.png,1714080644795
random,2,searching,6,kinetic,1502,21,1502.png,1714080644795
autoencoder,3,searching,6,kinetic,1503,21,1503.png,1714080644795
contrastive,4,searching,6,kinetic,1598,21,1598.png,1714080644795
VAE,0,searching,7,kinetic,306,21,306.png,1714080690592
contrastive+VAE,1,searching,7,kinetic,181,21,181.png,1714080690592
autoencoder,2,searching,7,kinetic,311,21,311.png,1714080690592
contrastive,3,searching,7,kinetic,305,21,305.png,1714080690592
contrastive+autoencoder,4,searching,7,kinetic,176,21,176.png,1714080690592
contrastive,0,searching,8,kinetic,827,21,827.png,1714080724194
contrastive+VAE,1,searching,8,kinetic,1286,21,1286.png,1714080724194
VAE,2,searching,8,kinetic,1281,21,1281.png,1714080724194
contrastive+autoencoder,3,searching,8,kinetic,1292,21,1292.png,1714080724194
autoencoder,4,searching,8,kinetic,1296,21,1296.png,1714080724194
random,0,searching,9,kinetic,1691,21,1691.png,1714080767461
contrastive+autoencoder,1,searching,9,kinetic,176,21,176.png,1714080767461
contrastive+VAE,2,searching,9,kinetic,451,21,451.png,1714080767461
autoencoder,3,searching,9,kinetic,1296,21,1296.png,1714080767461
contrastive,4,searching,9,kinetic,1598,21,1598.png,1714080767461
