condition,rank,signal,trial,modality,id,pid,name,time
contrastive+autoencoder,0,has_information,0,auditory,129,35,small_footprint.jpg,1714534163891
autoencoder,1,has_information,0,auditory,600,35,hey_im_here_too.jpg,1714534163891
contrastive,2,has_information,0,auditory,94,35,that_look.jpg,1714534163891
contrastive+VAE,3,has_information,0,auditory,109,35,Beep6.jpg,1714534163891
VAE,4,has_information,0,auditory,481,35,inquisitiveness.jpg,1714534163891
VAE,0,has_information,1,auditory,301,35,high-gong.jpg,1714534204232
contrastive+VAE,1,has_information,1,auditory,853,35,determined.jpg,1714534204232
contrastive,2,has_information,1,auditory,448,35,open_your_eyes_and_see.jpg,1714534204232
contrastive+autoencoder,3,has_information,1,auditory,826,35,quiet_knock.jpg,1714534204232
autoencoder,4,has_information,1,auditory,802,35,office_2.jpg,1714534204232
VAE,0,has_information,2,auditory,301,35,high-gong.jpg,1714534228235
contrastive+autoencoder,1,has_information,2,auditory,257,35,piece_of_cake.jpg,1714534228235
contrastive,2,has_information,2,auditory,776,35,oringz-pack-nine-08.jpg,1714534228235
autoencoder,3,has_information,2,auditory,200,35,oh_finally.jpg,1714534228235
contrastive+VAE,4,has_information,2,auditory,708,35,for_sure.jpg,1714534228235
autoencoder,0,has_information,3,auditory,342,35,maybe.jpg,1714534256012
contrastive+VAE,1,has_information,3,auditory,311,35,in_the_end.jpg,1714534256012
random,2,has_information,3,auditory,436,35,swift_gesture.jpg,1714534256012
VAE,3,has_information,3,auditory,353,35,unsure.jpg,1714534256012
contrastive+autoencoder,4,has_information,3,auditory,28,35,dont_think_so.jpg,1714534256012
VAE,0,has_information,4,auditory,481,35,inquisitiveness.jpg,1714534273697
contrastive+autoencoder,1,has_information,4,auditory,813,35,thin.jpg,1714534273697
contrastive+autoencoder,2,has_information,4,auditory,28,35,dont_think_so.jpg,1714534273697
autoencoder,3,has_information,4,auditory,802,35,office_2.jpg,1714534273697
contrastive+VAE,4,has_information,4,auditory,708,35,for_sure.jpg,1714534273697
contrastive+VAE,0,has_information,5,auditory,608,35,nine_22.jpg,1714534293505
autoencoder,1,has_information,5,auditory,228,35,eventually.jpg,1714534293505
VAE,2,has_information,5,auditory,724,35,nine_01.jpg,1714534293505
contrastive+autoencoder,3,has_information,5,auditory,774,35,oringz-pack-nine-01.jpg,1714534293505
random,4,has_information,5,auditory,440,35,undeniable.jpg,1714534293505
contrastive,0,has_information,6,auditory,764,35,synthetic.jpg,1714534309926
autoencoder,1,has_information,6,auditory,94,35,that_look.jpg,1714534309926
contrastive+autoencoder,2,has_information,6,auditory,257,35,piece_of_cake.jpg,1714534309926
random,3,has_information,6,auditory,710,35,wet.jpg,1714534309926
contrastive+VAE,4,has_information,6,auditory,568,35,achievement.jpg,1714534309926
contrastive,0,has_information,7,auditory,614,35,nine_12.jpg,1714534332366
VAE,1,has_information,7,auditory,556,35,oringz-pack-nine-12.jpg,1714534332366
autoencoder,2,has_information,7,auditory,761,35,did_it.jpg,1714534332366
contrastive+autoencoder,3,has_information,7,auditory,629,35,hide_and_seek.jpg,1714534332366
contrastive+VAE,4,has_information,7,auditory,309,35,nine_08.jpg,1714534332366
VAE,0,has_information,8,auditory,697,35,asmr_girl_message.jpg,1714534363221
random,1,has_information,8,auditory,752,35,asmr_girl_attention.jpg,1714534363221
autoencoder,2,has_information,8,auditory,593,35,asmr_girl_i_need_you.jpg,1714534363221
contrastive+autoencoder,3,has_information,8,auditory,619,35,asmr_girl_new_message.jpg,1714534363221
contrastive+VAE,4,has_information,8,auditory,251,35,begging_for_more.jpg,1714534363221
contrastive+VAE,0,has_information,9,auditory,251,35,begging_for_more.jpg,1714534381283
contrastive+VAE,1,has_information,9,auditory,568,35,achievement.jpg,1714534381283
contrastive+VAE,2,has_information,9,auditory,309,35,nine_08.jpg,1714534381283
random,3,has_information,9,auditory,440,35,undeniable.jpg,1714534381283
contrastive+VAE,4,has_information,9,auditory,708,35,for_sure.jpg,1714534381283
