condition,rank,signal,trial,modality,id,pid,name,time
random,0,has_item,0,auditory,151,38,oringz-pack-nine-16.jpg,1714715278242
contrastive,1,has_item,0,auditory,271,38,youve_been_informed.jpg,1714715278242
contrastive+autoencoder,2,has_item,0,auditory,302,38,succeeded.jpg,1714715278242
contrastive+VAE,3,has_item,0,auditory,401,38,hmm_2.jpg,1714715278242
autoencoder,4,has_item,0,auditory,257,38,piece_of_cake.jpg,1714715278242
random,0,has_item,1,auditory,864,38,nine_21.jpg,1714715296984
contrastive+VAE,1,has_item,1,auditory,748,38,am.jpg,1714715296984
autoencoder,2,has_item,1,auditory,104,38,nine_04.jpg,1714715296984
contrastive+autoencoder,3,has_item,1,auditory,241,38,happy_new_year_sms.jpg,1714715296984
VAE,4,has_item,1,auditory,547,38,oringz-pack-nine-04.jpg,1714715296984
contrastive+autoencoder,0,has_item,2,auditory,158,38,shy.jpg,1714715310219
random,1,has_item,2,auditory,399,38,i_demand_attention.jpg,1714715310219
contrastive,2,has_item,2,auditory,347,38,pizzicato.jpg,1714715310219
contrastive+VAE,3,has_item,2,auditory,327,38,rvrb.jpg,1714715310219
autoencoder,4,has_item,2,auditory,669,38,LIKED_MOMENT_2.jpg,1714715310219
random,0,has_item,3,auditory,491,38,there_you_go.jpg,1714715329264
contrastive,1,has_item,3,auditory,172,38,nine_24.jpg,1714715329264
autoencoder,2,has_item,3,auditory,745,38,S112_JOKE_3.jpg,1714715329264
contrastive+autoencoder,3,has_item,3,auditory,568,38,achievement.jpg,1714715329264
VAE,4,has_item,3,auditory,665,38,bells.jpg,1714715329264
VAE,0,has_item,4,auditory,497,38,v-2-single.jpg,1714715346950
VAE,1,has_item,4,auditory,665,38,bells.jpg,1714715346950
VAE,2,has_item,4,auditory,547,38,oringz-pack-nine-04.jpg,1714715346950
autoencoder,3,has_item,4,auditory,257,38,piece_of_cake.jpg,1714715346950
autoencoder,4,has_item,4,auditory,669,38,LIKED_MOMENT_2.jpg,1714715346950
contrastive,0,has_item,5,auditory,741,38,results.jpg,1714715377127
autoencoder,1,has_item,5,auditory,112,38,Lullaby.jpg,1714715377127
contrastive+VAE,2,has_item,5,auditory,631,38,hmm_3.jpg,1714715377127
random,3,has_item,5,auditory,682,38,hurry_song.jpg,1714715377127
contrastive+autoencoder,4,has_item,5,auditory,336,38,promise.jpg,1714715377127
autoencoder,0,has_item,6,auditory,94,38,that_look.jpg,1714715393574
random,1,has_item,6,auditory,568,38,achievement.jpg,1714715393574
contrastive+VAE,2,has_item,6,auditory,456,38,whistling.jpg,1714715393574
contrastive,3,has_item,6,auditory,764,38,synthetic.jpg,1714715393574
contrastive+autoencoder,4,has_item,6,auditory,257,38,piece_of_cake.jpg,1714715393574
random,0,has_item,7,auditory,399,38,i_demand_attention.jpg,1714715412789
VAE,1,has_item,7,auditory,236,38,man_come_closer.jpg,1714715412789
autoencoder,2,has_item,7,auditory,801,38,in_passing.jpg,1714715412789
contrastive,3,has_item,7,auditory,508,38,what_friends_are_for.jpg,1714715412789
contrastive+VAE,4,has_item,7,auditory,104,38,nine_04.jpg,1714715412789
autoencoder,0,has_item,8,auditory,60,38,sorted.jpg,1714715432963
VAE,1,has_item,8,auditory,320,38,a_ha_moment.jpg,1714715432963
random,2,has_item,8,auditory,849,38,sting.jpg,1714715432963
contrastive+autoencoder,3,has_item,8,auditory,569,38,like_it_never_even_happened.jpg,1714715432963
contrastive,4,has_item,8,auditory,647,38,no_way.jpg,1714715432963
contrastive+VAE,0,has_item,9,auditory,104,38,nine_04.jpg,1714715455713
contrastive+autoencoder,1,has_item,9,auditory,336,38,promise.jpg,1714715455713
contrastive+autoencoder,2,has_item,9,auditory,257,38,piece_of_cake.jpg,1714715455713
contrastive,3,has_item,9,auditory,647,38,no_way.jpg,1714715455713
autoencoder,4,has_item,9,auditory,669,38,LIKED_MOMENT_2.jpg,1714715455713
