condition,rank,signal,trial,modality,id,pid,name,time
contrastive+VAE,0,idle,0,kinetic,1935,42,1935.png,1715906239817
VAE,1,idle,0,kinetic,1936,42,1936.png,1715906239817
random,2,idle,0,kinetic,1945,42,1945.png,1715906239817
contrastive+autoencoder,3,idle,0,kinetic,1932,42,1932.png,1715906239817
autoencoder,4,idle,0,kinetic,1933,42,1933.png,1715906239817
VAE,0,idle,1,kinetic,1950,42,1950.png,1715906306723
autoencoder,1,idle,1,kinetic,1971,42,1971.png,1715906306723
random,2,idle,1,kinetic,1961,42,1961.png,1715906306723
contrastive+VAE,3,idle,1,kinetic,1970,42,1970.png,1715906306723
contrastive+autoencoder,4,idle,1,kinetic,1972,42,1972.png,1715906306723
contrastive+autoencoder,0,idle,2,kinetic,2113,42,2113.png,1715906356334
autoencoder,1,idle,2,kinetic,2122,42,2122.png,1715906356334
VAE,2,idle,2,kinetic,2108,42,2108.png,1715906356334
contrastive+VAE,3,idle,2,kinetic,2103,42,2103.png,1715906356334
contrastive,4,idle,2,kinetic,498,42,498.png,1715906356334
contrastive+autoencoder,0,idle,3,kinetic,1936,42,1936.png,1715906397953
autoencoder,1,idle,3,kinetic,1935,42,1935.png,1715906397953
VAE,2,idle,3,kinetic,1925,42,1925.png,1715906397953
contrastive,3,idle,3,kinetic,1675,42,1675.png,1715906397953
contrastive+VAE,4,idle,3,kinetic,1930,42,1930.png,1715906397953
contrastive+VAE,0,idle,4,kinetic,1930,42,1930.png,1715906445152
contrastive,1,idle,4,kinetic,498,42,498.png,1715906445152
contrastive+autoencoder,2,idle,4,kinetic,1293,42,1293.png,1715906445152
contrastive+autoencoder,3,idle,4,kinetic,1972,42,1972.png,1715906445152
autoencoder,4,idle,4,kinetic,1933,42,1933.png,1715906445152
contrastive+VAE,0,idle,5,kinetic,1520,42,1520.png,1715906521165
contrastive+autoencoder,1,idle,5,kinetic,1500,42,1500.png,1715906521165
contrastive,2,idle,5,kinetic,605,42,605.png,1715906521165
VAE,3,idle,5,kinetic,1505,42,1505.png,1715906521165
random,4,idle,5,kinetic,1511,42,1511.png,1715906521165
contrastive,0,idle,6,kinetic,2046,42,2046.png,1715906586002
random,1,idle,6,kinetic,1180,42,1180.png,1715906586002
contrastive+VAE,2,idle,6,kinetic,1187,42,1187.png,1715906586002
VAE,3,idle,6,kinetic,1176,42,1176.png,1715906586002
autoencoder,4,idle,6,kinetic,1183,42,1183.png,1715906586002
VAE,0,idle,7,kinetic,821,42,821.png,1715906629868
contrastive+autoencoder,1,idle,7,kinetic,806,42,806.png,1715906629869
contrastive+VAE,2,idle,7,kinetic,820,42,820.png,1715906629869
random,3,idle,7,kinetic,807,42,807.png,1715906629869
contrastive,4,idle,7,kinetic,1981,42,1981.png,1715906629869
contrastive+VAE,0,idle,8,kinetic,770,42,770.png,1715906689636
random,1,idle,8,kinetic,772,42,772.png,1715906689636
autoencoder,2,idle,8,kinetic,773,42,773.png,1715906689636
contrastive,3,idle,8,kinetic,1042,42,1042.png,1715906689636
contrastive+autoencoder,4,idle,8,kinetic,752,42,752.png,1715906689636
random,0,idle,9,kinetic,1511,42,1511.png,1715906751065
contrastive+autoencoder,1,idle,9,kinetic,752,42,752.png,1715906751065
autoencoder,2,idle,9,kinetic,1933,42,1933.png,1715906751065
autoencoder,3,idle,9,kinetic,1183,42,1183.png,1715906751065
contrastive,4,idle,9,kinetic,1981,42,1981.png,1715906751065
