method,dim_embedding,m,std,modality,signal,pid
pretrained,8,"[0.         0.01267793 0.04908055 0.11086064 0.12136867 0.10468384
 0.09941138 0.15295813 0.20893168 0.20204444 0.22013954 0.19675284
 0.16046895 0.15894942 0.17593642 0.1613844  0.17211733 0.16099059
 0.14953639 0.14330747 0.17469674 0.12976073 0.07720976 0.09708148
 0.09852432 0.10029449 0.09939982 0.09601836 0.08591971 0.09478561
 0.10787203 0.11157443 0.1259976  0.10567761 0.12322714 0.12629331
 0.1129543  0.10182101 0.09323715 0.08751401 0.08444009 0.08799517
 0.08696218 0.10316007 0.1109001  0.11129038 0.0837423  0.08569568
 0.0805552  0.08195137 0.05702845 0.06171517 0.06519101 0.07523652
 0.07371569 0.0802761  0.0765385  0.06090621 0.06632364 0.07204013
 0.08751144 0.09051263 0.09095698 0.09955565 0.10586593 0.09434229
 0.08332909 0.07803446 0.06525017 0.063505   0.06307572 0.05853077
 0.05944722 0.06269082 0.05707275 0.06763201 0.05218602 0.0644301
 0.05833326 0.04005203 0.04365882 0.04078341 0.03881853 0.04072437
 0.05570853 0.05600475 0.05189679 0.0585198  0.05877205 0.05883275
 0.07444142 0.07603989 0.07050235 0.06931611 0.0614881  0.06124645
 0.06270968 0.05932345 0.05800495 0.05687499 0.05752327]","[0.         0.42827795 0.4312673  0.39351657 0.357998   0.35388441
 0.35801688 0.25119711 0.22960049 0.24392432 0.24049524 0.23706516
 0.26441461 0.2790843  0.29228345 0.26535282 0.26165771 0.23818723
 0.23389454 0.21481388 0.22865851 0.18200509 0.16232819 0.1668914
 0.16584984 0.14681204 0.1570119  0.16461823 0.13557238 0.1275713
 0.1582287  0.1626032  0.17129401 0.12566816 0.14512307 0.14253745
 0.13036532 0.1247174  0.10280605 0.10342236 0.10297631 0.09627224
 0.10043348 0.11138326 0.12881629 0.12955118 0.11052601 0.11391752
 0.12366483 0.12091529 0.1020385  0.10032506 0.09603924 0.10075593
 0.10330106 0.10286207 0.11028348 0.09817323 0.09893726 0.09371355
 0.10019327 0.10354029 0.10335672 0.11353403 0.1103031  0.11391034
 0.09870404 0.10055984 0.10221117 0.10098941 0.09909196 0.09537121
 0.09452389 0.09467697 0.09244124 0.09189315 0.07137265 0.08866318
 0.0906726  0.07111059 0.07599047 0.06944339 0.06973739 0.07115843
 0.08993287 0.09138652 0.08596084 0.08851098 0.09757494 0.10388169
 0.09886947 0.0977386  0.09893987 0.09972704 0.10398142 0.10393744
 0.10315395 0.1060835  0.10587318 0.10540733 0.10573713]",auditory,searching,20
pretrained,8,"[0.         0.04628541 0.11898217 0.153464   0.20839769 0.18647187
 0.1700329  0.1937259  0.2525238  0.25292484 0.28324933 0.28771304
 0.28119657 0.29220354 0.30757555 0.30659358 0.31222593 0.29867111
 0.31235027 0.31217362 0.30801907 0.28855477 0.25333028 0.27014576
 0.28344037 0.28306026 0.27916193 0.27042839 0.27625427 0.27868461
 0.29114765 0.30995052 0.31613236 0.30876588 0.31083124 0.30852933
 0.31485109 0.29423726 0.29068193 0.28074022 0.29607121 0.29586125
 0.28896883 0.29512379 0.29687781 0.29706929 0.28546676 0.28624692
 0.28361083 0.27869921 0.28445104 0.28120594 0.28555375 0.28622155
 0.28850456 0.29679349 0.2972844  0.28907116 0.29454744 0.30428743
 0.30619021 0.30817343 0.29495313 0.2988986  0.29059106 0.28729233
 0.28792965 0.28385345 0.26258664 0.26488947 0.27647293 0.27402438
 0.27387419 0.28723135 0.28425364 0.29303478 0.29227347 0.30465228
 0.3039517  0.29667761 0.2930622  0.28899695 0.28734809 0.29226828
 0.29824032 0.29595836 0.29732098 0.30081375 0.29599643 0.30312832
 0.30606421 0.30944907 0.30385773 0.30129574 0.29935401 0.30398161
 0.30481033 0.30294219 0.31143683 0.30845147 0.31077913]","[0.         0.3832523  0.37465083 0.3277395  0.31541152 0.34250823
 0.35049231 0.30765004 0.29005609 0.30129362 0.29883716 0.27846369
 0.30085212 0.29512671 0.29527845 0.28168208 0.28121108 0.26723166
 0.27968074 0.28194864 0.27304874 0.27426269 0.27574804 0.26749117
 0.26642321 0.25270046 0.25735128 0.26174845 0.26265929 0.24779268
 0.26450483 0.26657304 0.26502085 0.26561045 0.26068003 0.25191193
 0.25883555 0.25215825 0.24300893 0.24086844 0.25063005 0.24133223
 0.24105807 0.24147812 0.24058468 0.23935117 0.24868648 0.24270372
 0.24592098 0.24465013 0.26278934 0.25839744 0.25422833 0.25378069
 0.25759352 0.25647376 0.26323291 0.26707311 0.2659777  0.25566063
 0.24585555 0.24500287 0.24317128 0.24135721 0.23676007 0.24187524
 0.24446815 0.24620983 0.25485193 0.24506383 0.25516975 0.2556307
 0.25431106 0.25713961 0.26009027 0.25570823 0.26434517 0.26501973
 0.26890884 0.2770883  0.27254669 0.27021196 0.27144094 0.27290182
 0.26882382 0.26693763 0.26894287 0.26710221 0.26567983 0.27413927
 0.26324865 0.26318106 0.26123863 0.26039243 0.26448038 0.26781592
 0.26734908 0.26927678 0.27514585 0.27425488 0.27501387]",auditory,has_item,11
pretrained,8,"[0.         0.0760107  0.14469405 0.19779104 0.25992949 0.22391517
 0.23608471 0.2469387  0.28101992 0.28043135 0.32097267 0.32184513
 0.3067337  0.32202126 0.3421378  0.34731976 0.36356209 0.34622289
 0.35556098 0.35124758 0.35536018 0.33829165 0.31137173 0.33789059
 0.33892466 0.33922045 0.34183714 0.3404926  0.34443717 0.346575
 0.35908924 0.37333292 0.37164007 0.37291957 0.37885628 0.37705535
 0.38725353 0.37046767 0.36884787 0.36044753 0.37583352 0.37793461
 0.37626529 0.36643289 0.36182265 0.36897102 0.3501061  0.35713779
 0.34693908 0.35516514 0.35494345 0.34974608 0.35524246 0.36287606
 0.3669818  0.3771673  0.37667924 0.37180353 0.38039893 0.3962706
 0.38610483 0.38545242 0.38139554 0.38062128 0.38446037 0.37519171
 0.37642053 0.37772756 0.36212628 0.36829525 0.37187933 0.35689558
 0.36635091 0.37121322 0.35619889 0.36586963 0.37595111 0.38897548
 0.38973239 0.37620765 0.3682929  0.36308585 0.35424681 0.36237261
 0.36559924 0.36367992 0.36421666 0.37438871 0.38327845 0.38452824
 0.38915476 0.39677127 0.39072475 0.4126336  0.40652063 0.40745229
 0.41127053 0.40936777 0.40919439 0.41854214 0.42207156]","[0.         0.36306252 0.35598535 0.33077604 0.32284193 0.34312701
 0.35230314 0.31701952 0.3076698  0.30803148 0.29717766 0.28581324
 0.30591514 0.29872933 0.29828596 0.29379586 0.28538139 0.26985375
 0.2807441  0.28066614 0.27152211 0.27862767 0.27795006 0.27758924
 0.28012202 0.27220074 0.27653726 0.28558051 0.28586504 0.27881449
 0.28399188 0.2907881  0.2976047  0.29727972 0.29135522 0.28202777
 0.2905892  0.28411393 0.27708515 0.27536597 0.28088047 0.27827893
 0.27621081 0.27741146 0.27936549 0.27603822 0.28079845 0.27361515
 0.28037394 0.27818272 0.2870385  0.28130614 0.27792512 0.2709752
 0.27536812 0.27212114 0.27773707 0.27774079 0.28198972 0.27599214
 0.27090481 0.26812662 0.26861954 0.27686447 0.28000334 0.28757777
 0.2855544  0.28719712 0.29662193 0.28247504 0.2819043  0.29017932
 0.29339644 0.29932489 0.29530999 0.29511319 0.29897224 0.28378848
 0.28694415 0.2987919  0.29962554 0.29860019 0.29804626 0.29634589
 0.29329902 0.28681603 0.28971532 0.29798578 0.29416762 0.29632994
 0.29255923 0.29104098 0.30410436 0.30958133 0.30864758 0.30670504
 0.29935515 0.2997236  0.30114242 0.29866615 0.29760913]",auditory,searching,2
pretrained,8,"[0.         0.09381065 0.15981027 0.18766723 0.26275182 0.21899586
 0.23705817 0.24535241 0.27307365 0.27956199 0.31506119 0.30867538
 0.28964488 0.30567162 0.32391852 0.34246295 0.35665843 0.34251542
 0.34260336 0.33492129 0.34649835 0.35213591 0.32568477 0.34598932
 0.34153218 0.34107072 0.34326863 0.33764818 0.35276263 0.36354366
 0.38461205 0.39787254 0.38965341 0.38178556 0.3850796  0.37388564
 0.382064   0.36609689 0.36239343 0.36074516 0.37740593 0.3788833
 0.37598182 0.36256914 0.36230352 0.37255549 0.35820496 0.35917641
 0.35901671 0.37485498 0.37941528 0.37504204 0.37542041 0.38182522
 0.39026994 0.38871199 0.39278556 0.39208249 0.3853523  0.39510664
 0.3851675  0.3901388  0.38684067 0.3809446  0.3856662  0.38246114
 0.37838152 0.37806361 0.36874493 0.37824227 0.37995593 0.3681423
 0.37544191 0.3788683  0.37219363 0.37948793 0.39029607 0.39845886
 0.40187908 0.38864844 0.38395408 0.37890809 0.37134729 0.37758534
 0.38293734 0.3820213  0.37996961 0.38799063 0.39620983 0.39565659
 0.3971898  0.40235205 0.39919476 0.41322627 0.40637713 0.40736562
 0.40837251 0.41188381 0.40983047 0.40741801 0.41943708]","[0.         0.3387597  0.34769561 0.32957809 0.32409552 0.3510602
 0.35748817 0.33005896 0.3267801  0.3279343  0.2996462  0.29600614
 0.30602356 0.29850297 0.31085397 0.2896968  0.29220924 0.2859051
 0.28757203 0.28985962 0.27523369 0.28244293 0.28170116 0.28602046
 0.27485645 0.27231262 0.27711384 0.28185995 0.27641526 0.26961774
 0.27043339 0.26933241 0.28210286 0.28904787 0.28421011 0.28090527
 0.28818067 0.28476172 0.27858239 0.27356065 0.28196126 0.27637949
 0.27550985 0.27724516 0.27664376 0.2736789  0.2739347  0.26988882
 0.26671517 0.26369738 0.26572253 0.26110486 0.25577207 0.24952076
 0.25454242 0.25796096 0.26004846 0.25877864 0.27425836 0.26969348
 0.2677013  0.26188735 0.26377712 0.2738216  0.27358776 0.2747561
 0.27547778 0.27162888 0.27581746 0.25943582 0.26114223 0.26909251
 0.27480268 0.27975608 0.27293549 0.26939607 0.26971939 0.2563711
 0.25812269 0.26881333 0.27024738 0.26737477 0.2671947  0.26550696
 0.26240995 0.25643341 0.25916864 0.26636846 0.26256084 0.26719598
 0.26571163 0.26439192 0.275637   0.2800347  0.28009614 0.27853594
 0.2739663  0.27299483 0.2736872  0.28102303 0.27090666]",auditory,searching,8
pretrained,8,"[0.         0.10472643 0.14837012 0.17222235 0.22622652 0.18181067
 0.20560682 0.20830684 0.22377431 0.23636221 0.27327302 0.26605841
 0.24800827 0.25924979 0.27413059 0.28816865 0.29756461 0.28524084
 0.28637227 0.27217605 0.28669815 0.2911407  0.26915144 0.28295962
 0.27576395 0.27191475 0.27547085 0.27081498 0.28331694 0.29055458
 0.30869484 0.32412719 0.31157031 0.30213192 0.30624717 0.29334107
 0.29797455 0.28644887 0.2826974  0.28390351 0.29973414 0.29735493
 0.2924442  0.28271945 0.2816478  0.29557347 0.28303163 0.29436638
 0.29470094 0.30865242 0.31072869 0.30102954 0.29836884 0.29737491
 0.30436258 0.30495861 0.30797756 0.30220535 0.29600273 0.30639167
 0.30268566 0.30820403 0.30444596 0.29702329 0.3072849  0.29717752
 0.29190848 0.2971638  0.28778495 0.29159247 0.29473775 0.27987494
 0.28320094 0.28834809 0.27971242 0.2848307  0.29221808 0.29990864
 0.30178718 0.29103845 0.28881197 0.28555612 0.28176987 0.28624913
 0.29011007 0.29025318 0.28429824 0.2912989  0.30009995 0.30022418
 0.30369382 0.30555388 0.30203421 0.31461004 0.31021029 0.31127274
 0.31493592 0.31502474 0.31490054 0.31040211 0.32365028]","[0.         0.34037359 0.35288708 0.33099544 0.32769913 0.34511455
 0.35213282 0.32862975 0.33492361 0.33052723 0.30260266 0.29840401
 0.30834526 0.30677873 0.31384323 0.29793432 0.30232004 0.29371873
 0.29468793 0.30150728 0.28770794 0.29700709 0.29487079 0.30053865
 0.29147889 0.29533572 0.30009164 0.30643417 0.30520208 0.29921091
 0.2998683  0.2943952  0.30747638 0.31401351 0.30993386 0.31073827
 0.31964622 0.31160894 0.30711924 0.30248734 0.3092231  0.3109842
 0.30992852 0.30982992 0.30810017 0.30653206 0.30463492 0.29068186
 0.28897122 0.28841036 0.29368682 0.29487253 0.29668194 0.29969515
 0.30704936 0.30659079 0.30998175 0.31870529 0.32636048 0.32138581
 0.3096786  0.30504973 0.30651817 0.3119818  0.30536242 0.31738202
 0.32166396 0.31076157 0.31413546 0.30824958 0.30946404 0.31842566
 0.3274451  0.32829087 0.32152591 0.3213265  0.32563809 0.31786647
 0.31984249 0.32325285 0.32202229 0.31855149 0.31405102 0.31810405
 0.31436219 0.30883112 0.31035144 0.3163951  0.31355424 0.31482115
 0.30997551 0.3139876  0.32239691 0.32799444 0.32487421 0.32426825
 0.31747051 0.31993033 0.31889691 0.32422677 0.3171664 ]",auditory,searching,5
pretrained,8,"[0.         0.12711981 0.16661539 0.19186622 0.2366294  0.21246265
 0.24118408 0.24832057 0.26945227 0.28298756 0.31577602 0.30824814
 0.29500896 0.29759806 0.30951143 0.32110488 0.32913723 0.32286915
 0.32268307 0.31220394 0.32239809 0.33105902 0.3167993  0.32675781
 0.32027987 0.32047554 0.32207232 0.31601846 0.32764185 0.33200322
 0.33993973 0.3537965  0.34647059 0.33852118 0.34243796 0.3308609
 0.33665463 0.32803046 0.32481474 0.32804029 0.34020822 0.33970078
 0.33519305 0.33227336 0.33093851 0.34367559 0.3319948  0.33852806
 0.34042634 0.34961213 0.34995578 0.33846681 0.33454927 0.33116011
 0.33701626 0.33667263 0.33930954 0.33536384 0.33423955 0.35025701
 0.34889895 0.35654763 0.35647349 0.34958057 0.35604668 0.34389034
 0.34155457 0.34620246 0.33596541 0.33892099 0.34254678 0.32863504
 0.32993812 0.33430129 0.32350021 0.32766653 0.33369054 0.33822408
 0.33918187 0.33899093 0.33938391 0.33894006 0.33337041 0.33762164
 0.34069245 0.3377275  0.33188843 0.33848132 0.34759639 0.34320475
 0.34343861 0.34575022 0.34250843 0.35296692 0.35396301 0.35771695
 0.36088506 0.36014347 0.35946881 0.35783558 0.36944305]","[0.         0.3470577  0.34162163 0.32682409 0.3258342  0.34456694
 0.34155358 0.32199616 0.33478386 0.33194564 0.30229846 0.29747653
 0.30577465 0.29979022 0.30425703 0.28890908 0.28971249 0.28643729
 0.2868257  0.29552047 0.28188832 0.29546454 0.29987029 0.29945772
 0.29187075 0.29674905 0.3001622  0.30545155 0.30487957 0.29900721
 0.29505432 0.28939863 0.30176584 0.31122548 0.30720462 0.30749109
 0.31610905 0.31189627 0.3086328  0.3037824  0.30822863 0.31064364
 0.31093924 0.31472826 0.31251888 0.31030567 0.30706768 0.29152769
 0.29289677 0.290005   0.29376242 0.29676001 0.29860905 0.29922245
 0.30512119 0.30537843 0.30753391 0.31742512 0.32660903 0.31932043
 0.30991492 0.30779682 0.31131901 0.31651922 0.30786816 0.31832942
 0.32421532 0.31367656 0.31557883 0.31004586 0.31142729 0.32018744
 0.32643519 0.32657894 0.32030865 0.31876857 0.32143943 0.3135712
 0.31456715 0.32254567 0.32388207 0.32337308 0.3194464  0.32229879
 0.31900447 0.3146362  0.31605202 0.32140844 0.31816152 0.3147477
 0.31087701 0.3151751  0.32211914 0.32534076 0.32441231 0.32576887
 0.31975404 0.32037228 0.31889944 0.32598156 0.3191929 ]",auditory,has_information,35
pretrained,8,"[0.         0.13838267 0.18612837 0.21647973 0.26104682 0.24106316
 0.26113608 0.26417617 0.27594692 0.28228703 0.31449279 0.31273053
 0.3058411  0.31045373 0.32291495 0.33413645 0.34041793 0.33137321
 0.33074772 0.32612147 0.33260832 0.3402265  0.3274971  0.33822535
 0.33002587 0.32632084 0.32875272 0.32016254 0.33141869 0.33649407
 0.34403826 0.3634816  0.35647472 0.34907456 0.35366677 0.3395348
 0.33996701 0.33754977 0.33598249 0.33640771 0.34359399 0.34381874
 0.3384177  0.33518091 0.33411441 0.34451654 0.33464535 0.34226017
 0.3426721  0.35270095 0.35280761 0.34171023 0.33942418 0.33485601
 0.34458351 0.34315927 0.34598707 0.34084817 0.34059713 0.35224742
 0.35365537 0.36674658 0.36696903 0.36064101 0.3647759  0.3537193
 0.35037215 0.35415382 0.34721344 0.35014891 0.35134402 0.34093914
 0.34195774 0.34622738 0.33644165 0.3400138  0.34708661 0.34939871
 0.35036364 0.35016342 0.35111798 0.35122056 0.34822583 0.35152572
 0.35538489 0.35359813 0.35049184 0.3544092  0.36034411 0.3548782
 0.35672712 0.3585836  0.35609722 0.36648761 0.36632416 0.36523204
 0.36934711 0.37022802 0.36698562 0.36474099 0.37838226]","[0.         0.35450258 0.34446784 0.33315809 0.32438916 0.34120744
 0.33707784 0.31859383 0.32906883 0.32744321 0.29662981 0.28926953
 0.29791977 0.29343132 0.29407729 0.27987309 0.28095262 0.27532527
 0.27555451 0.28396061 0.26901753 0.28344644 0.29165253 0.29168452
 0.28099877 0.28368885 0.2861904  0.29296709 0.2925555  0.28935842
 0.28727766 0.27786237 0.28758745 0.29733037 0.29314375 0.29175029
 0.30042736 0.29647838 0.29425473 0.28938356 0.29505278 0.29635497
 0.29585511 0.30008962 0.29729886 0.29559011 0.29234243 0.27892602
 0.28012934 0.27782178 0.28046841 0.2827377  0.28490132 0.28466409
 0.29228187 0.29098712 0.29221787 0.30063498 0.30801951 0.30153278
 0.29355403 0.29177532 0.29499322 0.30001079 0.29074472 0.30045434
 0.30288863 0.29434345 0.29591623 0.29117652 0.29133907 0.30061131
 0.30521308 0.30614713 0.30066813 0.29901078 0.30186548 0.29433548
 0.29572973 0.30333643 0.30458267 0.30520156 0.30246192 0.30511244
 0.30245857 0.29833907 0.30090084 0.30474247 0.30073221 0.29788264
 0.29445373 0.29823982 0.30415891 0.30776413 0.30605024 0.30492522
 0.29977357 0.30049539 0.29726149 0.3037977  0.30001527]",auditory,idle,41
pretrained,8,"[0.         0.14228963 0.18195733 0.20853181 0.24371909 0.23200569
 0.25163864 0.26108424 0.27411522 0.28174993 0.30692659 0.30532678
 0.29915413 0.3042621  0.31505981 0.32623426 0.32914992 0.32103165
 0.32114455 0.31818692 0.32234601 0.33072084 0.32247035 0.33302186
 0.3264405  0.32125954 0.32181444 0.31311769 0.32279275 0.32925156
 0.33522865 0.35174353 0.34322008 0.33306939 0.33689423 0.32188322
 0.32247127 0.32150868 0.31863965 0.31894557 0.32713835 0.3254206
 0.32044734 0.31515616 0.31436409 0.32405232 0.31429538 0.32285741
 0.32366357 0.33218689 0.33224446 0.32155166 0.31954837 0.31656106
 0.32378689 0.32263525 0.32198883 0.31744691 0.31674352 0.32670878
 0.32843363 0.33932698 0.33929247 0.33310781 0.34071301 0.33468306
 0.33325545 0.33717429 0.33268094 0.335697   0.33462763 0.32691063
 0.32467997 0.32896682 0.32207033 0.32530828 0.33026098 0.33433613
 0.33596706 0.33848754 0.33864191 0.33469208 0.33275454 0.33479696
 0.33856778 0.33780259 0.3351878  0.3383364  0.34150313 0.33847172
 0.33852617 0.34036257 0.33930994 0.34824142 0.34682418 0.34500688
 0.34494325 0.34764304 0.34540957 0.34084414 0.35298552]","[0.         0.36469675 0.35692524 0.35525234 0.3572612  0.35349739
 0.34728541 0.32822282 0.33153923 0.31891317 0.29558659 0.28871208
 0.29646163 0.29151291 0.2906454  0.27447574 0.27991    0.27464735
 0.27454852 0.28083053 0.2669051  0.27896777 0.2802368  0.27996372
 0.27002752 0.27190184 0.27491494 0.28073185 0.28078235 0.27860451
 0.27647979 0.27008232 0.27963022 0.29111798 0.28801323 0.28717982
 0.29480716 0.29053429 0.28845131 0.28352207 0.28929263 0.29130479
 0.29142895 0.29724072 0.29520489 0.29405359 0.29109136 0.27780316
 0.27876305 0.27734358 0.28048034 0.2822162  0.28418272 0.28302242
 0.29036761 0.28878958 0.29091407 0.29832599 0.30527775 0.30018853
 0.29278545 0.29237781 0.29554562 0.3001737  0.28948525 0.29428852
 0.29461388 0.28689249 0.28674169 0.28241185 0.28410099 0.29150928
 0.29788833 0.29837303 0.29290553 0.29171451 0.29501868 0.28686026
 0.28809045 0.29453276 0.29574762 0.2975744  0.29465341 0.29780461
 0.29582877 0.29212818 0.29422344 0.29831189 0.29470211 0.29110402
 0.28858888 0.29298013 0.29733962 0.30026184 0.29903698 0.29974915
 0.29713978 0.29659228 0.29384538 0.30025331 0.29751859]",auditory,idle,17
pretrained,8,"[0.         0.14920564 0.19079059 0.21788066 0.25315445 0.23875308
 0.26173096 0.27250679 0.28407685 0.28953246 0.31230527 0.30973845
 0.30682476 0.3110378  0.32424291 0.33301882 0.33604986 0.32783396
 0.33232097 0.32880975 0.33149023 0.34039581 0.33817659 0.34723677
 0.34370292 0.33775387 0.33629438 0.32950662 0.33770727 0.34317031
 0.34831122 0.36308771 0.3552181  0.34838244 0.35217805 0.33574887
 0.34355437 0.34105282 0.3355782  0.33528493 0.34283313 0.34213271
 0.3379419  0.33327064 0.3292799  0.33829088 0.32777385 0.3305654
 0.33756077 0.34729486 0.34863146 0.33894381 0.33788329 0.33358005
 0.34063789 0.34402923 0.34353048 0.33842701 0.34025615 0.35148336
 0.35381337 0.36447733 0.36451639 0.35853582 0.36812324 0.36321235
 0.36038953 0.36819027 0.36303348 0.36501867 0.36562929 0.35832511
 0.35675359 0.361213   0.35553548 0.35740416 0.36184498 0.36487869
 0.36754491 0.37144482 0.37130834 0.36542287 0.36350063 0.36730686
 0.37161046 0.37128562 0.36896796 0.37209153 0.37456501 0.37213136
 0.37212713 0.37300287 0.37277447 0.38251211 0.38346253 0.38241055
 0.3820739  0.38432333 0.38251322 0.37907159 0.38972588]","[0.         0.35282073 0.34097174 0.34385577 0.34882436 0.34776033
 0.34085788 0.32374212 0.32636541 0.31391861 0.29154307 0.28940642
 0.2969439  0.29178702 0.29018328 0.27554104 0.2789312  0.27342944
 0.2730497  0.27792724 0.26720146 0.27720605 0.27791091 0.27727076
 0.26855446 0.26860212 0.26998938 0.27593555 0.27667483 0.27660805
 0.27463141 0.26387726 0.27431949 0.28535086 0.28252684 0.28307601
 0.28912641 0.284431   0.2834728  0.2820118  0.28647549 0.28932332
 0.28978023 0.29607943 0.29647931 0.29474279 0.29548092 0.28269535
 0.28203052 0.27920962 0.28206068 0.28425972 0.28780809 0.28719971
 0.29370203 0.28839892 0.29013195 0.29692897 0.30369874 0.29921179
 0.2924492  0.29188315 0.29478022 0.29944426 0.29013428 0.29499987
 0.29326051 0.28814211 0.28766715 0.28232541 0.28520515 0.29247824
 0.29847686 0.29915711 0.29526203 0.29371772 0.29584699 0.2878795
 0.28942808 0.29627562 0.29718777 0.29847033 0.295759   0.29902432
 0.29805361 0.295094   0.29720545 0.30070178 0.29694639 0.29410908
 0.29182966 0.29513789 0.29939541 0.30126688 0.30238666 0.30376089
 0.30102537 0.30013629 0.29813218 0.30470389 0.30079966]",auditory,idle,26
pretrained,8,"[0.         0.13426538 0.18220026 0.21212298 0.24131034 0.23631285
 0.25559148 0.27288374 0.28778106 0.29108137 0.30931526 0.31270161
 0.31010968 0.31692225 0.32697973 0.3369556  0.33456619 0.33008284
 0.335104   0.33341544 0.33631355 0.34380318 0.34175275 0.35074446
 0.34816489 0.34377371 0.34075792 0.33299744 0.33790599 0.34346916
 0.3473629  0.36314548 0.35392881 0.34686307 0.34804549 0.33275389
 0.33811029 0.33405417 0.33118143 0.33232423 0.34114105 0.34150119
 0.33398689 0.33131335 0.32968719 0.33506794 0.3269757  0.32827681
 0.33683107 0.34423118 0.34470573 0.33778288 0.33750566 0.33502121
 0.34168209 0.34640112 0.34525087 0.33839386 0.34024368 0.34917633
 0.35146391 0.36165553 0.35864033 0.3536907  0.36246895 0.3543004
 0.35028034 0.3549019  0.35105855 0.35216334 0.35509567 0.34695915
 0.34636161 0.34911704 0.34421396 0.3449307  0.3478032  0.35479688
 0.35682651 0.36051616 0.36021407 0.35509852 0.35442296 0.35770382
 0.36101468 0.36085746 0.35769955 0.3596104  0.36162631 0.35982345
 0.35998423 0.36089839 0.35901189 0.36768013 0.36857626 0.36857928
 0.36865033 0.37090593 0.36904532 0.36695136 0.37763928]","[0.         0.36181252 0.34572523 0.34746375 0.34989067 0.34109467
 0.33704025 0.31823489 0.32007986 0.31346653 0.29309315 0.28800546
 0.29450297 0.28862279 0.28797773 0.27598155 0.27793238 0.27278261
 0.27036564 0.2752631  0.26470734 0.27503271 0.27145937 0.26990305
 0.26405296 0.26378597 0.26386483 0.27030744 0.27386088 0.27444297
 0.27094675 0.26103003 0.26898278 0.28007173 0.27661466 0.27606918
 0.28205558 0.27743203 0.27359594 0.27264834 0.27818113 0.28099934
 0.28261508 0.28648757 0.28665481 0.28479774 0.28598992 0.27410227
 0.27308202 0.26962525 0.27184556 0.27466433 0.27841946 0.27907346
 0.28519529 0.28127133 0.28336181 0.28880129 0.29432239 0.29153621
 0.28539669 0.28502119 0.28573574 0.29255571 0.28374555 0.28934912
 0.28729509 0.28141672 0.2796481  0.27504435 0.27545676 0.28294801
 0.28779802 0.28891753 0.28492972 0.28432903 0.2866918  0.27788483
 0.27964881 0.28611162 0.28693616 0.28781513 0.28462445 0.28791824
 0.28750036 0.28478568 0.28714466 0.29116177 0.28746765 0.28440624
 0.2820502  0.28599203 0.28954326 0.29144869 0.29251951 0.29318659
 0.29055921 0.28948636 0.2875619  0.29300651 0.28881271]",auditory,has_information,23
