method,dim_embedding,m,std,modality,signal,pid
contrastive,16,"[0.         0.11267398 0.11609455 0.18391968 0.20523462 0.18636625
 0.23222494 0.1978549  0.19833193 0.19514244 0.20906035 0.17561395
 0.1462897  0.16249674 0.14804149 0.15643643 0.15307887 0.13399697
 0.12177332 0.11778075 0.11937988 0.08956    0.08761333 0.08903147
 0.09037746 0.07151549 0.07761245 0.07928935 0.08730012 0.08241042
 0.07014729 0.06328543 0.05912034 0.05363275 0.06002724 0.05353495
 0.05115615 0.04640795 0.04609614 0.04462912 0.03890035 0.04067027
 0.03794555 0.03217861 0.03689685 0.03127865 0.03011401 0.02977424
 0.03398927 0.03355314 0.03427599 0.03497501 0.03849527 0.03454966
 0.03279045 0.02785115 0.02741994 0.03183063 0.03047508 0.02858172
 0.03155109 0.03264547 0.03214808 0.02897602 0.02724898 0.02683504
 0.02560707 0.02236631 0.01951796 0.01922678 0.02000643 0.02113562
 0.02141262 0.02157722 0.02426277 0.02304318 0.02253717 0.02469843
 0.0258702  0.02394704 0.02432273 0.02173493 0.0202282  0.0209763
 0.02276671 0.02389278 0.02463095 0.02817457 0.02630293 0.02581838
 0.02547713 0.02316901 0.02361866 0.02351141 0.02226705 0.02168896
 0.02031192 0.02184436 0.02164088 0.02098081 0.01958681]","[0.         0.23911209 0.25482972 0.26031514 0.22106193 0.23381978
 0.22332325 0.22139727 0.2448118  0.24918035 0.25197413 0.22612953
 0.21338683 0.20732998 0.19248965 0.1911986  0.18906786 0.15200246
 0.13951669 0.13692553 0.14388188 0.10129608 0.10091403 0.09170204
 0.09452663 0.09398821 0.09756821 0.09146914 0.0934575  0.0888895
 0.07932899 0.07854372 0.07802139 0.07997339 0.07798776 0.07143373
 0.07019043 0.0731612  0.06982722 0.07078071 0.06701476 0.07045151
 0.07210669 0.06572517 0.06075605 0.05481837 0.0516775  0.05001502
 0.05142072 0.05281983 0.05513434 0.05215852 0.05292363 0.04785475
 0.04784976 0.04280205 0.04341243 0.04247631 0.04226488 0.04333159
 0.04539254 0.04528756 0.04595497 0.04108921 0.04467986 0.04507618
 0.04336831 0.0425039  0.04450399 0.0455887  0.04450173 0.04855216
 0.04893594 0.04968565 0.04947583 0.05262747 0.0537363  0.05360314
 0.05184979 0.0510516  0.05154137 0.05150236 0.05247078 0.05046423
 0.04910844 0.05201487 0.04969932 0.04893564 0.0447047  0.04398996
 0.04215543 0.04337328 0.04570174 0.0442382  0.04243091 0.03989102
 0.03891827 0.03817866 0.03949564 0.03918821 0.03899568]",auditory,searching,20.0
contrastive,16,"[ 0.         -0.02921376 -0.09338102 -0.05485503 -0.06143404 -0.11077684
 -0.11260691 -0.13229619 -0.11055605 -0.11034025 -0.10886651 -0.14592594
 -0.16513579 -0.19075505 -0.20967195 -0.1899323  -0.18953332 -0.19536087
 -0.20519361 -0.21260699 -0.2202646  -0.24864193 -0.24830537 -0.2722351
 -0.27004856 -0.30921984 -0.30847722 -0.31728223 -0.31017761 -0.30771225
 -0.31561607 -0.3228772  -0.33502993 -0.33563293 -0.33285498 -0.34797981
 -0.34380357 -0.34015367 -0.34829886 -0.34881506 -0.36188492 -0.37194593
 -0.37472025 -0.38175888 -0.38211175 -0.39038858 -0.39077207 -0.39629737
 -0.39634532 -0.39631537 -0.39800779 -0.40354994 -0.40252666 -0.40215001
 -0.4010836  -0.40673999 -0.40630197 -0.40514481 -0.40322902 -0.40299534
 -0.40033845 -0.40004913 -0.40333892 -0.40501072 -0.40676178 -0.40665589
 -0.40870942 -0.4124075  -0.41480349 -0.41934939 -0.42097612 -0.42247696
 -0.4217111  -0.42388448 -0.42115919 -0.42239883 -0.4201801  -0.41896919
 -0.42035135 -0.41915368 -0.417267   -0.41559056 -0.41505783 -0.41511575
 -0.41472343 -0.41336508 -0.41409798 -0.41316161 -0.41493668 -0.41716953
 -0.4179351  -0.41885489 -0.41743104 -0.41864307 -0.42021949 -0.42124524
 -0.42141173 -0.42176234 -0.42281151 -0.42376905 -0.42381863]","[0.         0.25984176 0.33286722 0.35722751 0.37391659 0.40054781
 0.4293505  0.41714317 0.41693966 0.41565786 0.43285362 0.43006937
 0.4151675  0.42645839 0.43147149 0.4288989  0.42858503 0.40033927
 0.39078446 0.38943256 0.40060827 0.38209956 0.38682378 0.413915
 0.40974892 0.41050538 0.41492924 0.42303387 0.42280859 0.41703898
 0.41105102 0.4090743  0.41680095 0.41446839 0.41846935 0.42060937
 0.41347039 0.40675816 0.41520325 0.41608899 0.41806768 0.42685076
 0.4274025  0.42784161 0.43299025 0.43356755 0.4332625  0.43504184
 0.43752408 0.43767174 0.43908193 0.44396698 0.44634742 0.44220279
 0.43914924 0.43871153 0.43796416 0.44072882 0.43748818 0.43512447
 0.436221   0.4372175  0.43994525 0.43857511 0.43851733 0.43824677
 0.43863004 0.43899227 0.43904967 0.44285594 0.44481547 0.44731705
 0.44646017 0.447771   0.44768193 0.44798043 0.44560733 0.44644823
 0.4489152  0.44575908 0.44463692 0.44058914 0.43883385 0.43935726
 0.44064267 0.4405564  0.44188003 0.44440095 0.44402703 0.44556219
 0.44595863 0.44461078 0.44381141 0.44457146 0.44467455 0.44506174
 0.44372523 0.44544614 0.44635113 0.44673805 0.445426  ]",auditory,has_item,11.0
contrastive,16,"[ 0.         -0.08139171 -0.11247335 -0.10896831 -0.14489417 -0.19951726
 -0.21436368 -0.24079912 -0.22502376 -0.24011822 -0.2243386  -0.24226791
 -0.26438797 -0.29373256 -0.29202835 -0.28386532 -0.28579528 -0.28618417
 -0.30238463 -0.29901516 -0.30590946 -0.32789773 -0.32965948 -0.35387136
 -0.35368254 -0.38245927 -0.38096825 -0.39077499 -0.39099151 -0.39218283
 -0.39989497 -0.41074924 -0.42263334 -0.42256315 -0.42042801 -0.42936417
 -0.4236989  -0.42276225 -0.42835049 -0.42898588 -0.44139864 -0.45159734
 -0.45099594 -0.45630318 -0.45606976 -0.46284589 -0.46643487 -0.4706619
 -0.46698443 -0.46902983 -0.47026976 -0.47335336 -0.47297286 -0.47234676
 -0.47286097 -0.47945878 -0.48039695 -0.47906017 -0.47777508 -0.4765545
 -0.4746619  -0.47563433 -0.47748075 -0.48126247 -0.48295854 -0.48399695
 -0.48773477 -0.49055113 -0.49258552 -0.49533692 -0.49753583 -0.49764277
 -0.498549   -0.49981196 -0.50153604 -0.50151186 -0.50053924 -0.50115047
 -0.50191004 -0.49977003 -0.49870967 -0.49879861 -0.49732292 -0.4981265
 -0.49813802 -0.49847284 -0.49816226 -0.49774498 -0.49974436 -0.50021691
 -0.50072132 -0.50159041 -0.49962792 -0.50198295 -0.50322975 -0.50385532
 -0.5057466  -0.50743004 -0.50860551 -0.50935072 -0.50828122]","[0.         0.26709794 0.34058137 0.3757842  0.39943243 0.40975503
 0.42441037 0.40069643 0.41168159 0.41230409 0.41826143 0.40861908
 0.39472941 0.39876354 0.40196257 0.40416936 0.4014483  0.3767997
 0.365443   0.36058578 0.3672733  0.35198426 0.35396207 0.3707377
 0.36983056 0.36470215 0.36885541 0.37598127 0.37782208 0.37602706
 0.37106614 0.37012338 0.37474834 0.37115625 0.37460671 0.37259244
 0.36657329 0.36215188 0.36763722 0.36864459 0.36882013 0.37388289
 0.37286186 0.37234745 0.37581457 0.37522611 0.37587395 0.37728675
 0.37787902 0.37850527 0.37983356 0.38276981 0.38480202 0.38173903
 0.3795082  0.37957746 0.37915994 0.3811477  0.37817551 0.37656647
 0.377404   0.37859574 0.37989139 0.37917499 0.37890359 0.37896751
 0.37951748 0.37937855 0.37870016 0.38071907 0.38209893 0.38349627
 0.38333115 0.38395787 0.3854158  0.38517397 0.38347762 0.38474851
 0.386439   0.38365214 0.38331777 0.38090963 0.37940661 0.37995979
 0.38111292 0.38160268 0.38202908 0.38413119 0.38359573 0.38404881
 0.38435943 0.38333971 0.38248798 0.38349689 0.38343597 0.38353122
 0.38306297 0.38507401 0.38574358 0.38595652 0.38441297]",auditory,searching,2.0
contrastive,16,"[ 0.         -0.10154544 -0.0822888  -0.05426381 -0.06537345 -0.09833916
 -0.09901969 -0.11367196 -0.08755669 -0.09348028 -0.0913519  -0.09106403
 -0.08697696 -0.11316412 -0.11395734 -0.11079144 -0.11697419 -0.11306667
 -0.11820531 -0.11965737 -0.11821675 -0.13447939 -0.13666904 -0.15248193
 -0.15054182 -0.16993811 -0.17336196 -0.18118585 -0.17392267 -0.17663239
 -0.18323481 -0.19339146 -0.20026353 -0.19812347 -0.20035504 -0.20695035
 -0.2056991  -0.20452483 -0.20593119 -0.21037076 -0.22176194 -0.22495573
 -0.22360896 -0.22884874 -0.22604792 -0.23152562 -0.23611002 -0.24078222
 -0.23906996 -0.2438141  -0.24252598 -0.24186331 -0.2424998  -0.23826726
 -0.23838321 -0.24356873 -0.24507653 -0.24382475 -0.24307577 -0.24515972
 -0.23999154 -0.2389821  -0.24181879 -0.24947037 -0.248682   -0.2473998
 -0.24993487 -0.25196455 -0.2503208  -0.25235495 -0.25360537 -0.25443411
 -0.25325254 -0.25629083 -0.25831259 -0.25693379 -0.25519487 -0.25468306
 -0.2557597  -0.25286591 -0.24987569 -0.24960133 -0.24780923 -0.24928225
 -0.2463164  -0.24622175 -0.24544339 -0.24454701 -0.24636821 -0.24554827
 -0.24549596 -0.24472161 -0.24366703 -0.24361255 -0.24479213 -0.24461275
 -0.24584949 -0.24571757 -0.24758345 -0.24819178 -0.24637081]","[0.         0.26978348 0.35422541 0.39496209 0.41766653 0.42535028
 0.44897235 0.4410742  0.46316972 0.46436196 0.45995763 0.471191
 0.48188936 0.4876047  0.48967316 0.48650904 0.48492178 0.47757291
 0.47776261 0.47170351 0.48244389 0.48189097 0.48429496 0.49849463
 0.49975983 0.50825678 0.5033843  0.50795376 0.51683988 0.51542236
 0.51317533 0.51077529 0.51950683 0.518484   0.51528181 0.516735
 0.50560352 0.50207059 0.50968153 0.50524431 0.5073572  0.51902933
 0.51936782 0.51922252 0.52358291 0.52446543 0.52415346 0.52390327
 0.52223025 0.51899597 0.52275185 0.52872826 0.52877257 0.53012333
 0.52961986 0.5311241  0.53028387 0.53087501 0.52814721 0.52347091
 0.52811909 0.53034812 0.52971166 0.52402792 0.52671249 0.52933345
 0.53119194 0.53210912 0.53630085 0.5389741  0.54055557 0.54066615
 0.54351404 0.5412666  0.54216152 0.54352928 0.54355668 0.54588186
 0.54659993 0.5462119  0.54795322 0.54682484 0.54632817 0.54529521
 0.54960007 0.55065555 0.55163579 0.55290231 0.55288634 0.55450511
 0.5555621  0.55732069 0.55549949 0.55921582 0.55932838 0.56039158
 0.56097948 0.56462245 0.56409518 0.56419021 0.56433008]",auditory,searching,8.0
contrastive,16,"[ 0.         -0.06697035 -0.02982089 -0.00576046 -0.03297641 -0.06075398
 -0.05317406 -0.06465062 -0.04829847 -0.05844168 -0.06535961 -0.05947262
 -0.05553083 -0.06716416 -0.05413343 -0.04964047 -0.05310185 -0.05530222
 -0.05425648 -0.05937604 -0.05716385 -0.07363545 -0.07632302 -0.09134869
 -0.09576442 -0.11242896 -0.11841862 -0.12822044 -0.11943324 -0.11434769
 -0.12221746 -0.131158   -0.13402726 -0.13245312 -0.13064526 -0.13646629
 -0.12585089 -0.12748917 -0.12809188 -0.12895365 -0.13675999 -0.14217694
 -0.13924398 -0.14435551 -0.14374938 -0.15029913 -0.1519794  -0.1555054
 -0.15039662 -0.1509517  -0.1492008  -0.15195741 -0.15097938 -0.14805092
 -0.15142458 -0.15822256 -0.15770137 -0.15392819 -0.15113353 -0.15434264
 -0.14998044 -0.1472222  -0.14527903 -0.15300746 -0.15121061 -0.15379841
 -0.15747205 -0.15714375 -0.15575524 -0.15686469 -0.15588744 -0.1543821
 -0.15170264 -0.15427051 -0.15354907 -0.15152875 -0.15025343 -0.14881973
 -0.15179428 -0.14585124 -0.14912634 -0.14728271 -0.14709172 -0.14847487
 -0.1467166  -0.14643179 -0.14118417 -0.14061927 -0.14264101 -0.14007324
 -0.13979758 -0.13786619 -0.13915726 -0.13684993 -0.13772688 -0.1386537
 -0.13780487 -0.13894688 -0.14359133 -0.14417124 -0.14155904]","[0.         0.30304162 0.38444914 0.42205721 0.42234017 0.43412254
 0.45531854 0.4555017  0.46280932 0.45825721 0.45406502 0.46110598
 0.46587423 0.48016862 0.48867947 0.48273793 0.48364595 0.47222422
 0.47755724 0.47485112 0.47936255 0.47963538 0.48363374 0.49373439
 0.49091428 0.49862472 0.48919307 0.49000571 0.50056328 0.50269473
 0.49835624 0.49860824 0.51053493 0.51099538 0.51387898 0.51650277
 0.51339671 0.51155317 0.51854966 0.51395531 0.51470173 0.52267584
 0.52437681 0.52184556 0.52243552 0.52126548 0.52189081 0.52109996
 0.52520353 0.52648161 0.52874644 0.52844524 0.52910619 0.53150459
 0.52809784 0.52943978 0.52845073 0.52997053 0.5294408  0.52388831
 0.5239948  0.52648197 0.52797995 0.52458633 0.52734837 0.52371078
 0.5235325  0.52686446 0.529365   0.53230373 0.53483392 0.53525184
 0.53821707 0.53745652 0.53958001 0.54204425 0.54129271 0.5428543
 0.54139487 0.54316074 0.54080707 0.5402403  0.53775507 0.53494333
 0.53774961 0.53951019 0.54154839 0.54217012 0.54167899 0.54441935
 0.54569243 0.54745168 0.54558499 0.55029087 0.55061902 0.55077212
 0.55231892 0.5538409  0.55097227 0.55085161 0.55209649]",auditory,searching,5.0
contrastive,16,"[ 0.         -0.11093565 -0.0630624  -0.02792135 -0.05180355 -0.06634069
 -0.04985742 -0.04993057 -0.03303179 -0.03854644 -0.0394518  -0.03276965
 -0.02110017 -0.02656906 -0.01675518 -0.01273086 -0.00957475 -0.01387884
 -0.01281988 -0.01267814 -0.0075301  -0.02166175 -0.02352924 -0.03380255
 -0.03501617 -0.04658895 -0.04971001 -0.05605651 -0.04701017 -0.0443062
 -0.04814077 -0.05147159 -0.05475218 -0.0525858  -0.05162539 -0.0566871
 -0.04771426 -0.04572211 -0.04468324 -0.04655955 -0.05154577 -0.05606685
 -0.05285984 -0.056813   -0.05500646 -0.06093469 -0.06495398 -0.06722737
 -0.06279755 -0.0632656  -0.06164344 -0.06481258 -0.06386323 -0.06173192
 -0.06465612 -0.07053033 -0.07077914 -0.0682484  -0.06593884 -0.06780529
 -0.06389029 -0.06237703 -0.06004313 -0.06765285 -0.06593154 -0.06735191
 -0.07129292 -0.07058865 -0.0703668  -0.07099917 -0.06988793 -0.06892286
 -0.0662806  -0.06753549 -0.06696731 -0.06492068 -0.06365068 -0.06337407
 -0.06697119 -0.06267383 -0.06458874 -0.06279382 -0.06091947 -0.06216026
 -0.06087952 -0.06010971 -0.05606157 -0.05562618 -0.05749662 -0.05454461
 -0.05465156 -0.05290398 -0.05363202 -0.05149624 -0.05200461 -0.05315984
 -0.0531236  -0.05318489 -0.05635861 -0.05688275 -0.05463763]","[0.         0.30469818 0.36600257 0.3932841  0.39345402 0.40394297
 0.42384293 0.42471718 0.43130603 0.42769124 0.42480068 0.43204376
 0.43853502 0.45501733 0.4606533  0.45519219 0.4598034  0.44774101
 0.45349284 0.45247162 0.45774146 0.45768217 0.463478   0.47488841
 0.47401264 0.48302974 0.47603617 0.47915182 0.4884772  0.48849639
 0.48816656 0.4914346  0.50100117 0.50290875 0.50473814 0.50728755
 0.50349455 0.50454538 0.51138506 0.50691939 0.50992703 0.51749926
 0.51872659 0.51769006 0.51982475 0.51981574 0.51795128 0.51865121
 0.52121587 0.52207789 0.5239656  0.52313142 0.5235278  0.52467979
 0.52242866 0.52430478 0.52283895 0.52312405 0.52229831 0.51859294
 0.51826359 0.51924966 0.52092594 0.51802664 0.52065665 0.51856619
 0.51833172 0.52158033 0.52239842 0.52513049 0.52718637 0.52725779
 0.52966674 0.52988861 0.53150249 0.53375891 0.53337146 0.53382479
 0.53161798 0.53195881 0.53103706 0.53025363 0.52963864 0.52702353
 0.52895909 0.530905   0.53164409 0.53196069 0.53144373 0.53409745
 0.53483809 0.53618285 0.53508396 0.53910561 0.53961705 0.5394086
 0.54007783 0.542071   0.54075546 0.54072404 0.54148977]",auditory,has_information,35.0
contrastive,16,"[ 0.         -0.09431241 -0.06917379 -0.05233397 -0.0804938  -0.09508548
 -0.08347728 -0.08534307 -0.07074968 -0.07254513 -0.07866799 -0.07252761
 -0.06567615 -0.06724251 -0.05688059 -0.05242213 -0.05191233 -0.05689099
 -0.05568135 -0.05360551 -0.0474882  -0.05770793 -0.05623168 -0.06447456
 -0.06752011 -0.07585702 -0.07875283 -0.08312602 -0.0755382  -0.07975214
 -0.08181369 -0.08767477 -0.09283704 -0.09253127 -0.08924958 -0.09511203
 -0.08887505 -0.08594104 -0.08669499 -0.0899193  -0.09378081 -0.09891631
 -0.09605698 -0.09875781 -0.09785864 -0.10282762 -0.10762313 -0.11030465
 -0.10772828 -0.10699002 -0.10461053 -0.10750071 -0.10707916 -0.10479568
 -0.10594819 -0.11161371 -0.11228178 -0.11072928 -0.10882772 -0.10935261
 -0.10682392 -0.10560933 -0.10437896 -0.11106965 -0.10935467 -0.1116764
 -0.11523535 -0.11436961 -0.11524555 -0.11601556 -0.1146309  -0.1143625
 -0.11314731 -0.11447175 -0.11491854 -0.11385959 -0.11289974 -0.11223177
 -0.11471977 -0.11108237 -0.11291724 -0.11067178 -0.1084     -0.10927123
 -0.10803325 -0.10755448 -0.10417536 -0.10412939 -0.1058792  -0.10380453
 -0.10440967 -0.10258832 -0.1030798  -0.10121033 -0.10160145 -0.10260494
 -0.10273782 -0.10362451 -0.10677588 -0.1072612  -0.104974  ]","[0.         0.30231294 0.3618137  0.38935799 0.38483533 0.39427223
 0.41616653 0.42160328 0.42638542 0.4217512  0.41936734 0.42560717
 0.43236111 0.44593727 0.45036053 0.44501583 0.45094343 0.44056439
 0.44492128 0.44323762 0.44694505 0.44563792 0.45089023 0.46151453
 0.46254997 0.4700636  0.46335933 0.46503016 0.47319848 0.47223484
 0.47026036 0.471769   0.478962   0.48074222 0.48260774 0.48504358
 0.48170991 0.48220668 0.48842663 0.4852476  0.48761097 0.49407015
 0.49552201 0.49394281 0.49648634 0.49585401 0.49381922 0.49370318
 0.49656402 0.49687593 0.49829629 0.4972283  0.49786157 0.4990139
 0.49635429 0.49787601 0.49653764 0.49739402 0.4969047  0.49307129
 0.49359337 0.49470506 0.49667411 0.49334332 0.49563201 0.49407057
 0.49367952 0.49661064 0.49724583 0.50000426 0.50201069 0.50252033
 0.50534223 0.5053805  0.50731633 0.50981321 0.50949982 0.50963441
 0.50709998 0.50789225 0.50678029 0.50594337 0.50521873 0.50263356
 0.50445824 0.50641191 0.50715208 0.50754405 0.50702768 0.50977382
 0.51065797 0.51188725 0.51083101 0.51457382 0.51500307 0.51479083
 0.51549955 0.51771371 0.51638842 0.51626894 0.51693559]",auditory,idle,41.0
contrastive,16,"[ 0.         -0.04903994 -0.03263165 -0.01177619 -0.03384282 -0.04130681
 -0.03169949 -0.02598191 -0.01283219 -0.01836211 -0.02028086 -0.01132453
 -0.00059211 -0.00632916  0.00224506  0.00852554  0.0080658   0.00561293
  0.00999487  0.01298968  0.02100768  0.01139589  0.01398463  0.00680318
  0.00448444 -0.00167794 -0.0016957  -0.00706228 -0.00038212 -0.00375118
 -0.00399763 -0.01034214 -0.01601994 -0.01622331 -0.01401219 -0.01852246
 -0.01264459 -0.00926967 -0.00970876 -0.01206058 -0.01551029 -0.02044942
 -0.01802414 -0.02074045 -0.01977156 -0.0234772  -0.02804727 -0.02991563
 -0.02782247 -0.02679463 -0.02448394 -0.02694362 -0.02653699 -0.02445778
 -0.0259656  -0.03118768 -0.03161021 -0.03002639 -0.02797489 -0.02826419
 -0.02634085 -0.0258963  -0.02416748 -0.02916901 -0.02746938 -0.02912977
 -0.03217005 -0.03130837 -0.03165306 -0.03196651 -0.03036803 -0.03019076
 -0.02882823 -0.03006259 -0.03066224 -0.02972203 -0.0290254  -0.02799478
 -0.03010935 -0.02683032 -0.02837806 -0.02620862 -0.02478331 -0.02525769
 -0.02378407 -0.0232653  -0.02048788 -0.02035857 -0.021628   -0.0202196
 -0.02056259 -0.01910647 -0.01945009 -0.01767769 -0.0180314  -0.01928725
 -0.01874767 -0.01947589 -0.02239208 -0.02301341 -0.02078981]","[0.         0.31750424 0.35788681 0.38751846 0.39224928 0.40836234
 0.42271195 0.42964978 0.43388833 0.42739019 0.42816402 0.43471972
 0.44242303 0.45089142 0.45301681 0.45010119 0.45571065 0.44820665
 0.45507236 0.45485184 0.4600845  0.45983056 0.46461136 0.47487498
 0.47608569 0.48512061 0.48218141 0.48364145 0.48903425 0.48823516
 0.4885251  0.48923277 0.49496032 0.49680379 0.49740886 0.500445
 0.49722104 0.49682713 0.5023234  0.50049667 0.50287754 0.50804309
 0.5089906  0.50764338 0.50966772 0.51030339 0.50857204 0.50932609
 0.51126554 0.51180973 0.51272978 0.51224443 0.51291232 0.51373577
 0.51110447 0.51282832 0.51175388 0.51240785 0.51217637 0.50910474
 0.50885881 0.50898774 0.51109967 0.51008474 0.51199755 0.51143407
 0.51172357 0.51420769 0.51530006 0.51813469 0.52007665 0.52048887
 0.52298282 0.52307739 0.52453885 0.52648757 0.52594721 0.52647971
 0.52478557 0.52508909 0.52448201 0.52369463 0.52209193 0.52028133
 0.52211125 0.52383139 0.52376139 0.5242232  0.52429919 0.52586132
 0.52691302 0.5275687  0.52685433 0.52989318 0.53030061 0.52982101
 0.53114217 0.53318168 0.53229518 0.53204021 0.53252595]",auditory,idle,17.0
contrastive,16,"[ 0.         -0.03062684 -0.0182689   0.00787807 -0.01839278 -0.03071012
 -0.0250345  -0.01981892 -0.00833013 -0.01833009 -0.01877611 -0.01469658
 -0.01064151 -0.01804165 -0.0084461  -0.00109362  0.00073828 -0.00389094
  0.00556992  0.01109052  0.01634964  0.00733766  0.01159812  0.00840965
  0.00754374  0.00300035  0.0050501  -0.0032257   0.00184748 -0.00266611
 -0.00435655 -0.00888461 -0.01197966 -0.0146362  -0.01339155 -0.02051542
 -0.01443768 -0.01226096 -0.01039993 -0.01235913 -0.0190817  -0.02318451
 -0.02077562 -0.02446991 -0.02212485 -0.02461347 -0.02882369 -0.02986137
 -0.02755865 -0.02759827 -0.02759696 -0.02728536 -0.02735207 -0.02465388
 -0.02727204 -0.03092976 -0.02881567 -0.02902238 -0.02661293 -0.02768727
 -0.0261768  -0.02547643 -0.02342769 -0.02568152 -0.02423999 -0.02474375
 -0.02727323 -0.0276263  -0.02768797 -0.02802146 -0.02621047 -0.0280083
 -0.0274788  -0.02875991 -0.02982219 -0.02852249 -0.02923212 -0.02895867
 -0.03072753 -0.0270893  -0.02866296 -0.02566971 -0.02402063 -0.023601
 -0.02038323 -0.02037873 -0.01818757 -0.01760828 -0.01840177 -0.01806737
 -0.01762284 -0.01893658 -0.01968451 -0.01786084 -0.01714744 -0.01803706
 -0.01815006 -0.01915203 -0.02147799 -0.02326176 -0.0207713 ]","[0.         0.32108725 0.35925423 0.38442035 0.39819069 0.40918565
 0.42201984 0.43273371 0.43333975 0.42927336 0.42695043 0.43217578
 0.43505823 0.4434415  0.44656798 0.44035784 0.44608654 0.43945784
 0.44231944 0.43985553 0.44369108 0.44492427 0.45086656 0.46006309
 0.46019936 0.4680471  0.46444019 0.46573511 0.47033753 0.46931458
 0.46913923 0.47046457 0.47628029 0.47790516 0.47726718 0.48051117
 0.4778752  0.47757323 0.4819699  0.48093916 0.48550977 0.48931675
 0.49105145 0.49071265 0.49227965 0.49241303 0.49201656 0.49258907
 0.49408238 0.49434835 0.49563748 0.49401746 0.4943189  0.49555069
 0.49035153 0.49094598 0.48984679 0.48997608 0.48898264 0.48517003
 0.48532715 0.48515519 0.48638519 0.48536636 0.48660385 0.48647233
 0.48708908 0.48997551 0.49043688 0.49304948 0.49479179 0.49465026
 0.49670811 0.49672747 0.49892441 0.50026884 0.50007726 0.50108324
 0.4986105  0.49893655 0.49808889 0.49727964 0.49547504 0.49391901
 0.49522874 0.49689167 0.49676419 0.49712475 0.49753977 0.49911437
 0.50008943 0.50083222 0.50028834 0.50320604 0.50352135 0.50276862
 0.50393953 0.505499   0.50477895 0.50461036 0.50487631]",auditory,idle,26.0
contrastive,16,"[ 0.         -0.0051277   0.00854271  0.0453064   0.02912737  0.02287014
  0.0270904   0.03129179  0.05184507  0.04203471  0.04785033  0.05732064
  0.06440685  0.05828546  0.06680406  0.0726531   0.07544223  0.06880101
  0.08226604  0.08823451  0.09254295  0.08443474  0.08983328  0.08576505
  0.08440531  0.07964525  0.08078028  0.0734946   0.07995275  0.07549528
  0.07320704  0.06924648  0.06680725  0.06501232  0.0664191   0.06023136
  0.06609222  0.06907492  0.07056702  0.06878994  0.0630145   0.05950771
  0.06117903  0.05775253  0.06013823  0.05767197  0.05421873  0.05310448
  0.05565131  0.05578178  0.05623128  0.05650523  0.05661867  0.05964103
  0.05727372  0.05388913  0.0561158   0.05555024  0.0578033   0.05709324
  0.05841982  0.05922028  0.06118241  0.05896875  0.05979627  0.05930885
  0.05719829  0.0570473   0.05737174  0.05751702  0.05936027  0.05806425
  0.05872425  0.05755484  0.0568655   0.0584495   0.05803525  0.0582932
  0.05650274  0.0599762   0.05887186  0.06162636  0.06353206  0.06365467
  0.06657997  0.06651188  0.06876688  0.06945028  0.06877256  0.06943007
  0.06987346  0.06863662  0.06808732  0.069989    0.07087976  0.07013947
  0.06998794  0.06911018  0.06716883  0.06552064  0.06768383]","[0.         0.33882844 0.38610597 0.41085176 0.42464685 0.43590228
 0.4448079  0.45143639 0.45982786 0.45771084 0.45905589 0.46867464
 0.47306235 0.48185258 0.48291591 0.47502051 0.48202337 0.47542391
 0.48006082 0.47914293 0.48075083 0.48345374 0.48908711 0.49607859
 0.49603849 0.50268369 0.49867304 0.50125864 0.50610699 0.50582555
 0.50536316 0.50708952 0.51302849 0.51548094 0.5156064  0.51887136
 0.51618025 0.51617856 0.51945808 0.51915003 0.52382369 0.52738878
 0.52795823 0.52801133 0.52939378 0.52950129 0.53004277 0.53037676
 0.53208089 0.53255894 0.5341296  0.53265185 0.53317435 0.53458629
 0.53066638 0.53154157 0.53083088 0.53059127 0.52939533 0.5266859
 0.52648547 0.52639258 0.5272337  0.52643362 0.52662014 0.52641796
 0.52755507 0.53022372 0.53105369 0.53390066 0.53538276 0.53596645
 0.53784228 0.53803264 0.54037859 0.54187977 0.54212843 0.54296168
 0.54089411 0.54091534 0.54082988 0.5397853  0.53863965 0.53692819
 0.5375816  0.53884138 0.5387976  0.53923594 0.53974476 0.54152615
 0.54232896 0.54305309 0.54289532 0.54540547 0.54592247 0.54551067
 0.54643063 0.54790676 0.54785753 0.54792766 0.5476721 ]",auditory,has_information,23.0
