method,dim_embedding,m,std,modality,signal
contrastive,8,"[ 0.         -0.05028606 -0.03708896  0.10088851  0.12279116  0.14219904
  0.18938016  0.1146108   0.13740405  0.1309115   0.172394    0.14710292
  0.11849784  0.17159578  0.19834074  0.22099547  0.2128809   0.2018365
  0.23255045  0.24939969  0.2834085   0.31867812  0.32411639  0.30969646
  0.31989855  0.33057156  0.30208372  0.29409628  0.30827964  0.28348614
  0.26576412  0.2888598   0.30983204  0.32025082  0.32516388  0.3577909
  0.35807295  0.38075018  0.35765278  0.36259548  0.38658191  0.40771722
  0.41262341  0.41563687  0.41239222  0.41119347  0.40788162  0.41004239
  0.40369569  0.41945119  0.42831397  0.43360117  0.42599314  0.44322452
  0.45790506  0.46197544  0.46167881  0.47780675  0.4751049   0.47439655
  0.48774232  0.48686773  0.48058942  0.47764795  0.47417672  0.48337934
  0.48180575  0.47846379  0.4745283   0.47821684  0.49169438  0.49040919
  0.49598105  0.49678739  0.50411997  0.50459967  0.50325822  0.50001546
  0.50627102  0.50311163  0.49789942  0.49143367  0.48893254  0.48967193
  0.48752268  0.48640211  0.48647663  0.47968249  0.47703184  0.48068658
  0.48242533  0.48020387  0.48307296  0.47884722  0.47718119  0.4793766
  0.47166084  0.47446998  0.47955852  0.4803031   0.4766712 ]","[0.         0.35002511 0.36863978 0.38866427 0.32859127 0.33043403
 0.35914799 0.38905187 0.37424217 0.33646474 0.32861059 0.33405633
 0.33706939 0.36336305 0.37753816 0.35754079 0.37207731 0.37880334
 0.35883207 0.35198463 0.32994894 0.31920113 0.30731898 0.30437503
 0.29210844 0.28663414 0.29645397 0.28042561 0.27353271 0.2712114
 0.28126068 0.2589534  0.21423604 0.22651649 0.21935064 0.17932892
 0.18927409 0.19042162 0.19351546 0.19681017 0.1823148  0.19905593
 0.18950786 0.19133235 0.18333337 0.16661699 0.17263232 0.17779735
 0.17974182 0.18292903 0.17253952 0.16720229 0.16599378 0.15504256
 0.14821217 0.15525723 0.15035005 0.13671081 0.13820227 0.13272712
 0.12701837 0.12549109 0.13076237 0.13949677 0.13793246 0.13029009
 0.12094143 0.12441748 0.1267605  0.12718891 0.1204676  0.1335672
 0.12608864 0.12378832 0.10619063 0.09721534 0.08821211 0.09007013
 0.08312883 0.09320736 0.09524212 0.09445008 0.09013466 0.08975171
 0.09017863 0.09113233 0.09046165 0.0915528  0.0896515  0.09221077
 0.09054462 0.09141809 0.0950353  0.09885335 0.09166479 0.08964596
 0.09748761 0.0918329  0.08771123 0.08507687 0.08065185]",kinetic,has_item
contrastive,8,"[0.         0.04177671 0.11175049 0.22271207 0.27030373 0.29859045
 0.33652462 0.3171903  0.3282866  0.33199689 0.35004808 0.35691193
 0.33288466 0.35094412 0.36750636 0.37339417 0.36318324 0.35660787
 0.36680934 0.37771741 0.39574664 0.41200997 0.42338123 0.41557315
 0.42478964 0.43095434 0.41934354 0.41158916 0.42202741 0.41091945
 0.40460711 0.41530301 0.42621579 0.43087868 0.43304741 0.45717512
 0.45568587 0.46851685 0.46047998 0.4645506  0.47840947 0.49194011
 0.49930345 0.49770642 0.4975889  0.49958865 0.49903362 0.4997292
 0.5006708  0.50804096 0.51405796 0.51701993 0.51004662 0.521419
 0.52909485 0.53572984 0.53489305 0.5439664  0.54186298 0.54002921
 0.54713753 0.54582462 0.5410693  0.53907012 0.53853647 0.54510935
 0.54465175 0.54125514 0.53858728 0.54190813 0.5500246  0.54847504
 0.55203053 0.55277569 0.55620859 0.55474784 0.5543066  0.55183511
 0.55434522 0.5538581  0.55197616 0.54718216 0.54640543 0.54632459
 0.54659852 0.54636922 0.54666529 0.54284495 0.54221172 0.54353462
 0.5459262  0.5425908  0.54370346 0.5411166  0.54030593 0.54247392
 0.5370951  0.53850966 0.54025806 0.53969766 0.53718425]","[0.         0.34825111 0.350049   0.3762096  0.32499121 0.32059088
 0.32666419 0.35986339 0.3454721  0.33043506 0.3166178  0.33059966
 0.33584671 0.33218171 0.33090428 0.31147501 0.31959763 0.3244389
 0.30267815 0.29396063 0.27388171 0.25746629 0.25242252 0.25628212
 0.24985905 0.24671765 0.25815862 0.2517089  0.24624018 0.25023895
 0.25958419 0.23922069 0.21290003 0.21634662 0.21267489 0.18556996
 0.19023364 0.18599395 0.19521559 0.19656821 0.18379918 0.18846624
 0.18090547 0.18160642 0.17801595 0.16995878 0.17164296 0.17275827
 0.17615524 0.17328657 0.16638435 0.16277726 0.16309809 0.15130101
 0.14339527 0.14701885 0.14373938 0.13145507 0.13086451 0.12714865
 0.12071573 0.11919666 0.12090128 0.1264031  0.12781983 0.12081852
 0.1155466  0.1166867  0.11908159 0.11806504 0.11015643 0.11653516
 0.11142573 0.1099252  0.09850622 0.0944171  0.09041649 0.09073487
 0.08473781 0.08958715 0.09259626 0.09398896 0.09340137 0.09284986
 0.09457109 0.09577139 0.09438917 0.09741979 0.09719333 0.09682105
 0.0958442  0.09519706 0.09590158 0.09862449 0.09542486 0.09473284
 0.10044632 0.09671226 0.09235842 0.09025416 0.08888432]",kinetic,idle
contrastive,8,"[ 0.         -0.03802073  0.05448711  0.16760592  0.21654814  0.23409413
  0.28445179  0.28850106  0.28792405  0.29154147  0.31977676  0.32815551
  0.31106758  0.32669063  0.33650664  0.34755766  0.34759443  0.34238036
  0.35646519  0.36770828  0.37189761  0.3795702   0.39663276  0.38944854
  0.39959348  0.4082947   0.39261537  0.38716896  0.39909698  0.39468808
  0.39090777  0.40293806  0.41573064  0.41724017  0.41867727  0.43282536
  0.42857579  0.43925044  0.43498805  0.43817025  0.44572196  0.45104228
  0.45876979  0.4544251   0.45400111  0.45773704  0.45800071  0.4605627
  0.46259171  0.46840428  0.47572086  0.47851993  0.47523399  0.48251338
  0.48872037  0.49390981  0.49336838  0.4986362   0.49758818  0.49603038
  0.50123283  0.50007094  0.49832729  0.49678578  0.49604007  0.50097479
  0.50207124  0.50123502  0.50059592  0.50391054  0.5082549   0.51085792
  0.51208176  0.50996864  0.51165942  0.51156488  0.51117324  0.50674948
  0.50859466  0.50847568  0.5061753   0.50222579  0.50293913  0.50211651
  0.50155224  0.50269351  0.50297398  0.50258314  0.50240415  0.50420517
  0.5048751   0.50241651  0.50417164  0.50282016  0.50291321  0.50504635
  0.49980708  0.4999077   0.50143927  0.50280187  0.50107679]","[0.         0.33715386 0.3253681  0.36496604 0.32018092 0.31378839
 0.31414949 0.32949301 0.32876271 0.31067974 0.29127234 0.30100498
 0.3100087  0.30379824 0.30037699 0.28882223 0.2884404  0.29216347
 0.27123    0.25763329 0.24827555 0.24629255 0.23499883 0.23761065
 0.2314701  0.23058127 0.2449484  0.23436821 0.22653088 0.22747465
 0.23166645 0.21619842 0.19975107 0.20137403 0.19812826 0.18137516
 0.18747263 0.18541902 0.18847536 0.18852226 0.18312399 0.18991158
 0.18472013 0.18445129 0.18419819 0.17609832 0.17599582 0.17338872
 0.17437623 0.17352944 0.16728285 0.16544618 0.16390266 0.15465383
 0.15075342 0.15413872 0.15418806 0.14905687 0.14873038 0.1446022
 0.14291403 0.14208085 0.13984923 0.13937507 0.14141244 0.13655835
 0.13133994 0.13031568 0.1300874  0.12810018 0.12720557 0.12781474
 0.12557402 0.12533053 0.11890831 0.11513009 0.11056569 0.11393476
 0.11256503 0.1151279  0.11883733 0.11973417 0.11736354 0.11876554
 0.12126641 0.12065939 0.1193112  0.11723856 0.11786363 0.11585722
 0.11616327 0.11490672 0.11523881 0.11470743 0.1103442  0.10891497
 0.11155427 0.10997526 0.10708003 0.10358492 0.10095676]",kinetic,has_information
contrastive,8,"[ 0.         -0.06101657  0.02027048  0.12038576  0.1525178   0.17297165
  0.20754061  0.21883844  0.22306823  0.23077175  0.25535689  0.25457601
  0.24709148  0.26222504  0.27080764  0.27399493  0.27417137  0.28349998
  0.30042918  0.31126437  0.31410116  0.32703973  0.34636862  0.3448136
  0.35440621  0.3632782   0.35716028  0.35305049  0.35897819  0.35179426
  0.34696256  0.35802192  0.36442114  0.36434149  0.36644911  0.37714353
  0.37594983  0.38511533  0.38445156  0.38676091  0.39312878  0.39592096
  0.40110681  0.39642846  0.40051641  0.39917091  0.39937137  0.40415458
  0.40370312  0.40883614  0.41512631  0.41645742  0.41461285  0.4210248
  0.42600657  0.42742802  0.42775526  0.43397266  0.43392058  0.43596504
  0.44209668  0.44140374  0.43972032  0.43935916  0.43901903  0.44346733
  0.44371869  0.44457568  0.44454889  0.44614213  0.45226466  0.4550437
  0.45339168  0.45217845  0.4531748   0.45413606  0.45426828  0.45082453
  0.45265243  0.45394165  0.45184913  0.44704037  0.44646886  0.44818979
  0.4470134   0.44785273  0.45017945  0.45015093  0.44920739  0.44928472
  0.45248382  0.4503146   0.45151418  0.45118347  0.45145888  0.4532444
  0.44921772  0.44964269  0.4505464   0.45171025  0.45067369]","[0.         0.35898945 0.34306839 0.37021095 0.34366409 0.33487792
 0.35443985 0.35445225 0.35653619 0.34939159 0.33108529 0.34134748
 0.33709045 0.33579364 0.33708422 0.34092773 0.33086452 0.31725165
 0.29919993 0.28583125 0.28081908 0.26948905 0.2564414  0.24132879
 0.23904455 0.23252484 0.24225055 0.23380974 0.23492028 0.23888974
 0.24582203 0.23042441 0.22409612 0.22853654 0.22383021 0.21357714
 0.21401373 0.21282617 0.20918367 0.20903052 0.20539989 0.21205329
 0.21337488 0.21405032 0.20682082 0.20874706 0.21271289 0.20573305
 0.21044925 0.20652149 0.2020773  0.19920042 0.19612997 0.1900102
 0.18819979 0.19495628 0.19226311 0.18976748 0.18678894 0.18179721
 0.17579479 0.17732998 0.17548427 0.17265556 0.17340136 0.17055031
 0.16930545 0.16648265 0.1661955  0.16671859 0.16147331 0.15829076
 0.16211201 0.16053434 0.16047216 0.15779073 0.15374193 0.15219371
 0.15022048 0.14972542 0.15082054 0.15378902 0.15404257 0.15230043
 0.15350847 0.15388081 0.14917758 0.1470109  0.14911402 0.14993658
 0.14520529 0.14417846 0.14456883 0.14321332 0.1391386  0.13856418
 0.13810946 0.13587978 0.13476623 0.1334548  0.13063663]",kinetic,searching
contrastive,8,"[ 0.         -0.0507356   0.01732125  0.12909449  0.15255261  0.18007674
  0.20774522  0.22072831  0.22263792  0.23493716  0.25951866  0.25824201
  0.24531323  0.25505892  0.26601263  0.27056127  0.27411397  0.28740838
  0.30070728  0.3132864   0.31433295  0.32500062  0.34350359  0.34219279
  0.34978111  0.35819931  0.35268072  0.34986789  0.3572319   0.3512653
  0.34915654  0.35847145  0.3639201   0.3653763   0.36607465  0.3760062
  0.37703868  0.38417372  0.38325787  0.38441539  0.38628366  0.38756256
  0.39229725  0.38894245  0.39005633  0.38639852  0.38846802  0.39159814
  0.39329146  0.39718394  0.39980495  0.40059412  0.39744353  0.40369068
  0.40849605  0.411184    0.41173641  0.41712241  0.4167111   0.41818936
  0.4230458   0.42151689  0.42005464  0.41942234  0.41906721  0.422985
  0.42304556  0.42481566  0.42487738  0.4264143   0.43029701  0.43282017
  0.43186577  0.4313654   0.43254655  0.43311183  0.43307783  0.42987633
  0.43028138  0.43125119  0.4293139   0.42504963  0.42431771  0.42508317
  0.42436844  0.42528822  0.42691329  0.42746326  0.42636104  0.42702495
  0.42853426  0.42665916  0.42791666  0.42813367  0.4286615   0.43083169
  0.42724294  0.42720095  0.42877144  0.4295839   0.42894938]","[0.         0.37608624 0.35246523 0.36571712 0.34347435 0.32824498
 0.34318016 0.34109059 0.3420394  0.33180285 0.31463586 0.32204832
 0.32893698 0.32857748 0.32744739 0.32920698 0.31688671 0.3001522
 0.28357765 0.26911997 0.26625935 0.25613332 0.24291603 0.22591964
 0.22479739 0.21931472 0.22626764 0.2185016  0.21884707 0.22274924
 0.2283015  0.21424522 0.20883306 0.21302287 0.20862045 0.19877778
 0.19812924 0.19674311 0.19382484 0.19281359 0.1905931  0.19625217
 0.1972672  0.19702764 0.19132233 0.19429002 0.19679438 0.19139737
 0.19384626 0.1906606  0.18809619 0.18506998 0.18301741 0.17712554
 0.17572269 0.18113394 0.17881585 0.17659219 0.17393487 0.16980135
 0.16499662 0.16711596 0.16508458 0.1630379  0.16302918 0.16107955
 0.16015482 0.15741033 0.15680051 0.15773121 0.15431443 0.15218931
 0.15484594 0.15300306 0.1528489  0.15047058 0.14740886 0.14628105
 0.14591454 0.14569003 0.14646759 0.14830089 0.14881887 0.1476836
 0.14842621 0.14832271 0.14472497 0.14277817 0.14451835 0.1446066
 0.14151478 0.140637   0.14063894 0.13906314 0.13543153 0.13464853
 0.13383012 0.13170305 0.13056657 0.1297897  0.12704567]",kinetic,has_item
contrastive,8,"[ 0.         -0.0627183   0.0079746   0.09991145  0.12690337  0.15334559
  0.17715067  0.18815987  0.19157585  0.19975676  0.22025969  0.22149639
  0.21318768  0.22093388  0.22987648  0.23992432  0.24322398  0.2570822
  0.26856875  0.28128773  0.28445579  0.29343612  0.30629841  0.30520819
  0.3126078   0.32039507  0.31560175  0.31255972  0.31801279  0.31243612
  0.31190896  0.31848539  0.32182494  0.32354944  0.32449147  0.33334431
  0.33487896  0.34063472  0.3392628   0.34175646  0.34249795  0.34245392
  0.34525564  0.34217787  0.34185069  0.33802345  0.33948619  0.3419147
  0.34479491  0.34804234  0.34986508  0.35142372  0.34837001  0.35466155
  0.35950538  0.36168876  0.36275142  0.36794957  0.36789921  0.3678517
  0.372315    0.37105569  0.36929878  0.36892994  0.36965468  0.37273215
  0.37277426  0.37397469  0.37367043  0.3747825   0.37799414  0.38085635
  0.38035813  0.38016272  0.38136324  0.38162153  0.38186909  0.37966308
  0.38027655  0.38058486  0.37992705  0.37668371  0.37654777  0.37722214
  0.3761677   0.37689817  0.37779198  0.37864364  0.37705887  0.3780341
  0.3795617   0.37797936  0.3795027   0.37938302  0.38008124  0.38210653
  0.37884915  0.37876339  0.3798811   0.38061639  0.37999357]","[0.         0.35280388 0.33172565 0.34561821 0.32904009 0.31586222
 0.32420673 0.32326839 0.32450595 0.31576996 0.30307455 0.30712428
 0.31101678 0.31260205 0.31330431 0.31125678 0.30060771 0.28553334
 0.27265591 0.26134313 0.26042708 0.25355717 0.24769751 0.2330771
 0.23139416 0.22644461 0.23120347 0.22493983 0.22563865 0.22877613
 0.23282837 0.22356513 0.21930591 0.22197859 0.21770364 0.21073655
 0.20887653 0.20844217 0.20629051 0.20338324 0.20274289 0.20857883
 0.21089564 0.21055937 0.20734913 0.20981714 0.21246174 0.20898391
 0.20966688 0.20763533 0.20644528 0.20306978 0.2010502  0.19673422
 0.19583112 0.20049984 0.19805093 0.19639021 0.19405568 0.19290389
 0.1900113  0.19121523 0.1902317  0.18835614 0.18676236 0.18679028
 0.18612765 0.18500744 0.18493265 0.18604656 0.18450972 0.18251705
 0.18385675 0.18219486 0.18190929 0.1805725  0.17811546 0.17579216
 0.17520366 0.17592405 0.17455682 0.17432634 0.17397717 0.17331693
 0.17410146 0.17444523 0.17287149 0.17111614 0.17299343 0.172476
 0.17034649 0.16927497 0.16884129 0.16837514 0.16556661 0.16517448
 0.16416587 0.16285558 0.16283189 0.16237749 0.16051559]",kinetic,searching
contrastive,8,"[ 0.         -0.07110072 -0.01311329  0.06461288  0.08494623  0.11016525
  0.13989351  0.14340248  0.1411941   0.14180228  0.16960357  0.16719238
  0.15598367  0.15947964  0.16197911  0.17002679  0.17791248  0.18565464
  0.19189974  0.20302004  0.20333994  0.2165354   0.23193547  0.23027966
  0.23278848  0.23951927  0.23540656  0.23078525  0.23478859  0.22736342
  0.22815196  0.23369851  0.23367484  0.23447774  0.23563847  0.24128918
  0.23937239  0.24432013  0.24290312  0.24683512  0.24555511  0.24532394
  0.24791204  0.24481253  0.24199536  0.23782354  0.23831692  0.2412817
  0.24343444  0.24652141  0.24777949  0.24836664  0.24482686  0.25013324
  0.25374717  0.25630057  0.25658654  0.26131898  0.26164736  0.26153235
  0.26531968  0.2640522   0.26164406  0.26115697  0.26102425  0.26285074
  0.26333408  0.26561959  0.26524114  0.26549659  0.26815349  0.27031184
  0.27081306  0.27146896  0.27242888  0.27187359  0.27231853  0.27000523
  0.26978379  0.26829616  0.2678818   0.26478155  0.26487073  0.26574008
  0.26527941  0.26642483  0.26608721  0.26682338  0.26495874  0.26474842
  0.26628683  0.26484151  0.26701254  0.26571695  0.26654018  0.26905142
  0.26584736  0.26584732  0.26652251  0.26815598  0.2665054 ]","[0.         0.37020844 0.34993759 0.36743942 0.36019853 0.34640006
 0.35489451 0.35474755 0.36092661 0.35797852 0.33948528 0.35036716
 0.35064173 0.35586097 0.36110776 0.3567085  0.34194927 0.33669985
 0.33410928 0.32787834 0.33016114 0.32130522 0.31661295 0.30899007
 0.31515705 0.31019563 0.31178661 0.30975856 0.31223197 0.31560048
 0.31815154 0.31413584 0.31874797 0.3225786  0.31661486 0.31611412
 0.31660401 0.31653689 0.31404535 0.30978071 0.31263014 0.31514626
 0.31785587 0.3177385  0.32028721 0.32252052 0.32599039 0.3232324
 0.32597108 0.32522844 0.32633958 0.32384452 0.32364572 0.32287303
 0.32424008 0.3258193  0.32594286 0.32585864 0.32382806 0.32237248
 0.32231431 0.32213661 0.32281907 0.32205766 0.32249054 0.32514726
 0.3245345  0.3211073  0.32166231 0.32392756 0.3240878  0.32418239
 0.32225691 0.31992215 0.32019131 0.32162434 0.32014554 0.31952205
 0.32058364 0.32435293 0.3230228  0.32221061 0.32169371 0.32061652
 0.31982625 0.31936607 0.32129071 0.32087497 0.32218948 0.32438629
 0.3235432  0.32239822 0.32077529 0.32262569 0.32106817 0.32014011
 0.31957502 0.31833435 0.31928089 0.31733484 0.31892455]",kinetic,has_information
contrastive,8,"[ 0.         -0.05377031  0.00954112  0.07352097  0.09988079  0.12301905
  0.14911038  0.15168131  0.15604198  0.15747025  0.17521489  0.17264585
  0.16134727  0.16914163  0.17268866  0.18289158  0.19143186  0.19909088
  0.20467499  0.214526    0.21511922  0.2259875   0.23849041  0.23579599
  0.23790054  0.2444044   0.24134975  0.23838649  0.24310459  0.238574
  0.24091401  0.24510574  0.24601304  0.2467454   0.24825666  0.25425685
  0.25447379  0.25858005  0.25687741  0.26070502  0.25944872  0.26051697
  0.26131045  0.25743253  0.25560204  0.25342655  0.25402196  0.25677477
  0.25842276  0.26222279  0.26313864  0.26304671  0.25996639  0.26407759
  0.26685361  0.26933096  0.26950457  0.27332414  0.27276881  0.27250698
  0.27587291  0.27503143  0.27275117  0.27245801  0.2732042   0.27404197
  0.27409106  0.27606508  0.27651531  0.27647159  0.27928147  0.28168812
  0.28188951  0.28339352  0.28404199  0.28339912  0.2833965   0.28046402
  0.27977555  0.27820953  0.27697473  0.27450682  0.27461222  0.27573437
  0.27512374  0.27589439  0.27610969  0.27650484  0.27425198  0.27357165
  0.27417038  0.27208045  0.27343418  0.27211385  0.27257827  0.2749554
  0.27202805  0.27200145  0.27324406  0.27469746  0.27331815]","[0.         0.38418658 0.3613599  0.37037974 0.36566713 0.35348242
 0.36228537 0.35962791 0.36310945 0.35753436 0.34231878 0.3523759
 0.35029692 0.35259724 0.35798562 0.35340722 0.34029759 0.33460839
 0.33234921 0.32335673 0.32320796 0.31507332 0.30844225 0.30182378
 0.30488675 0.30051416 0.29933727 0.29856217 0.30021159 0.30384861
 0.30584164 0.30082091 0.30439333 0.30821891 0.30283303 0.30227872
 0.30336499 0.30311624 0.30060994 0.29655742 0.29884267 0.30148258
 0.30348909 0.3034593  0.30548805 0.30824749 0.31138294 0.30887326
 0.31142858 0.31074989 0.31222791 0.30998083 0.3097133  0.30866425
 0.30975579 0.31137933 0.31173853 0.31161218 0.30907864 0.30761944
 0.30767574 0.30772241 0.30815164 0.30743037 0.30779285 0.30966139
 0.30921859 0.30561564 0.30625262 0.30844257 0.30831691 0.308144
 0.30618894 0.30410516 0.30425013 0.30534158 0.30381439 0.30311518
 0.30389141 0.30734809 0.30593248 0.30540411 0.30505409 0.30389812
 0.30298252 0.30243224 0.30414191 0.30363312 0.30497421 0.30684562
 0.30549979 0.30427595 0.30265315 0.3042628  0.30256289 0.30156472
 0.30110704 0.29987364 0.3007246  0.29894207 0.30034983]",kinetic,has_item
contrastive,8,"[ 0.         -0.05035755  0.00654984  0.05915119  0.08857354  0.1113189
  0.13766047  0.14040376  0.14572127  0.15457864  0.16878715  0.16797751
  0.15564577  0.16189776  0.16552055  0.17437565  0.18259817  0.18887638
  0.19327261  0.20458166  0.20686107  0.21704755  0.22945491  0.22789378
  0.23124662  0.24063624  0.2392736   0.23838771  0.24052048  0.23566935
  0.23824413  0.24130848  0.24609354  0.24827572  0.25082356  0.25875847
  0.26047162  0.264258    0.26236487  0.26498402  0.26298314  0.26432231
  0.26430518  0.26131037  0.26090677  0.25911033  0.25994524  0.26374261
  0.26602589  0.27116155  0.27233097  0.27317492  0.26942573  0.27286401
  0.27529969  0.27832202  0.27836462  0.28132138  0.28095766  0.28085407
  0.28537445  0.28372193  0.28380758  0.2840383   0.28524449  0.28480767
  0.28417886  0.28604388  0.28635139  0.28665062  0.28908394  0.29155302
  0.29105995  0.29206889  0.29215737  0.29128636  0.29026121  0.28775173
  0.28715008  0.28502632  0.28523685  0.28322851  0.28294442  0.28434728
  0.28416426  0.28477288  0.28527188  0.28548045  0.28342942  0.28363723
  0.28414373  0.2825061   0.28355428  0.28236854  0.28255527  0.28457179
  0.28187524  0.28158545  0.28323689  0.28493554  0.28413166]","[0.         0.37781217 0.35592164 0.37003455 0.36623399 0.35184136
 0.35916023 0.35606208 0.35940447 0.35496781 0.33935532 0.34384779
 0.34187027 0.34202163 0.34765056 0.34134574 0.33098694 0.32483325
 0.32385487 0.31362297 0.31104819 0.30466573 0.29845818 0.29201381
 0.29509755 0.29105418 0.28853291 0.28604458 0.28934423 0.29302774
 0.29663974 0.29059731 0.29341383 0.29770174 0.29327413 0.29217548
 0.29251935 0.29301961 0.29133591 0.28712365 0.28844547 0.29125936
 0.29345982 0.29233148 0.29395229 0.29770385 0.30066466 0.29792427
 0.30012795 0.29917985 0.30069432 0.29840991 0.29879046 0.29786236
 0.29926152 0.3001449  0.30003371 0.29881662 0.29664848 0.29540743
 0.29504976 0.2947097  0.29560176 0.29500186 0.29595144 0.29739859
 0.29642308 0.29301669 0.29392891 0.29584095 0.29560187 0.29558936
 0.29385377 0.29219651 0.29236972 0.29367466 0.29220408 0.29143365
 0.29197469 0.29530162 0.2936918  0.29321815 0.29294772 0.29133554
 0.2904285  0.29026992 0.29174737 0.29125503 0.2921712  0.29409208
 0.2928775  0.2919404  0.290138   0.29147781 0.28969903 0.28874859
 0.28849162 0.28736717 0.2879701  0.28614619 0.28722234]",kinetic,idle
contrastive,8,"[ 0.         -0.06302578 -0.0089538   0.04689353  0.08032999  0.10472482
  0.12455985  0.12164472  0.12917427  0.14080898  0.15297679  0.15245693
  0.14015583  0.1470805   0.15158712  0.15921028  0.16731929  0.1730183
  0.17618552  0.18541047  0.19072548  0.20628688  0.22068511  0.22386364
  0.22662457  0.23646766  0.23780601  0.23493385  0.23854794  0.23315973
  0.23752145  0.24327374  0.2510021   0.25546703  0.25751516  0.26544008
  0.26677581  0.26915289  0.26870575  0.26970253  0.26706728  0.26983848
  0.26884799  0.26696812  0.2661854   0.2645925   0.26758182  0.27016241
  0.27255304  0.27838274  0.28151213  0.28287473  0.27890021  0.28373944
  0.28705213  0.28806704  0.29018151  0.29143015  0.29166128  0.29067521
  0.29513196  0.29331753  0.29201547  0.29363199  0.29432525  0.29311141
  0.29367044  0.29562893  0.29233413  0.29362335  0.2958111   0.29764055
  0.29701935  0.29930834  0.29998955  0.29967092  0.29932313  0.29678655
  0.29687597  0.29367866  0.29526873  0.29390551  0.29389704  0.29569571
  0.29517253  0.29473032  0.29616095  0.29694965  0.29507872  0.29498757
  0.29621587  0.29399118  0.2949428   0.29534418  0.29533886  0.29679457
  0.29609173  0.29531184  0.29785206  0.29933383  0.30030314]","[0.         0.37872786 0.35636347 0.37053484 0.36930638 0.35286652
 0.36021571 0.36002341 0.36120218 0.3556707  0.34769264 0.34867417
 0.3461933  0.34865498 0.35192497 0.346953   0.33717571 0.33158779
 0.33149867 0.3233406  0.32157564 0.31313196 0.31047728 0.30118335
 0.3017772  0.29775025 0.29405998 0.29567621 0.29804257 0.30218358
 0.30463932 0.29669429 0.29592876 0.29913246 0.29304505 0.29229925
 0.29499357 0.29618193 0.2945925  0.2908908  0.29280531 0.2946784
 0.29806154 0.29748199 0.30032957 0.30266599 0.30443191 0.3006156
 0.30227513 0.30084931 0.30357013 0.29911898 0.29807582 0.29810638
 0.29966914 0.29943551 0.29936138 0.29762021 0.29500652 0.29263364
 0.29114572 0.29120213 0.29282471 0.29291154 0.29207752 0.29250078
 0.29191826 0.28847585 0.28850255 0.29138522 0.29138787 0.29004782
 0.2882045  0.28803678 0.28737367 0.28955923 0.28783468 0.28653341
 0.28836066 0.29127399 0.29087784 0.29061377 0.29014311 0.28793196
 0.28623591 0.28595956 0.28656046 0.2859147  0.28626417 0.28806306
 0.28832059 0.28851056 0.28735951 0.28931866 0.28827008 0.28625459
 0.28671619 0.28412538 0.28615732 0.28449584 0.28645342]",kinetic,has_item
