method,dim_embedding,m,std,modality,signal
contrastive,8,"[0.         0.06508071 0.17483418 0.13224765 0.16908345 0.23639553
 0.20215609 0.19077401 0.18246012 0.21401007 0.19916463 0.2364802
 0.23465166 0.28089878 0.28284021 0.27640771 0.32109426 0.3266776
 0.31709743 0.31548665 0.3283088  0.34571132 0.36329765 0.37028859
 0.39695661 0.40781071 0.38716871 0.40197288 0.43127958 0.42498036
 0.42038791 0.41088726 0.41657581 0.41697773 0.41518441 0.4118427
 0.40819331 0.40615598 0.40565144 0.40340018 0.41629573 0.39863385
 0.39165798 0.40614577 0.42585934 0.44304504 0.44220379 0.45191979
 0.45501891 0.44433727 0.44770001 0.45104388 0.45323048 0.45776746
 0.45677035 0.45594701 0.44929744 0.45577421 0.44868938 0.45665612
 0.45163117 0.46297668 0.45700205 0.45680166 0.46282316 0.46052168
 0.46012024 0.46335193 0.47836161 0.4860651  0.48302693 0.48090897
 0.47932067 0.49010705 0.4918678  0.49240136 0.49034294 0.49633153
 0.50438524 0.50592798 0.50553156 0.51258303 0.52317805 0.52090263
 0.52437715 0.52997778 0.53057682 0.51710657 0.51873656 0.52541084
 0.51962116 0.51825234 0.51937625 0.51194989 0.50698055 0.5058561
 0.50438164 0.5109697  0.50889624 0.5027356  0.50855929]","[0.         0.34974629 0.35008982 0.36441392 0.38702809 0.39855431
 0.3616455  0.3850851  0.37693663 0.31763767 0.34499462 0.32034194
 0.35106956 0.27513892 0.2342189  0.23440625 0.2464118  0.20818824
 0.22738126 0.22452119 0.23225981 0.23631645 0.24906177 0.2386533
 0.21283234 0.20797941 0.2195033  0.19903991 0.16940292 0.17872997
 0.18294186 0.18487211 0.17198618 0.17006234 0.18014572 0.17626774
 0.1993529  0.20408207 0.20991817 0.209952   0.19501378 0.21267028
 0.22794785 0.23780388 0.227533   0.21640741 0.20643587 0.19986886
 0.20034068 0.1887351  0.19358376 0.19140036 0.17987462 0.17949242
 0.1895605  0.17948008 0.18422986 0.17762795 0.16718861 0.1707511
 0.17952893 0.17513603 0.17692594 0.16638662 0.16747421 0.18940442
 0.18123551 0.1714956  0.16121251 0.16693947 0.16289568 0.17357347
 0.17007504 0.15033542 0.15028106 0.16331687 0.16627469 0.15858576
 0.15087134 0.14281681 0.12317564 0.12025511 0.10548308 0.10785279
 0.10077757 0.09860839 0.10064902 0.10533786 0.10946264 0.11023795
 0.10530352 0.10437892 0.09633049 0.10900264 0.1183093  0.10742482
 0.10800805 0.09958001 0.09504678 0.0991265  0.096453  ]",kinetic,has_item
contrastive,8,"[0.         0.23834209 0.28959131 0.2457984  0.2577569  0.30456147
 0.30594733 0.30846594 0.30640376 0.3185587  0.32104099 0.35958195
 0.36253009 0.39132411 0.39335028 0.38990615 0.40763821 0.40727446
 0.40146581 0.40876796 0.41307593 0.42320794 0.43651774 0.43859515
 0.4612115  0.46336651 0.46035113 0.46976097 0.49074746 0.48852403
 0.4897649  0.49293446 0.49595794 0.49584208 0.4952787  0.49122855
 0.48682838 0.48279109 0.48501583 0.48330946 0.4921263  0.48103983
 0.47747328 0.48746422 0.49345242 0.5017867  0.50204253 0.50768771
 0.50566592 0.49801304 0.50006254 0.50376575 0.50474265 0.50685502
 0.50881922 0.50623214 0.5037382  0.50592478 0.50393796 0.50730083
 0.50480645 0.51126658 0.50787981 0.50891303 0.51016771 0.51040196
 0.51019818 0.51129727 0.5190737  0.52399121 0.52011937 0.5185646
 0.51747377 0.52373421 0.52497135 0.52518983 0.52427427 0.52713158
 0.53261316 0.53232055 0.53107737 0.53526601 0.54187861 0.54097086
 0.54281975 0.5444473  0.54561275 0.53970717 0.5400527  0.54497996
 0.5427291  0.54157417 0.54204659 0.53687535 0.53407872 0.53312808
 0.53213544 0.53361543 0.53364423 0.53008083 0.53313433]","[0.         0.36482976 0.31637151 0.33874813 0.34780688 0.33804645
 0.31343496 0.34048347 0.32829488 0.2886062  0.31331109 0.29787486
 0.32123394 0.26636707 0.24758729 0.23803061 0.23377665 0.22377888
 0.23193445 0.22860007 0.22661845 0.22203625 0.22777091 0.21721024
 0.20453873 0.20211024 0.20682161 0.19165991 0.16986779 0.17368466
 0.1726675  0.17751303 0.16847106 0.16767136 0.17122833 0.16709155
 0.17831278 0.17901965 0.18268577 0.18213923 0.17310363 0.18658677
 0.19920299 0.20227427 0.19180653 0.18404928 0.17763316 0.17010641
 0.16746669 0.1603214  0.16080897 0.16075116 0.15334298 0.15235003
 0.15880016 0.15167326 0.15535868 0.14889292 0.14231186 0.14207776
 0.14845853 0.14488395 0.14650809 0.14006255 0.13922128 0.15439638
 0.14917692 0.14121379 0.13138282 0.13329461 0.13169882 0.13802911
 0.13606093 0.12328722 0.12179398 0.12983246 0.13179353 0.12631604
 0.11951998 0.11510512 0.10302546 0.09946724 0.09018795 0.09140565
 0.08524582 0.08244294 0.08401998 0.08800819 0.09052599 0.0884549
 0.08564521 0.08542765 0.08072487 0.08941995 0.09499427 0.08842523
 0.08862182 0.08250243 0.07989663 0.0841443  0.08122234]",kinetic,idle
contrastive,8,"[0.         0.30121793 0.27617102 0.23898456 0.27334278 0.30383538
 0.31412329 0.31772806 0.32072603 0.33961489 0.34067093 0.36544902
 0.37613387 0.4003936  0.39629316 0.39925954 0.40669491 0.40264634
 0.40782834 0.40269637 0.40463799 0.410323   0.42638675 0.43246189
 0.44843527 0.44825632 0.44657755 0.45483479 0.47191274 0.47305263
 0.46935805 0.47607192 0.47622828 0.47450583 0.4724465  0.47115129
 0.46934462 0.46898006 0.47655531 0.47417744 0.48255331 0.47637272
 0.47317902 0.47755206 0.48131536 0.48441161 0.48443534 0.48673957
 0.48660468 0.48251387 0.48267072 0.48459947 0.48442506 0.48484752
 0.48746013 0.48833323 0.48916856 0.48990281 0.48783057 0.4898926
 0.49051345 0.49586515 0.49200932 0.49335103 0.49356215 0.4940593
 0.49297302 0.49436298 0.49674489 0.49876493 0.49699889 0.49639439
 0.49398298 0.49912074 0.50054579 0.50236501 0.5053243  0.5072163
 0.51054392 0.51098335 0.51076346 0.51360948 0.51575593 0.51731924
 0.52011166 0.52218261 0.52240311 0.52004825 0.51924387 0.52332852
 0.52248007 0.5222352  0.52357825 0.51952591 0.51714041 0.51672322
 0.51546513 0.51617248 0.51625242 0.51372178 0.51513498]","[0.         0.35261623 0.31514889 0.31639382 0.31032608 0.29980713
 0.29818285 0.3191618  0.31014245 0.25424038 0.27733267 0.2602977
 0.27504086 0.23965616 0.23111436 0.21718685 0.22238661 0.21359867
 0.21129354 0.20981421 0.20536882 0.2066486  0.21125695 0.20085599
 0.18853967 0.18441287 0.1868067  0.16919007 0.15308703 0.15388362
 0.1559188  0.15439635 0.14754485 0.14810982 0.15368374 0.15128112
 0.15798216 0.15646353 0.1598833  0.15950512 0.15333288 0.1628907
 0.17414266 0.17692014 0.16756918 0.16153613 0.15760731 0.15278075
 0.14904323 0.14302696 0.14311464 0.14359958 0.13839107 0.13821086
 0.14268039 0.1351426  0.13559277 0.13112773 0.1267104  0.12811609
 0.13225742 0.13066022 0.13127996 0.12719878 0.12652808 0.13828071
 0.13413086 0.12875027 0.12313051 0.12464917 0.12324097 0.12640187
 0.12574877 0.11674569 0.11667687 0.11932258 0.11759494 0.11399059
 0.10910321 0.10534418 0.09603155 0.09404379 0.08903195 0.08823299
 0.08286177 0.07991221 0.0813986  0.08242538 0.08426489 0.08478688
 0.08221516 0.08137258 0.07772551 0.08350242 0.08595731 0.08040932
 0.08101082 0.07812094 0.07612797 0.07857589 0.07723898]",kinetic,has_information
contrastive,8,"[0.         0.2784681  0.26037233 0.21408213 0.24311461 0.26497174
 0.26090627 0.26332678 0.26415327 0.28155018 0.28620112 0.31607509
 0.31858116 0.33463025 0.32861463 0.3312692  0.34181209 0.34022977
 0.34576667 0.34950919 0.35479769 0.36109016 0.37444202 0.38019482
 0.39011606 0.3935342  0.39426582 0.40081711 0.41475595 0.41912832
 0.42045327 0.42664469 0.42903636 0.43029368 0.43015712 0.43072951
 0.4264534  0.42612174 0.43208456 0.4321784  0.43728333 0.43257083
 0.42784937 0.42908875 0.42890122 0.43137465 0.43244336 0.43194764
 0.43165333 0.42664689 0.42992137 0.42764708 0.42899929 0.42981353
 0.43209554 0.43253284 0.43452577 0.43562364 0.43385219 0.43620095
 0.43759712 0.44637821 0.44312565 0.44502554 0.44391739 0.44348316
 0.44574585 0.44484908 0.44557828 0.44821605 0.44608734 0.4452611
 0.44381051 0.44710892 0.44745986 0.44872328 0.45216408 0.45380779
 0.45690705 0.45577107 0.45569996 0.45791918 0.45913659 0.46163914
 0.46435123 0.46517537 0.46920671 0.4675548  0.46621641 0.47108779
 0.47042455 0.47067592 0.4722268  0.47074132 0.46841788 0.46731094
 0.46603771 0.46563588 0.46536282 0.46363808 0.46579649]","[0.         0.3437409  0.3057134  0.30689935 0.29921652 0.30614767
 0.31995978 0.33451996 0.33014534 0.28917859 0.2985036  0.28087305
 0.29781308 0.2761728  0.26735909 0.25392008 0.25062258 0.2438581
 0.24487312 0.23936992 0.22830433 0.22564632 0.23065043 0.22037424
 0.21757064 0.20961052 0.21041713 0.20058845 0.19177464 0.18814039
 0.1869621  0.18404175 0.17581007 0.1695876  0.17583087 0.17217992
 0.17827681 0.17606976 0.17736458 0.1716268  0.1665285  0.17267307
 0.18295809 0.18820382 0.18674837 0.18372449 0.17830683 0.17884664
 0.17719453 0.1741763  0.17016773 0.17533751 0.17020582 0.16987919
 0.17082996 0.16787094 0.16824025 0.16640862 0.16305895 0.16265592
 0.16413587 0.15628546 0.15935795 0.15660359 0.15589958 0.16358012
 0.1559773  0.15663777 0.15326133 0.15275646 0.15163667 0.15187103
 0.14888598 0.14611386 0.14736598 0.14744181 0.14549567 0.14340354
 0.14148547 0.14222502 0.13786961 0.13741173 0.13611576 0.13504023
 0.13234898 0.13370353 0.1288219  0.12769934 0.12762194 0.12596298
 0.12382658 0.12207506 0.11924055 0.11959397 0.12105303 0.12057032
 0.12016382 0.11991726 0.12100124 0.11966803 0.11677954]",kinetic,searching
contrastive,8,"[0.         0.26064692 0.23770534 0.20045652 0.24253353 0.26810448
 0.27423287 0.27720562 0.28046535 0.29603267 0.29109523 0.3105634
 0.31408502 0.32891203 0.32592199 0.3304004  0.33600382 0.33934552
 0.34206941 0.34635363 0.35136665 0.35698019 0.36758138 0.3720786
 0.38381856 0.38700486 0.38735895 0.39453935 0.4048675  0.40601108
 0.40716801 0.41374873 0.41363667 0.41573093 0.41725492 0.41705244
 0.41072992 0.41014177 0.41598901 0.41710475 0.4211634  0.41609578
 0.41230669 0.41272601 0.41270162 0.41582895 0.41731976 0.41757412
 0.41844557 0.41393183 0.41679411 0.4149359  0.41637061 0.41623997
 0.41848111 0.41897432 0.42008018 0.42048221 0.4190291  0.421842
 0.42226119 0.43016861 0.42797387 0.42999035 0.42953199 0.42928179
 0.43112036 0.42928415 0.42984029 0.43129375 0.4297271  0.42732657
 0.42716077 0.42978824 0.42983963 0.43061423 0.43317985 0.43366221
 0.43611527 0.43358529 0.4338208  0.43570091 0.43682598 0.43903726
 0.44116169 0.44160424 0.44394442 0.44220012 0.44105094 0.4445813
 0.44399908 0.44397992 0.4452879  0.44354285 0.44187128 0.44098365
 0.43918107 0.43820563 0.43778639 0.43594918 0.43719061]","[0.         0.34179197 0.32712885 0.3424018  0.3109647  0.31260617
 0.31847315 0.32420141 0.31965482 0.28050886 0.28525174 0.27649156
 0.29007783 0.27291967 0.2581096  0.24536446 0.2423742  0.23429445
 0.23514622 0.23112645 0.22507271 0.22031619 0.22396944 0.21511538
 0.20942835 0.20351643 0.20591979 0.19709153 0.19293624 0.19313819
 0.19082327 0.18857333 0.18145529 0.17352444 0.17674911 0.17436149
 0.18112595 0.17739563 0.17821798 0.17128026 0.16779825 0.17341459
 0.18086404 0.18630092 0.18491667 0.18206041 0.17634662 0.17631159
 0.17415194 0.17132011 0.16850508 0.1719034  0.16620512 0.16609051
 0.16696956 0.16432604 0.16488031 0.16200287 0.16003851 0.15974154
 0.16150992 0.15531303 0.15794646 0.15603483 0.15446994 0.16034557
 0.15375594 0.15473797 0.15170203 0.15140194 0.15081547 0.15064656
 0.14778358 0.1458751  0.1475702  0.14707381 0.14556855 0.1435073
 0.14142249 0.14252098 0.13877533 0.13829238 0.13728368 0.13668949
 0.13448503 0.1351848  0.13247173 0.13146384 0.13129048 0.13103553
 0.12881632 0.12795556 0.12557111 0.12623271 0.12693558 0.12696356
 0.12687097 0.12719105 0.12774241 0.12663231 0.12514057]",kinetic,has_item
contrastive,8,"[0.         0.2458669  0.22680945 0.19083513 0.22613943 0.24889008
 0.25452606 0.25235925 0.25262883 0.26480123 0.25580218 0.27532733
 0.27735423 0.29122991 0.29178958 0.29371059 0.30153167 0.30714798
 0.31293444 0.3146149  0.3201045  0.32584373 0.33279901 0.33683167
 0.34884371 0.35215654 0.35253492 0.35828362 0.36702613 0.36570895
 0.3669622  0.37109996 0.36998122 0.37116899 0.37120267 0.37155472
 0.36658376 0.36632991 0.37101215 0.37268499 0.37573153 0.37147706
 0.36761766 0.36819026 0.36955994 0.37232086 0.37449988 0.37310844
 0.37335416 0.36996879 0.37382302 0.3727418  0.37363057 0.37458157
 0.37686694 0.37663446 0.37635564 0.37652772 0.37568789 0.37826908
 0.37869914 0.38551173 0.3831408  0.38582704 0.38505565 0.38533431
 0.38677031 0.38497241 0.3846732  0.38625549 0.38586122 0.38413959
 0.38406711 0.38697145 0.38693759 0.38821549 0.39008752 0.39036839
 0.39210948 0.38951922 0.38944244 0.39104407 0.39184789 0.39385866
 0.39511381 0.39544641 0.39746872 0.39671085 0.39626807 0.40009373
 0.39967173 0.39995543 0.40093723 0.39883493 0.39714844 0.39634104
 0.39478369 0.39404793 0.39338093 0.39239602 0.39366962]","[0.         0.32270044 0.30965454 0.32053028 0.29641193 0.29834641
 0.30132576 0.30928924 0.30459462 0.27140219 0.27670363 0.27047429
 0.28377517 0.26865452 0.254386   0.24586609 0.24214698 0.23400597
 0.2317103  0.22998916 0.22499651 0.22125147 0.22557515 0.21911859
 0.21422255 0.21077329 0.21241994 0.20729837 0.20664985 0.20673908
 0.20500277 0.20365704 0.19918274 0.19360267 0.19735039 0.19512811
 0.19827655 0.19418975 0.19697711 0.19156198 0.18938136 0.193023
 0.19807411 0.20241855 0.19947022 0.1967897  0.19233082 0.19325441
 0.19169449 0.18837068 0.18509049 0.18695293 0.18269176 0.18167834
 0.1822179  0.18105733 0.18330741 0.18153873 0.17934607 0.17937862
 0.18058338 0.17694007 0.17862752 0.17683367 0.17560026 0.17926576
 0.17480883 0.17548711 0.17436922 0.17355905 0.17134756 0.17076272
 0.16800775 0.16630767 0.16750383 0.16677114 0.16617936 0.1647313
 0.16369763 0.16479905 0.16219376 0.1623006  0.16213878 0.16199588
 0.16167534 0.16240824 0.16099967 0.15897627 0.15768725 0.15707229
 0.1550194  0.15398128 0.15259378 0.1535214  0.15387109 0.15379687
 0.15350974 0.1534959  0.15402964 0.15200408 0.15083787]",kinetic,searching
contrastive,8,"[0.         0.19797457 0.1776146  0.14318152 0.167201   0.18930322
 0.19230202 0.19167579 0.20221746 0.20432604 0.19434879 0.21459289
 0.2138668  0.22211702 0.21929733 0.21892267 0.22148934 0.22580395
 0.2313453  0.2334076  0.238341   0.24397063 0.24338195 0.24714011
 0.25374809 0.25215595 0.25295063 0.256687   0.26544473 0.26227034
 0.2645591  0.26689398 0.26608862 0.26614177 0.26507555 0.26365246
 0.26123126 0.25911085 0.26551292 0.26709145 0.27095316 0.26650521
 0.26070594 0.26347311 0.26370065 0.26560853 0.26576743 0.26325913
 0.26307937 0.26050705 0.26338617 0.26386899 0.26514736 0.26675886
 0.26798722 0.26669955 0.26614836 0.26690815 0.26501238 0.26698377
 0.2670115  0.27271013 0.27016772 0.27319431 0.2727294  0.27218676
 0.27429512 0.2739058  0.27323465 0.2741733  0.27402163 0.27217744
 0.27247478 0.27424092 0.27320105 0.2740763  0.27574076 0.27591117
 0.27654179 0.27403392 0.27457581 0.27503835 0.27500878 0.27736527
 0.27866649 0.27907183 0.28069367 0.28018328 0.2809325  0.28334637
 0.28390542 0.28490432 0.28477446 0.28232507 0.27992204 0.27837465
 0.27664273 0.27704533 0.2767426  0.27570263 0.27651687]","[0.         0.35004736 0.35083184 0.35758218 0.34173893 0.33776755
 0.34413811 0.34610875 0.33480962 0.31689775 0.32153418 0.32039043
 0.33041772 0.32954764 0.32007816 0.32038747 0.32399104 0.31695812
 0.31321888 0.31150156 0.30720047 0.30267949 0.31728541 0.31191797
 0.31969366 0.32527139 0.32474526 0.32569574 0.32415381 0.32717108
 0.32378539 0.3268118  0.32247266 0.32155178 0.32577391 0.32771392
 0.3250367  0.32572816 0.32416715 0.32295901 0.31908727 0.32168149
 0.32756613 0.32565028 0.32573304 0.32604525 0.32701218 0.32913754
 0.32941511 0.32606757 0.32610296 0.32353272 0.32025    0.31783991
 0.32008177 0.32141939 0.32264498 0.32119861 0.32204096 0.32325591
 0.32447327 0.32483384 0.32628272 0.32445107 0.32302052 0.3267027
 0.32337331 0.32036821 0.32070302 0.32165863 0.32009015 0.31972929
 0.31810193 0.31987937 0.32242336 0.32227723 0.32261276 0.32212626
 0.32400808 0.32429585 0.3218156  0.3242124  0.32577278 0.32517755
 0.32495926 0.32573025 0.32581923 0.32453614 0.32131669 0.32367576
 0.32067565 0.31852354 0.31992469 0.32085168 0.32238976 0.32384678
 0.32407867 0.32178394 0.32110678 0.32010835 0.32065899]",kinetic,has_information
contrastive,8,"[0.         0.18508664 0.17487889 0.14212678 0.16929254 0.19088292
 0.19811562 0.20116524 0.20614267 0.21374857 0.20488179 0.22107822
 0.21871258 0.22922547 0.22641209 0.22634045 0.23269356 0.23825482
 0.23973466 0.24374978 0.249186   0.25644959 0.25676136 0.25992297
 0.26470104 0.26045779 0.26280688 0.26747496 0.27364875 0.27009683
 0.27098071 0.27306669 0.27438176 0.27102948 0.27047687 0.27054985
 0.2696164  0.26685781 0.27225572 0.27372758 0.27742628 0.27498077
 0.26964573 0.27176118 0.27174861 0.27369611 0.27414132 0.27179392
 0.27266947 0.27045143 0.27255266 0.27340612 0.27519354 0.27812175
 0.279297   0.2775013  0.27664873 0.2764733  0.27501873 0.27687128
 0.27676346 0.28143049 0.2802487  0.28344231 0.28282847 0.28270666
 0.28507734 0.28465411 0.28473352 0.28541463 0.2846214  0.28226213
 0.28227604 0.28333756 0.28242125 0.28283392 0.28466499 0.28537859
 0.28593826 0.28310259 0.28366099 0.28468236 0.28481712 0.28690277
 0.28736561 0.28678557 0.2882845  0.28762146 0.288708   0.29104122
 0.29063753 0.29123025 0.29033755 0.2878956  0.285423   0.28378937
 0.28197259 0.2823899  0.28235049 0.28099164 0.28191099]","[0.         0.36060019 0.35864266 0.35905914 0.33730832 0.33671615
 0.33839048 0.34146096 0.33777643 0.31487552 0.31775257 0.31457594
 0.32193593 0.32091574 0.3130516  0.31571152 0.31824635 0.31087716
 0.30843011 0.3091326  0.30340325 0.29757441 0.30872313 0.30456894
 0.30954725 0.31508286 0.31392674 0.3141185  0.31159926 0.31464445
 0.31134833 0.31314652 0.30944264 0.30819869 0.31193889 0.31328444
 0.3111325  0.31149732 0.30967939 0.30848388 0.30511149 0.30704792
 0.31229897 0.31049292 0.31049629 0.31111703 0.31182087 0.31383812
 0.31398469 0.31089309 0.31064965 0.30857525 0.30538391 0.3032519
 0.30515872 0.30674798 0.30778191 0.30551319 0.30628254 0.3069994
 0.30808929 0.30816061 0.30966598 0.30780173 0.30601861 0.3092955
 0.30609911 0.30329711 0.30359204 0.30455232 0.30289873 0.30234731
 0.30060737 0.30180507 0.30414145 0.30397258 0.30425707 0.30372887
 0.30538748 0.30543955 0.30318064 0.3055783  0.30711523 0.30655495
 0.30609301 0.30669159 0.3067574  0.3053071  0.30236107 0.30464154
 0.30164939 0.29958486 0.30081321 0.30174864 0.3031394  0.30438077
 0.30455778 0.30234645 0.30159937 0.30063702 0.30119355]",kinetic,has_item
contrastive,8,"[0.         0.20041548 0.18497009 0.15378507 0.17238819 0.18971803
 0.19405305 0.19645885 0.19911877 0.20967725 0.20387694 0.22638782
 0.2273092  0.23482156 0.23505982 0.23425758 0.24116643 0.24778357
 0.24893652 0.25125831 0.25893718 0.2676614  0.26785168 0.26865057
 0.27317849 0.26796751 0.27106444 0.27612255 0.28083584 0.27571538
 0.27647151 0.27911911 0.27985373 0.27666184 0.27523241 0.27575936
 0.27477911 0.27330226 0.27816636 0.27941471 0.28135944 0.2792427
 0.27286986 0.2754545  0.27717611 0.27991992 0.28080888 0.27845876
 0.27897402 0.27726537 0.27886556 0.28004828 0.28214369 0.28528525
 0.28595142 0.28494229 0.28368056 0.28311221 0.27990256 0.2827379
 0.28433091 0.28789481 0.28731071 0.29010098 0.28957415 0.29024327
 0.29234296 0.29084512 0.29147034 0.29268434 0.29248406 0.29021679
 0.29096883 0.29170607 0.29001628 0.29110039 0.292589   0.29323814
 0.2940976  0.29195583 0.29321022 0.29369206 0.29459176 0.29627849
 0.29689781 0.29658047 0.29832591 0.297957   0.29927598 0.30133195
 0.3006746  0.300288   0.29914502 0.29756574 0.29585655 0.29468986
 0.29217318 0.29192358 0.29220631 0.29059612 0.29077185]","[0.         0.35901937 0.3528141  0.35498412 0.33690155 0.33519932
 0.33864002 0.33742354 0.33056506 0.30628118 0.30908174 0.30529558
 0.31283145 0.31071079 0.302899   0.30622452 0.30604972 0.29961227
 0.29653293 0.29742943 0.29335124 0.28954417 0.299569   0.29571798
 0.30011177 0.30626512 0.30511192 0.30594444 0.30402045 0.30657247
 0.30387079 0.30462355 0.30219526 0.30086639 0.30485353 0.30603041
 0.30392918 0.30536481 0.3013134  0.30048934 0.29641616 0.29758073
 0.30289255 0.30089101 0.30030784 0.30062809 0.30195447 0.30393329
 0.30395096 0.30189536 0.30171257 0.29896039 0.29583021 0.29335543
 0.29441408 0.29541847 0.29597691 0.29347043 0.29443584 0.29422184
 0.29548639 0.29594941 0.29792632 0.29609666 0.29437051 0.29723049
 0.29371582 0.29101848 0.29120775 0.29216898 0.29083973 0.2902672
 0.28873995 0.28975077 0.2916906  0.29100206 0.29134734 0.29063166
 0.29220929 0.29244318 0.29023481 0.29233116 0.29333078 0.29273023
 0.2923715  0.29314509 0.29319063 0.29173359 0.28914025 0.29102202
 0.28827596 0.28594759 0.28686007 0.28792765 0.28914544 0.29038082
 0.29040083 0.2881542  0.28750154 0.28641724 0.28683251]",kinetic,idle
contrastive,8,"[0.         0.17238392 0.16304412 0.13620028 0.15505195 0.16849591
 0.1682951  0.17091714 0.17046213 0.17935916 0.18076549 0.20682514
 0.21343766 0.22007332 0.21707609 0.2162508  0.22019321 0.22585844
 0.22812659 0.23155768 0.23711504 0.24727152 0.24905792 0.25051262
 0.25296301 0.24955738 0.24947761 0.25621153 0.26249161 0.25819346
 0.25830199 0.25995343 0.25992525 0.25613708 0.25248934 0.25387551
 0.253444   0.25511982 0.25729601 0.26079359 0.26268398 0.260438
 0.25417629 0.25539743 0.25744822 0.26199406 0.2612349  0.26086094
 0.25948655 0.25927655 0.26280875 0.2659629  0.26848586 0.27338492
 0.27502069 0.27408742 0.27423172 0.27616276 0.27561053 0.28094588
 0.28064177 0.28371258 0.28380955 0.28756532 0.28612878 0.28576198
 0.2890401  0.28935815 0.28787896 0.28950364 0.29131043 0.28903331
 0.28996078 0.28898067 0.2860999  0.28751613 0.28778646 0.28789429
 0.29040711 0.28658967 0.28684694 0.28967259 0.2913442  0.29231619
 0.292097   0.2940451  0.29616718 0.29787313 0.30020727 0.30301817
 0.30179017 0.30504795 0.30579828 0.30451608 0.30367941 0.30235763
 0.3008049  0.29955648 0.3009841  0.29955322 0.29960976]","[0.         0.36794193 0.36065182 0.36415422 0.34243992 0.34083631
 0.34997663 0.34860262 0.34841573 0.32899008 0.32226185 0.31651792
 0.31923608 0.31969294 0.31635224 0.31672377 0.31666492 0.31544177
 0.31375862 0.30979535 0.30576336 0.30083973 0.30933859 0.30706852
 0.31156672 0.31659422 0.31832584 0.31710969 0.31735463 0.32051098
 0.31832397 0.31765865 0.31304639 0.31207131 0.31880571 0.31829056
 0.31438005 0.31477947 0.30883254 0.30825931 0.30465031 0.30707447
 0.31201939 0.31275966 0.30915691 0.30890329 0.31269634 0.31464746
 0.31356098 0.31138767 0.31090957 0.307656   0.30529735 0.30069711
 0.30242725 0.30435474 0.30578281 0.29970883 0.29672709 0.29518849
 0.29695928 0.29653497 0.29782702 0.29692756 0.29640198 0.29946292
 0.2963608  0.29274621 0.29532067 0.29462798 0.29163979 0.29193448
 0.29078521 0.29313583 0.29530966 0.29443184 0.29213574 0.29369128
 0.2942117  0.29485768 0.29442622 0.29572604 0.29688955 0.29599166
 0.29365154 0.2965506  0.29535771 0.29389583 0.29117275 0.2915583
 0.28946815 0.28843276 0.28608891 0.28653874 0.28980951 0.29121111
 0.29071078 0.28925804 0.28910817 0.28829213 0.2859708 ]",kinetic,has_item
