method,dim_embedding,m,std,modality,signal
contrastive,8,"[0.         0.24816793 0.26903477 0.27899279 0.27458343 0.28338233
 0.30083848 0.28616288 0.30768247 0.32966886 0.37361377 0.44647377
 0.49282193 0.45781954 0.47751348 0.47645591 0.48955522 0.50626572
 0.52979077 0.53550551 0.51016394 0.52987448 0.5207373  0.53619376
 0.5491226  0.55797622 0.56684508 0.58576176 0.58137765 0.5935577
 0.59625198 0.60505525 0.59516595 0.60654762 0.59717276 0.59482692
 0.59368034 0.59239429 0.59497903 0.58631737 0.5968065  0.5956921
 0.60564604 0.61330509 0.61944692 0.61694189 0.60703906 0.61910429
 0.61994535 0.62737377 0.63268699 0.63054846 0.63610121 0.63890295
 0.63211144 0.63600462 0.63708303 0.63954084 0.64121155 0.64600488
 0.64448105 0.64319752 0.6402002  0.6413825  0.64397198 0.64200931
 0.64183819 0.64280461 0.64493532 0.64909049 0.65205018 0.64604542
 0.65324405 0.65282528 0.65414494 0.65208307 0.64924082 0.65572213
 0.65493178 0.65663041 0.65320552 0.65681913 0.657124   0.66022889
 0.65957615 0.65732895 0.65942312 0.65490235 0.65569391 0.65697223
 0.65405409 0.6523265  0.65313367 0.65247385 0.65424191 0.6544136
 0.65298107 0.65368461 0.65145238 0.65218987 0.65062557]","[0.         0.40766559 0.46040708 0.4440144  0.43569567 0.45386057
 0.50908467 0.47231479 0.47492464 0.45812006 0.39574547 0.3516536
 0.29779138 0.30604729 0.29070365 0.30039657 0.27505162 0.26273592
 0.23332253 0.24752068 0.28558922 0.29373484 0.24952474 0.25654938
 0.22935709 0.21405985 0.19243307 0.16320372 0.16888439 0.15005893
 0.14103738 0.12465907 0.13681652 0.11464605 0.12250662 0.13319692
 0.12912741 0.14320088 0.15011129 0.15297817 0.15117816 0.15418878
 0.13646494 0.14201471 0.13843504 0.14731239 0.14685474 0.13450175
 0.1371981  0.13053307 0.12343653 0.1271743  0.11218898 0.10417273
 0.11471934 0.10839908 0.11044117 0.10660657 0.10243645 0.09624939
 0.09516635 0.09003499 0.09406229 0.09403587 0.09235725 0.0908205
 0.08837579 0.08337215 0.07688132 0.07008875 0.06749885 0.07020839
 0.07403346 0.07123889 0.07126269 0.07174373 0.07197037 0.07091993
 0.07151628 0.0732627  0.06942108 0.06407574 0.06016894 0.05787906
 0.05474824 0.05769135 0.05382966 0.05226491 0.05174144 0.05010071
 0.05027246 0.05010396 0.04997509 0.05062854 0.0483298  0.04981357
 0.04716568 0.04730865 0.04709756 0.04906456 0.04431609]",auditory,searching
contrastive,8,"[0.         0.26340563 0.27857291 0.24287367 0.27945352 0.26651619
 0.21193393 0.23234705 0.23363123 0.25972317 0.28459367 0.27524476
 0.30023065 0.30277937 0.33262069 0.32961455 0.33962494 0.32751874
 0.35137068 0.36025241 0.34211877 0.35851646 0.34616788 0.37452971
 0.38108683 0.37294543 0.36796628 0.37574516 0.38446025 0.39167418
 0.39474727 0.38844009 0.39622578 0.40771353 0.3874789  0.38060543
 0.37276975 0.37037179 0.34605533 0.33980923 0.34111228 0.31886996
 0.31130057 0.30260204 0.31894803 0.31585219 0.3143605  0.32122544
 0.32428408 0.33038332 0.32367524 0.32103389 0.3390015  0.3335708
 0.31875648 0.32390549 0.31666461 0.32296993 0.32311709 0.31521209
 0.32044672 0.32059391 0.31874908 0.32036478 0.32180473 0.31568973
 0.31952188 0.33329648 0.32654662 0.32954968 0.33143729 0.33181898
 0.32919449 0.32925838 0.33165201 0.33583602 0.33886806 0.34422318
 0.34130385 0.34434351 0.34099565 0.33659588 0.33053534 0.33474005
 0.33359352 0.33035432 0.33477318 0.32697105 0.32888896 0.33141758
 0.32271352 0.31932847 0.32009029 0.31859366 0.32339333 0.32829631
 0.32526636 0.32635913 0.32051401 0.32242072 0.32459103]","[0.         0.46925721 0.48049776 0.47895088 0.4687793  0.48014164
 0.55564334 0.52468227 0.51279574 0.49725967 0.45266075 0.47372396
 0.4519209  0.44055681 0.4386809  0.41316321 0.37229132 0.39967217
 0.38206982 0.38466589 0.3818767  0.35965285 0.33151419 0.31731497
 0.31520718 0.31324609 0.32384204 0.33392272 0.33656453 0.32883423
 0.31935369 0.32939039 0.31533843 0.30875904 0.31288553 0.29995065
 0.30120948 0.31274165 0.34826093 0.35386765 0.35140646 0.37108421
 0.3831405  0.39952347 0.3845091  0.37614633 0.36778522 0.36354554
 0.36624786 0.35785003 0.36467302 0.37487951 0.36366619 0.36535768
 0.36679368 0.36677078 0.37450252 0.37489577 0.37373854 0.38491329
 0.38212103 0.37881277 0.37977287 0.37965604 0.3810117  0.38589574
 0.3789406  0.36785432 0.37330523 0.37388969 0.37528046 0.37012783
 0.37487769 0.36981829 0.37384942 0.36307867 0.35840815 0.35661199
 0.35501825 0.35471561 0.35378366 0.359425   0.36130103 0.35875727
 0.35622868 0.35545829 0.35266301 0.35397202 0.35527392 0.35704532
 0.35898709 0.35829355 0.35793774 0.35971179 0.35261639 0.34944239
 0.34896238 0.34742899 0.35044095 0.34679738 0.33921969]",auditory,has_item
contrastive,8,"[0.         0.17438188 0.22934633 0.24441042 0.27861149 0.25696303
 0.20232582 0.2118075  0.21374415 0.25062841 0.26667219 0.25443905
 0.28384949 0.28730608 0.30313126 0.30005279 0.31127855 0.2971414
 0.31562921 0.32252836 0.30505818 0.31765989 0.31076966 0.331691
 0.33449955 0.31697667 0.30855417 0.31366667 0.31566653 0.31897191
 0.31962953 0.3260303  0.33189326 0.33786296 0.3238608  0.31302997
 0.30551196 0.30682341 0.28658351 0.2808627  0.2776211  0.2637481
 0.25969591 0.2551363  0.2693006  0.27194846 0.26865576 0.26964113
 0.26802695 0.27046088 0.26549136 0.26310994 0.27177966 0.27110704
 0.25729701 0.25995076 0.2587291  0.26219237 0.2616986  0.25213121
 0.25406166 0.25358079 0.25373925 0.2582544  0.26032382 0.25371018
 0.25533327 0.26412693 0.2608038  0.26249112 0.26163464 0.26565316
 0.2648287  0.2644898  0.26554347 0.26632148 0.26738206 0.2723869
 0.27213398 0.27436983 0.271238   0.26928464 0.2646337  0.26859711
 0.26708437 0.26457649 0.26858562 0.26276402 0.2609355  0.26146562
 0.25305301 0.24928096 0.24999833 0.24741741 0.25222844 0.25779861
 0.25407632 0.25522409 0.25006538 0.25052573 0.2528739 ]","[0.         0.4695601  0.51145777 0.4532826  0.46024295 0.44528901
 0.49331425 0.46825906 0.46706896 0.46135039 0.43413746 0.44115254
 0.4198439  0.41073688 0.40814254 0.39234971 0.35803921 0.38188485
 0.37468795 0.3653641  0.36199445 0.34413476 0.31997497 0.31153076
 0.30771021 0.31009355 0.31558148 0.32796795 0.33441015 0.32801365
 0.3196504  0.31754602 0.31015688 0.30784598 0.30907418 0.2998858
 0.30610878 0.3088407  0.33152971 0.33452531 0.3322866  0.34479497
 0.34935633 0.36420433 0.35251552 0.34964528 0.34295543 0.34373478
 0.3458411  0.33950958 0.34200789 0.35058071 0.34781059 0.34407938
 0.34537892 0.34501554 0.35080641 0.3497798  0.34640588 0.35596745
 0.35535308 0.35115669 0.35153067 0.34837571 0.34739072 0.3497422
 0.34467108 0.33691565 0.34045384 0.34074721 0.34300411 0.33719233
 0.33895972 0.33513117 0.33882819 0.33145079 0.32939417 0.32730809
 0.32236816 0.32042225 0.31955779 0.32322562 0.32300282 0.32053386
 0.31776602 0.31450375 0.31359795 0.3141519  0.31687436 0.31854622
 0.32019573 0.31947396 0.31919631 0.32038188 0.31594506 0.31225361
 0.31136974 0.31003511 0.31097612 0.30880501 0.30329165]",auditory,searching
contrastive,8,"[0.         0.10086189 0.13312254 0.12940201 0.14650109 0.1117896
 0.05758775 0.06085219 0.04858981 0.07866606 0.09171798 0.0815768
 0.10170882 0.09113128 0.10902737 0.10986973 0.12062609 0.11976922
 0.13823139 0.13571996 0.12388348 0.13257427 0.12566161 0.14317346
 0.14525804 0.13407745 0.12227377 0.11462301 0.11817388 0.11803883
 0.11408782 0.11747331 0.11786131 0.1240873  0.11319292 0.1069886
 0.09568571 0.08909741 0.07030654 0.07032519 0.06780367 0.05817558
 0.05735879 0.05595745 0.06723976 0.07062321 0.06754581 0.07134801
 0.06879017 0.07279176 0.07058254 0.0678559  0.0708338  0.06625161
 0.05344233 0.05438631 0.0517333  0.05449084 0.05269039 0.04171422
 0.04216939 0.04133619 0.040916   0.04558223 0.04472868 0.04015407
 0.04193878 0.04797582 0.04787946 0.04983429 0.05081881 0.05187266
 0.05144474 0.04923068 0.04903233 0.04889756 0.04747135 0.05080803
 0.05141146 0.05199814 0.05050054 0.04888343 0.04631982 0.04985197
 0.04717651 0.04667991 0.04745343 0.04275603 0.03947987 0.04105647
 0.03463981 0.0315211  0.03203745 0.02927953 0.03269202 0.0371606
 0.03451257 0.03452551 0.03209591 0.03237782 0.03269186]","[0.         0.43719294 0.49218849 0.46223965 0.47934036 0.48361927
 0.51412309 0.5071751  0.52195883 0.52172881 0.50634169 0.50786195
 0.50249786 0.51139697 0.50977747 0.49536912 0.47555179 0.47647842
 0.46883484 0.47522573 0.46665268 0.4618155  0.44769073 0.44628075
 0.44323375 0.43579509 0.44298235 0.46140249 0.46217706 0.46268394
 0.46296623 0.46686006 0.47008115 0.4679204  0.46488687 0.45511924
 0.46229569 0.47279857 0.48085094 0.47453391 0.47242803 0.47409125
 0.47226928 0.47660912 0.47328913 0.47136752 0.4658982  0.4628575
 0.46595654 0.46089523 0.45955555 0.46564513 0.47114546 0.47343913
 0.47285194 0.47453496 0.47936048 0.47887575 0.47825055 0.48432857
 0.4858641  0.48409038 0.48502067 0.48330752 0.48593848 0.48468925
 0.48064577 0.4792761  0.47674545 0.47689558 0.47538683 0.47672336
 0.47650436 0.47668656 0.48029702 0.47752116 0.47940934 0.48062586
 0.47691231 0.47843938 0.47543743 0.47657755 0.47339515 0.47269347
 0.47329928 0.4682856  0.47245772 0.47141949 0.47474443 0.47419945
 0.47212305 0.47063542 0.4707598  0.47153252 0.47110367 0.47059139
 0.46862313 0.46936596 0.4661029  0.46538717 0.46544893]",auditory,searching
contrastive,8,"[0.         0.08774876 0.1328146  0.14278852 0.15495012 0.14138725
 0.09487814 0.09929779 0.09120246 0.12166228 0.13391864 0.12118003
 0.14492061 0.13811116 0.15389776 0.15202423 0.16474812 0.16321025
 0.1808215  0.17274277 0.16393267 0.17401406 0.17087425 0.18173549
 0.18282889 0.17441284 0.16593108 0.15773754 0.16152162 0.16221132
 0.16103975 0.16211747 0.16245469 0.16778506 0.162695   0.15745041
 0.14925589 0.1452266  0.12841089 0.13129903 0.12700323 0.11804085
 0.11697097 0.11371314 0.12413061 0.12698595 0.12352166 0.12341516
 0.12153014 0.12440916 0.12183147 0.11852447 0.1217196  0.11712171
 0.10753811 0.10853239 0.10702593 0.1084723  0.10673154 0.09878018
 0.09871372 0.0981443  0.09719633 0.10085365 0.10152216 0.09710682
 0.09795288 0.10169965 0.10088263 0.10276339 0.10383421 0.10463461
 0.10427237 0.1022491  0.10363654 0.10475955 0.10440586 0.10679899
 0.10766606 0.10874338 0.10750255 0.10730755 0.10510245 0.10906181
 0.10633578 0.10549566 0.10625806 0.10179451 0.09896658 0.10086586
 0.09507967 0.0922637  0.09408533 0.09200028 0.09521322 0.09930089
 0.09778278 0.09819943 0.09527233 0.09460268 0.09439215]","[0.         0.41036226 0.45639764 0.44548813 0.46035719 0.46310153
 0.48909973 0.47892931 0.49315713 0.49597968 0.48431788 0.48398593
 0.48606979 0.48990284 0.48535875 0.47037666 0.45270479 0.45396728
 0.44549351 0.44852267 0.44014872 0.43457732 0.42331237 0.41932589
 0.41793678 0.4125578  0.41912308 0.43459123 0.43442297 0.43475723
 0.43648375 0.43828316 0.43989758 0.43725738 0.43577979 0.4277837
 0.43598684 0.44690037 0.45373219 0.44924498 0.44727924 0.44881327
 0.44636028 0.44878569 0.44538973 0.44268112 0.43731512 0.43214122
 0.43523802 0.43043318 0.42904125 0.43323544 0.43817302 0.43987452
 0.44059706 0.44218203 0.446851   0.44529334 0.44496151 0.45145877
 0.45210765 0.45076758 0.45098743 0.44892894 0.45169208 0.45065261
 0.44665408 0.44424423 0.44159289 0.44128359 0.44004868 0.44077441
 0.44080485 0.44126454 0.44512255 0.44320903 0.44550857 0.44581845
 0.44297928 0.44464407 0.44221228 0.44387449 0.44117922 0.44081087
 0.44112576 0.4367425  0.44050244 0.43976275 0.4427286  0.44239482
 0.44082039 0.43948931 0.4403889  0.44146533 0.44090756 0.44030967
 0.43934037 0.44027796 0.43722994 0.43589265 0.43562569]",auditory,searching
contrastive,8,"[0.         0.05159313 0.08609065 0.09740124 0.10416963 0.09785152
 0.05292227 0.04999916 0.04691143 0.06581413 0.07916885 0.0660936
 0.08555686 0.07368126 0.09114119 0.08578858 0.09470574 0.09175785
 0.10688879 0.09796462 0.09226943 0.09953699 0.09673068 0.10795234
 0.10632531 0.09949404 0.09467163 0.09063565 0.09467654 0.09614303
 0.09485476 0.09546041 0.09558402 0.10002146 0.09442211 0.09119603
 0.08498765 0.08136635 0.06520879 0.06681685 0.0639872  0.05655747
 0.05437855 0.05029694 0.05987357 0.06225071 0.0593388  0.0578604
 0.05613431 0.05708402 0.0545594  0.05155008 0.05346499 0.04604085
 0.03799764 0.03760428 0.03528476 0.03647578 0.03361677 0.02664711
 0.02517242 0.02319598 0.0221246  0.02546509 0.02640608 0.02206474
 0.02095671 0.02462796 0.02440724 0.02604412 0.02706729 0.02806459
 0.0266381  0.02488735 0.02526734 0.02544098 0.02565533 0.02819127
 0.02945411 0.02977436 0.02849303 0.02876547 0.0277713  0.03069043
 0.02840546 0.02802261 0.02821372 0.02446171 0.02073189 0.02295902
 0.01817842 0.01539183 0.01644643 0.01438636 0.01729408 0.02048273
 0.02055325 0.02091333 0.01846785 0.01738802 0.01710176]","[0.         0.39584813 0.44735214 0.43325565 0.45253357 0.44853729
 0.47390055 0.46979189 0.48424731 0.48869205 0.47795739 0.48128947
 0.48976008 0.49509436 0.48965248 0.4808327  0.46502329 0.46594736
 0.46073903 0.46026438 0.45224738 0.44732387 0.43861528 0.43607814
 0.43638109 0.43246161 0.43291631 0.44107737 0.44170559 0.43949608
 0.43777737 0.43895611 0.439016   0.43657707 0.43602835 0.42791716
 0.43370461 0.44199562 0.44687254 0.4430883  0.44014053 0.43993875
 0.43884962 0.44125892 0.43871556 0.43639204 0.43070701 0.427151
 0.42996643 0.42827992 0.42818539 0.43156978 0.43592066 0.43872345
 0.43813077 0.44056344 0.44497078 0.44310913 0.4441196  0.44839599
 0.44987368 0.44913466 0.44935461 0.44778823 0.44984967 0.44868416
 0.44711482 0.44559244 0.44255068 0.44245199 0.44127163 0.44128832
 0.44222462 0.44226622 0.44605708 0.44556075 0.44640787 0.44616686
 0.44338273 0.44537561 0.44305292 0.4439819  0.44045492 0.44094941
 0.44063128 0.43662404 0.44043442 0.43939699 0.44288722 0.44229865
 0.44003942 0.43892956 0.44031156 0.44132178 0.44101328 0.44111446
 0.43872117 0.43944378 0.43652752 0.43568581 0.43549544]",auditory,has_information
contrastive,8,"[ 0.          0.02185182  0.05029753  0.05025376  0.04939057  0.03323725
 -0.01261962 -0.01656981 -0.02483382 -0.00903037 -0.00042941 -0.00992249
  0.00103706 -0.01287445  0.00285133 -0.00348266  0.00459647  0.00402528
  0.01718048  0.00996425  0.00534939  0.01194037  0.01174431  0.0199642
  0.01728693  0.01067769  0.00771945  0.00360636  0.00807842  0.00991032
  0.00977467  0.00842829  0.00905529  0.01356028  0.00714647  0.00537004
 -0.00041804 -0.00529642 -0.02063438 -0.01876339 -0.02187804 -0.02971291
 -0.03319329 -0.03819039 -0.02935727 -0.02691652 -0.02811748 -0.02574519
 -0.02719805 -0.02556786 -0.02858564 -0.03197012 -0.02994708 -0.03771159
 -0.04552768 -0.04768228 -0.04889847 -0.04863322 -0.05167227 -0.05606968
 -0.05806761 -0.06052053 -0.06205685 -0.05838943 -0.05763796 -0.06277215
 -0.06404344 -0.06039786 -0.06126219 -0.06086963 -0.0600697  -0.06004991
 -0.06118747 -0.06319951 -0.06178422 -0.06137017 -0.06144779 -0.05955811
 -0.05774375 -0.0567836  -0.05774803 -0.05782553 -0.05858094 -0.05432619
 -0.05679209 -0.05662697 -0.05642609 -0.05836054 -0.06227412 -0.06139542
 -0.06551317 -0.06689392 -0.06553374 -0.06763377 -0.06560317 -0.06252466
 -0.06168643 -0.06152819 -0.06406571 -0.06481745 -0.06527833]","[0.         0.39949638 0.44858956 0.44024265 0.46234162 0.46052917
 0.47764405 0.47422326 0.49040716 0.49895169 0.49857737 0.4963828
 0.51078522 0.51433569 0.51287922 0.50539248 0.49306678 0.48911775
 0.48876792 0.48750239 0.48025331 0.47903146 0.47074722 0.47299751
 0.47422883 0.47100216 0.46879494 0.47555896 0.47574961 0.4736796
 0.46869214 0.47010393 0.46814766 0.46707408 0.46755153 0.45934339
 0.46381464 0.47051079 0.4725506  0.46999586 0.46774119 0.46733866
 0.46658515 0.46894032 0.46798275 0.46632634 0.46079922 0.45356256
 0.45633794 0.45308838 0.45378999 0.45615865 0.45912035 0.46113286
 0.46025834 0.46354513 0.46577023 0.46466911 0.4652323  0.46592339
 0.46771106 0.4672998  0.46837937 0.46661711 0.46831107 0.46796265
 0.46683623 0.46575558 0.46369024 0.46462095 0.46400194 0.46557607
 0.46614423 0.466442   0.46789135 0.46702623 0.46798641 0.46857028
 0.46563383 0.46644965 0.46392312 0.46515696 0.46199946 0.46084755
 0.4608015  0.45686366 0.45989019 0.45723235 0.4603328  0.46095868
 0.45832673 0.45583734 0.45697284 0.45790224 0.45828481 0.4583125
 0.45542011 0.45609102 0.45368921 0.45251909 0.45250982]",auditory,idle
contrastive,8,"[ 0.          0.04579123  0.05705621  0.05937945  0.05241802  0.03165428
 -0.00768361 -0.01554848 -0.03451215 -0.01758465 -0.00866753 -0.02010299
 -0.01413131 -0.02584928 -0.00930141 -0.02389527 -0.01457323 -0.01087188
  0.00045878 -0.00409908 -0.01371072 -0.0043628  -0.00629048  0.00056929
 -0.00416171 -0.01246097 -0.01564014 -0.02149262 -0.01278345 -0.00888775
 -0.01038715 -0.01016026 -0.00744215 -0.00348941 -0.01118717 -0.0117066
 -0.01618996 -0.02135144 -0.03513887 -0.03307762 -0.03444576 -0.04182165
 -0.0452702  -0.04749225 -0.04301202 -0.03838956 -0.03889482 -0.03720199
 -0.03840406 -0.03628892 -0.03858241 -0.04010748 -0.03750229 -0.04416241
 -0.04809344 -0.0477261  -0.04921709 -0.04927379 -0.05475042 -0.05678943
 -0.05876082 -0.06102856 -0.06071999 -0.0568093  -0.05747506 -0.06061156
 -0.06201987 -0.05802012 -0.05892587 -0.05905203 -0.05806248 -0.05777578
 -0.06047713 -0.0616767  -0.0609454  -0.06228419 -0.06256379 -0.06074327
 -0.05921483 -0.05906372 -0.06132998 -0.06152068 -0.06176673 -0.05754965
 -0.05945181 -0.05945135 -0.05965818 -0.06297885 -0.06675513 -0.06622326
 -0.07020468 -0.07114232 -0.07038565 -0.07080911 -0.06938783 -0.06783991
 -0.0669703  -0.06708548 -0.06986292 -0.07121359 -0.07116502]","[0.         0.41152022 0.45251946 0.43915713 0.45907749 0.45183935
 0.471782   0.46804848 0.48546749 0.49189432 0.49075675 0.49090475
 0.50032427 0.50377933 0.50099567 0.49580645 0.48660014 0.48221851
 0.48257411 0.47863149 0.46878527 0.46569485 0.45938191 0.46135218
 0.46223696 0.45944738 0.4577967  0.46362032 0.46698646 0.46346887
 0.46050672 0.45976121 0.45879418 0.4599873  0.45782563 0.44839343
 0.45347638 0.45854254 0.45824138 0.4550132  0.45284794 0.45152242
 0.44952059 0.45310249 0.45231433 0.44915332 0.44497448 0.438688
 0.43992512 0.43707523 0.43789952 0.43997181 0.44231757 0.44272142
 0.44247636 0.44494425 0.44776332 0.44652472 0.44656067 0.44635859
 0.44719748 0.4459164  0.44743314 0.44577903 0.44665052 0.44715222
 0.4457771  0.44395203 0.44188966 0.44294525 0.44227841 0.44368097
 0.44414887 0.44430903 0.44490995 0.44302699 0.44340797 0.44390174
 0.44093005 0.44148044 0.4389063  0.44053553 0.43740236 0.43629961
 0.43604182 0.43277425 0.43581447 0.4330744  0.43600544 0.43666635
 0.43390551 0.43169867 0.43289308 0.4341733  0.43453366 0.43436093
 0.43149868 0.43169314 0.42903978 0.42798085 0.4279122 ]",auditory,idle
contrastive,8,"[ 0.00000000e+00  4.88864910e-02  7.57360120e-02  6.81541782e-02
  6.44985543e-02  5.07801914e-02  1.41764281e-02  7.39305961e-03
 -5.43754697e-03  1.53866165e-02  2.36671846e-02  1.66796558e-02
  1.72817031e-02  2.85924834e-03  1.56210870e-02 -1.42668953e-03
  5.56152242e-03  9.17751359e-03  2.41441331e-02  1.87014634e-02
  1.23066485e-02  1.88081263e-02  1.83786626e-02  2.98614699e-02
  2.85148218e-02  2.39843326e-02  2.08646004e-02  1.94623406e-02
  3.00943907e-02  3.41831180e-02  3.51440928e-02  3.63284184e-02
  3.81291061e-02  4.13776495e-02  3.34675342e-02  3.26054314e-02
  2.70210012e-02  2.35669981e-02  1.20585960e-02  1.68607301e-02
  1.58273582e-02  9.12900310e-03  3.92125298e-03  3.29681153e-03
  7.96205051e-03  1.20307320e-02  1.00991931e-02  1.38788163e-02
  1.29842025e-02  1.57196839e-02  1.19615927e-02  1.03968610e-02
  1.20141083e-02  5.07611117e-03 -3.13299325e-05 -2.49539698e-04
 -1.74842469e-03 -2.03138943e-03 -5.63921782e-03 -8.34487763e-03
 -9.00594076e-03 -1.12047668e-02 -1.00940816e-02 -7.61741570e-03
 -7.50302674e-03 -1.05965962e-02 -1.15227179e-02 -8.61658139e-03
 -8.61645892e-03 -1.01623656e-02 -8.69403177e-03 -8.79918819e-03
 -1.25674200e-02 -1.43864839e-02 -1.31670268e-02 -1.54256526e-02
 -1.67208061e-02 -1.53449186e-02 -1.64427895e-02 -1.63455882e-02
 -1.81341080e-02 -1.93138377e-02 -2.03674544e-02 -1.62377558e-02
 -1.77577832e-02 -1.91864445e-02 -1.92831918e-02 -2.07959747e-02
 -2.36955850e-02 -2.39509190e-02 -2.63243528e-02 -2.65116052e-02
 -2.64520717e-02 -2.72472101e-02 -2.65053824e-02 -2.65500144e-02
 -2.57938881e-02 -2.64473870e-02 -2.83681898e-02 -2.98141527e-02
 -2.91271589e-02]","[0.         0.4157104  0.45118416 0.43899326 0.45816453 0.4569116
 0.47324833 0.47546907 0.48654863 0.49599948 0.49296723 0.49535882
 0.50181905 0.50391523 0.50406333 0.49871889 0.48927592 0.4851313
 0.48729295 0.48006466 0.4714348  0.46617431 0.45804677 0.46127827
 0.46086601 0.46058032 0.45995115 0.46577127 0.46915689 0.46520832
 0.46291638 0.4630815  0.46187813 0.46151664 0.46038171 0.45125453
 0.45355266 0.46004676 0.46150859 0.46053667 0.45835242 0.45804194
 0.45464821 0.45925923 0.45997633 0.45623678 0.45134927 0.44666534
 0.44815547 0.44496342 0.44501662 0.44699415 0.44822082 0.44874071
 0.4470948  0.44893113 0.45188406 0.4504968  0.45139043 0.45034369
 0.45120113 0.45038585 0.45174911 0.44878565 0.44992326 0.45005936
 0.44934279 0.4464626  0.44563107 0.44499623 0.44510458 0.44578524
 0.44469857 0.44432041 0.44465908 0.44274786 0.44121253 0.44164973
 0.43697987 0.43745008 0.43589295 0.43673847 0.43311431 0.43200645
 0.43217111 0.42839788 0.43141592 0.43037877 0.43404244 0.4339122
 0.43244161 0.43065879 0.43069209 0.4316399  0.43198207 0.43079662
 0.42792434 0.42695009 0.42535988 0.42394057 0.42459189]",auditory,idle
contrastive,8,"[0.         0.05551017 0.10864856 0.10162095 0.10211391 0.0901541
 0.0670242  0.06124355 0.05139708 0.06951254 0.08031632 0.07449709
 0.07721617 0.06610503 0.07737576 0.06168603 0.06825563 0.07036083
 0.08424155 0.08144208 0.07549775 0.08179805 0.08103798 0.0922056
 0.09262183 0.08917211 0.08805338 0.08769762 0.0971915  0.10083151
 0.10275706 0.10300275 0.10461321 0.10825724 0.10181907 0.10190469
 0.09668532 0.09408423 0.08331571 0.08786691 0.08703354 0.08078626
 0.07670696 0.0755017  0.0800829  0.08394362 0.08242641 0.08632143
 0.08522942 0.08781572 0.085023   0.08431591 0.08635587 0.08047797
 0.0759327  0.07612891 0.07504242 0.07466513 0.07134671 0.06901441
 0.06875506 0.06666156 0.06776577 0.06990336 0.07019183 0.06734306
 0.06709909 0.06973359 0.06968583 0.06838827 0.06994659 0.06985319
 0.06633396 0.06465008 0.06595804 0.06397283 0.06270889 0.06415165
 0.06315367 0.06299468 0.06151552 0.06063486 0.05982083 0.06332742
 0.06194901 0.06070185 0.0610229  0.05966126 0.05706973 0.0567242
 0.05444388 0.054208   0.05413432 0.05350094 0.05419962 0.05415187
 0.054884   0.05444365 0.05270077 0.05155845 0.05217385]","[0.         0.4089637  0.44941396 0.43982254 0.46242138 0.46385296
 0.48383779 0.48640916 0.49681768 0.50270893 0.50127224 0.5038731
 0.51199802 0.51690646 0.51516087 0.51258234 0.50374896 0.49874906
 0.49924546 0.49548029 0.4884342  0.48337561 0.47602541 0.47886801
 0.47933691 0.48022316 0.48207901 0.48859654 0.48994289 0.48595381
 0.48505875 0.4839137  0.48258587 0.4824119  0.48320894 0.47657461
 0.47902458 0.4857064  0.48798938 0.48686764 0.48515614 0.48546963
 0.48398145 0.48721278 0.48771704 0.48440433 0.4808143  0.4771403
 0.47798066 0.4750267  0.47623957 0.47897208 0.4805194  0.48238046
 0.48179576 0.4838596  0.48694169 0.48567178 0.48683146 0.48648909
 0.48769733 0.48716303 0.48828685 0.48536575 0.48653072 0.48700541
 0.48735272 0.48453171 0.48376486 0.48359832 0.48380224 0.48439814
 0.48387409 0.48377232 0.48416057 0.48297643 0.48175146 0.48220927
 0.4785153  0.47852288 0.47771082 0.47883417 0.47620262 0.47435408
 0.47471418 0.47189784 0.47499499 0.47437917 0.47785409 0.47761809
 0.47657213 0.4750497  0.47487481 0.47588915 0.47609134 0.47512257
 0.47276102 0.47228778 0.47127125 0.47057837 0.47098311]",auditory,has_information
