method,dim_embedding,m,std,modality,signal
contrastive,8,"[ 0.         -0.00448832  0.02166437  0.07692414  0.10062291  0.09409075
  0.11332146  0.12403245  0.13870669  0.14079783  0.1573629   0.1558028
  0.15562899  0.16607631  0.17812579  0.18066016  0.19255079  0.20722962
  0.21206879  0.20158811  0.20349755  0.20240707  0.20800118  0.20991779
  0.20965692  0.21682494  0.22362543  0.23074198  0.23895633  0.23919892
  0.24151745  0.23603928  0.23621139  0.23724033  0.24732498  0.24689452
  0.24232514  0.24271306  0.24214325  0.24211484  0.24207394  0.24167979
  0.24116933  0.23992116  0.24139768  0.24129852  0.24035525  0.24022515
  0.23788126  0.23684793  0.23475166  0.23473361  0.23798871  0.2380742
  0.2387924   0.24049969  0.24071588  0.2412171   0.24308237  0.24064807
  0.24255593  0.24359905  0.24365446  0.24767964  0.24739842  0.24571947
  0.24899935  0.24965388  0.25285866  0.2553794   0.25693644  0.25660651
  0.25897635  0.25822938  0.25937191  0.26073919  0.25922784  0.25900418
  0.25893946  0.25939091  0.25968473  0.25955777  0.26111209  0.25829106
  0.26134464  0.26218445  0.26174867  0.26314549  0.26530272  0.26603847
  0.26589529  0.26651648  0.26842098  0.27057251  0.2708397   0.2729749
  0.27117882  0.27273825  0.27276417  0.27239404  0.27379025]","[0.         0.38012927 0.38503499 0.37964274 0.37276244 0.37096673
 0.37092182 0.36661177 0.36124462 0.36054113 0.35441852 0.35697503
 0.35731293 0.34935784 0.34176893 0.34550393 0.33952677 0.33233833
 0.33598467 0.33628501 0.33870784 0.33312486 0.3315259  0.33247139
 0.33584274 0.32677862 0.32858143 0.32876707 0.32956659 0.33027978
 0.32801006 0.33116646 0.33014865 0.32748576 0.33190311 0.33613525
 0.33875046 0.33923497 0.33251349 0.33408542 0.33744912 0.33774991
 0.33474371 0.33999274 0.3429999  0.34960649 0.35067018 0.34701479
 0.34556355 0.34690462 0.35011593 0.35171495 0.35081822 0.35185016
 0.35393189 0.35521686 0.35281331 0.3492205  0.34987278 0.34806745
 0.34606481 0.3456588  0.34669187 0.34448582 0.34469185 0.34655808
 0.34356232 0.34314014 0.34415074 0.34496838 0.34605313 0.34748394
 0.34684413 0.34442794 0.34374728 0.34113033 0.34152538 0.34282437
 0.34445505 0.34600697 0.34714532 0.34804375 0.34481509 0.34550828
 0.34595473 0.34711155 0.35038683 0.34889289 0.34574058 0.34601699
 0.34517421 0.34533422 0.34444935 0.34448336 0.34622862 0.34558824
 0.3454969  0.34361225 0.34293703 0.34254869 0.34133273]",kinetic,idle
contrastive,8,"[ 0.         -0.00919206 -0.01488401 -0.0091787   0.01138204  0.0069706
  0.0369625   0.03331426  0.04156744  0.04757141  0.04637084  0.05178158
  0.04500676  0.03018141  0.02567525  0.02829876  0.03331014  0.03237594
  0.03354442  0.02892527  0.03028123  0.02894083  0.04055126  0.0404163
  0.03967349  0.04536522  0.05783661  0.05979888  0.05798515  0.05849605
  0.06155833  0.06431679  0.07165249  0.07457066  0.0769584   0.07809369
  0.07645942  0.07735253  0.08055261  0.07945796  0.07687778  0.08182942
  0.080882    0.08001931  0.08346122  0.08393899  0.08053128  0.08074497
  0.08011131  0.08183309  0.07996296  0.0838247   0.08015376  0.07928947
  0.08012496  0.0821883   0.08565818  0.08478199  0.0846481   0.08436108
  0.08387227  0.08544062  0.08579076  0.08492293  0.08496034  0.08774067
  0.08669527  0.08782641  0.08527356  0.08495308  0.08475952  0.08426625
  0.08336745  0.08234691  0.08235901  0.08366123  0.08390999  0.08360055
  0.08434898  0.08498847  0.08395545  0.0857907   0.08653966  0.08597215
  0.08479274  0.08472957  0.08431151  0.08374208  0.08483934  0.08518869
  0.08410949  0.08546112  0.08593066  0.08622735  0.08466554  0.08620009
  0.08657602  0.08570019  0.08615998  0.08751301  0.08757152]","[0.         0.47621471 0.48946242 0.49035786 0.48436888 0.47150953
 0.48356732 0.4955796  0.48485686 0.47649301 0.47070399 0.46983986
 0.47290675 0.47686248 0.47989454 0.48046107 0.48245428 0.48506138
 0.49067032 0.48260201 0.48522727 0.48229692 0.4795648  0.48055394
 0.47785716 0.48658177 0.48089069 0.48264238 0.47714548 0.47925256
 0.48260297 0.48493976 0.48298955 0.48016471 0.48037433 0.48433979
 0.48473196 0.48403138 0.4826898  0.48440175 0.4832813  0.4819006
 0.48069397 0.48296313 0.48482982 0.48532815 0.48537552 0.48583154
 0.48366588 0.48306104 0.48352138 0.4826329  0.48269501 0.4817361
 0.4813647  0.47970181 0.47949521 0.48021404 0.48102498 0.48095796
 0.48220983 0.4827677  0.48321329 0.48408696 0.4833727  0.48483231
 0.48579357 0.48705847 0.48680025 0.48581466 0.48631196 0.48629778
 0.48513451 0.48445385 0.4833702  0.48213786 0.48177742 0.48239132
 0.48167797 0.48264327 0.48165308 0.48373604 0.48479254 0.48288896
 0.48184564 0.48077696 0.47979507 0.47747303 0.47886627 0.4793362
 0.47944164 0.48031273 0.47967932 0.47928314 0.48059977 0.48041218
 0.48003972 0.47966233 0.47812245 0.4766283  0.47735266]",visual,idle
contrastive,8,"[ 0.00000000e+00  3.08120930e-02  5.23051187e-02  5.85339310e-02
  5.69827301e-02  5.38466509e-02  6.15592894e-02  6.78633494e-02
  4.04546355e-02  3.51334448e-02  3.48382470e-02  4.04470817e-02
  5.54348908e-02  4.82251909e-02  4.37244526e-02  3.32403795e-02
  3.46163807e-02  3.16576557e-02  2.72449446e-02  3.02569018e-02
  3.39891389e-02  2.15802560e-02  2.33089690e-02  2.36448799e-02
  2.68815591e-02  8.65582956e-03  5.03860551e-04  3.46350978e-03
  2.60537973e-03 -7.44377755e-03 -5.77655710e-03 -4.68157886e-03
 -1.98470128e-03  1.06199896e-03  3.50690663e-03  2.34031710e-03
  1.91129579e-03  2.72408637e-03  6.88799622e-03  5.85596124e-03
  4.23423843e-03  1.78940233e-03  4.61776062e-03  3.66563421e-03
  4.03926356e-03  3.54596900e-03  1.49304782e-03  3.50684123e-03
  5.51490048e-03  7.14503103e-03  4.97575901e-03  7.04573722e-03
  4.79882383e-03  7.58926812e-03  6.80631282e-03  8.32346462e-03
  7.16261350e-03  8.11904285e-03  3.24079916e-03  4.78780200e-03
  7.54977902e-03  5.55674374e-03  6.70051477e-03  5.56931512e-03
  4.11014649e-03  1.68532719e-03  2.47953070e-03  4.74295550e-03
  2.11386894e-03  3.95006272e-04 -5.29894681e-04  8.84804648e-04
  4.46598662e-04 -6.53350941e-04 -1.33836716e-03 -3.54072865e-03
 -1.09887999e-03 -3.17542274e-03 -3.57220450e-03 -3.76881799e-03
 -1.18404032e-03 -1.48331074e-03 -2.96678933e-03 -1.17702194e-03
 -6.78386714e-04 -2.06784478e-03 -2.29849587e-03 -2.86730780e-03
 -3.60012578e-03 -3.10383641e-03 -2.28251278e-03 -1.62392210e-03
  4.25398907e-05 -2.90249956e-04 -5.89740877e-04 -2.13190345e-03
 -4.02191695e-03 -5.07604000e-03 -3.76818276e-03 -4.88670289e-03
 -7.44999792e-03]","[0.         0.44417166 0.47360246 0.49374445 0.49319303 0.50295474
 0.49705968 0.51344229 0.50207382 0.51129095 0.52176069 0.52253282
 0.51450228 0.51366376 0.52127432 0.5170949  0.51337383 0.51724733
 0.51675692 0.51876252 0.51982672 0.52657818 0.51905065 0.52067201
 0.51788534 0.5160082  0.51496398 0.51072867 0.50968543 0.51164844
 0.5115185  0.51498095 0.51666356 0.51438912 0.51532557 0.51633812
 0.51510201 0.5132901  0.51348488 0.51120162 0.50968319 0.5082064
 0.50901922 0.51321079 0.51499468 0.51656934 0.5157675  0.512814
 0.51355637 0.51207841 0.51064091 0.51042889 0.50816796 0.50961544
 0.50854729 0.5089424  0.50746971 0.50972704 0.5082062  0.51002085
 0.5091452  0.50922098 0.50963335 0.50794314 0.50897785 0.50871919
 0.50939742 0.50831223 0.50779446 0.50666494 0.50720294 0.50573463
 0.50802009 0.50804982 0.50926726 0.508208   0.50624438 0.50591784
 0.50443297 0.5033187  0.50292604 0.50356974 0.50417726 0.50317834
 0.5037184  0.50386731 0.50307977 0.50237602 0.50191448 0.50209705
 0.50150468 0.50095063 0.49898802 0.49778203 0.49720656 0.49542179
 0.49472822 0.49511406 0.49514364 0.49540864 0.49597105]",auditory,idle
contrastive+autoencoder,8,"[ 0.         -0.04658462 -0.01977191 -0.01250932 -0.00865941  0.00236209
  0.01130037  0.0093972   0.02744057  0.02721091  0.03354937  0.03902429
  0.0432584   0.03874071  0.03957967  0.04512072  0.04523319  0.0390534
  0.04443507  0.04657046  0.04602223  0.05239028  0.0586615   0.06350332
  0.06904183  0.06701282  0.07343258  0.07194008  0.07615865  0.07989065
  0.08422147  0.08597265  0.08854607  0.08620141  0.09073046  0.09823042
  0.09722802  0.09807214  0.1007574   0.10223379  0.10234082  0.10073668
  0.10344803  0.10428033  0.10577876  0.10458382  0.10238778  0.10500599
  0.10432333  0.10227807  0.09896909  0.10223443  0.1056014   0.10801041
  0.10712145  0.10635039  0.10629557  0.10951483  0.10753419  0.10915414
  0.10924803  0.1088539   0.11145699  0.11377781  0.11334863  0.1133787
  0.11188672  0.110769    0.11203678  0.11264527  0.11339881  0.11364357
  0.11452219  0.11557196  0.11635288  0.11742718  0.11797302  0.11750365
  0.11862946  0.11897122  0.11846098  0.11830007  0.11592866  0.11643906
  0.11474552  0.1163305   0.11632044  0.1201245   0.11935571  0.12133498
  0.12152339  0.12191914  0.12209999  0.12166868  0.12206011  0.12165638
  0.12375253  0.12544442  0.12404953  0.12566856  0.12522614]","[0.         0.35951155 0.36253818 0.36671928 0.35541753 0.35558757
 0.35550059 0.34460657 0.34620088 0.34827373 0.35454713 0.35159266
 0.35895708 0.35760689 0.35431153 0.35688815 0.35664197 0.35499217
 0.35874253 0.35225768 0.3498252  0.35348914 0.35377132 0.35661542
 0.35361698 0.35200892 0.34744181 0.34563926 0.34652038 0.34649382
 0.34188538 0.34258746 0.34579121 0.35127264 0.34822703 0.3494696
 0.34568886 0.34551135 0.35088542 0.35075065 0.34997968 0.3530151
 0.35485589 0.35352019 0.35404158 0.35389768 0.35457201 0.35289222
 0.35030832 0.34846707 0.34874193 0.34876198 0.34610954 0.34494998
 0.34520691 0.34295211 0.34301449 0.33986308 0.34371468 0.3435029
 0.34479222 0.34634349 0.34800909 0.34813741 0.34931351 0.34761106
 0.34602009 0.34586317 0.34375188 0.34319955 0.34387143 0.34486712
 0.34605888 0.34493762 0.3460134  0.34483318 0.3448332  0.34597991
 0.3439596  0.34442841 0.34597578 0.34571008 0.34672463 0.34752439
 0.34771265 0.34709881 0.34696571 0.34869245 0.34813475 0.34796193
 0.34834014 0.34859779 0.34806177 0.34715417 0.34604409 0.34700012
 0.34529192 0.34224688 0.34309321 0.34279151 0.34426541]",kinetic,idle
contrastive+autoencoder,8,"[0.         0.11273441 0.13300106 0.17513624 0.18781894 0.22836241
 0.24352471 0.26115624 0.2934081  0.30241628 0.3132528  0.33047072
 0.34171933 0.34648605 0.35084727 0.35637903 0.35719653 0.36030136
 0.37010591 0.37002979 0.37480498 0.38329293 0.3835511  0.38259545
 0.38092608 0.37936563 0.37740688 0.3774771  0.37622928 0.38215773
 0.38357713 0.38500807 0.3932804  0.39607609 0.39981027 0.39874388
 0.39718604 0.3987211  0.39637926 0.39944151 0.40046658 0.39906244
 0.40224253 0.40117775 0.40403482 0.40550707 0.40653791 0.40809616
 0.41207891 0.4131259  0.41380847 0.41292623 0.41342314 0.41363181
 0.41255784 0.41053583 0.41333102 0.41649826 0.41909983 0.41897506
 0.41850517 0.41899239 0.42019538 0.42038487 0.42147671 0.4217406
 0.42031548 0.4202791  0.42215315 0.41933159 0.41915312 0.41981037
 0.41970771 0.42103464 0.42260127 0.42482089 0.42408307 0.42341744
 0.42257383 0.42346931 0.42328592 0.42349774 0.42469568 0.42603553
 0.4252738  0.42433855 0.42362487 0.42364726 0.42353895 0.42342262
 0.42391431 0.42434304 0.42515719 0.42620367 0.42704113 0.42627062
 0.42406016 0.42487439 0.42376143 0.42312663 0.42263739]","[0.         0.45991256 0.45498862 0.42603857 0.43137631 0.40864669
 0.39489829 0.38148692 0.37041214 0.36740462 0.35524904 0.35352665
 0.34939382 0.33952682 0.33541883 0.32912287 0.32905908 0.32689253
 0.32413755 0.32167875 0.31987663 0.31236665 0.31391089 0.31386806
 0.31261355 0.30418115 0.29924646 0.29640804 0.29403172 0.28902393
 0.29215232 0.28960728 0.2833095  0.28415446 0.2840114  0.28525199
 0.28068974 0.27921895 0.27669257 0.27786649 0.27635897 0.268645
 0.27051964 0.26835826 0.25914187 0.25280251 0.25522437 0.25197382
 0.24788368 0.24771961 0.24690613 0.2454119  0.24574437 0.24391486
 0.24377803 0.24150303 0.23792833 0.23517758 0.23413731 0.2340104
 0.23401141 0.23387706 0.23068903 0.22875268 0.22815248 0.22665787
 0.22744106 0.22700126 0.22606417 0.22556034 0.22435984 0.22461475
 0.22434792 0.22235543 0.2209253  0.2194481  0.21814255 0.21982789
 0.21905475 0.22237894 0.2214639  0.22174798 0.22191606 0.22229272
 0.22194341 0.2229893  0.22075647 0.21985395 0.21831208 0.21736511
 0.2190317  0.21730437 0.21691605 0.21645798 0.21661015 0.21644287
 0.21765452 0.21505002 0.21489446 0.21496304 0.2150404 ]",visual,idle
contrastive+autoencoder,8,"[ 0.         -0.03416923  0.02600416  0.04412493  0.03918843  0.08136531
  0.1015141   0.12560741  0.14484054  0.15218895  0.16314067  0.17774736
  0.17722211  0.17330256  0.16914574  0.17694749  0.17838891  0.18291926
  0.18831486  0.19630703  0.19360789  0.19316059  0.1980452   0.2000173
  0.19941194  0.20584718  0.20586269  0.20684353  0.20697922  0.20434089
  0.20653704  0.20098824  0.19674054  0.19434376  0.1908029   0.19420366
  0.19289574  0.19407883  0.19620934  0.19756665  0.19607151  0.1957563
  0.19749638  0.19561708  0.19789275  0.19662792  0.1965093   0.19879179
  0.1952492   0.19596785  0.19671643  0.19643461  0.19499497  0.19351608
  0.1963979   0.19390239  0.19555097  0.19367823  0.19365622  0.19267708
  0.1921604   0.19242765  0.19196861  0.19228534  0.19078344  0.1899071
  0.19111345  0.19163517  0.1915351   0.1917985   0.19195355  0.19364212
  0.19593251  0.19533387  0.19680806  0.19820527  0.19877494  0.19837899
  0.20033431  0.19983683  0.1990337   0.19874082  0.19953819  0.19954815
  0.20072186  0.20019769  0.19855493  0.1987584   0.19921619  0.19889741
  0.19764053  0.19519214  0.19500934  0.19637408  0.19748677  0.19800884
  0.1960261   0.19693999  0.19541307  0.19739393  0.19786331]","[0.         0.42720896 0.46955893 0.4699771  0.47173329 0.46758909
 0.44592809 0.43177122 0.4326047  0.42909489 0.43371942 0.42709261
 0.41951033 0.42409858 0.43024299 0.42954445 0.42784432 0.42968943
 0.42018489 0.41683289 0.40920656 0.40916582 0.40428702 0.4020855
 0.40081124 0.40166477 0.40970073 0.41162638 0.40774825 0.41431736
 0.41443981 0.41724198 0.41862017 0.42146674 0.42273968 0.41924487
 0.42084708 0.41861518 0.41550983 0.41367968 0.4133186  0.41566729
 0.41649436 0.42145702 0.41893791 0.41509814 0.41819875 0.41826029
 0.42171672 0.42222632 0.42390085 0.42503157 0.42341097 0.42739034
 0.42766204 0.42633516 0.42070978 0.41915348 0.41844721 0.41921619
 0.41768661 0.41719753 0.41666286 0.41445777 0.41504256 0.41371205
 0.41322923 0.41298977 0.41095402 0.41130526 0.41146005 0.41073044
 0.40896795 0.40871484 0.40837243 0.40833882 0.40853543 0.40963755
 0.40818056 0.40884823 0.40783061 0.40792135 0.40865581 0.40816392
 0.40718055 0.40822977 0.40915779 0.4075032  0.40665608 0.40535475
 0.40645073 0.4084258  0.40830549 0.40810845 0.40712213 0.40742245
 0.40762178 0.40773183 0.40795933 0.40761406 0.40811273]",auditory,idle
contrastive+VAE,8,"[ 0.          0.08025219  0.10761484  0.07712298  0.08264174  0.07453135
  0.06464422  0.07098326  0.07565998  0.06752387  0.06197307  0.05509132
  0.04772921  0.0487517   0.04776072  0.03885881  0.03441227  0.03466363
  0.02907941  0.03367072  0.03354354  0.02501895  0.02301349  0.02150934
  0.02059521  0.02239429  0.01367774  0.01358644  0.01773111  0.01940727
  0.02155755  0.02002896  0.01539742  0.01392703  0.01452609  0.01714928
  0.0177334   0.01555913  0.00925393  0.00386875  0.00670776  0.01114149
  0.00876872  0.00352507  0.00456899  0.00265992  0.002449    0.00119838
  0.0004273   0.00106247  0.00094259  0.00114948  0.00189997 -0.00195774
 -0.00098083 -0.00071684 -0.00162164 -0.00083434 -0.00152667  0.00134404
 -0.00106482 -0.00271587 -0.00241188 -0.00600822 -0.009294   -0.0101334
 -0.01173858 -0.01240802 -0.01106655 -0.01100148 -0.01195696 -0.01300036
 -0.01094227 -0.01130941 -0.00969135 -0.01028892 -0.0129653  -0.01254312
 -0.01452068 -0.01490589 -0.01725803 -0.017352   -0.01730491 -0.01635724
 -0.01545008 -0.01592778 -0.01639407 -0.01626238 -0.01379115 -0.01542147
 -0.01869321 -0.01841224 -0.01782668 -0.01951694 -0.01893055 -0.02034403
 -0.02032579 -0.02124419 -0.02039595 -0.02025827 -0.01832976]","[0.         0.37026546 0.35795712 0.35539694 0.34533943 0.34923906
 0.33718123 0.32214538 0.32909994 0.32710063 0.3280281  0.32677127
 0.31874653 0.32228536 0.31743576 0.31567301 0.32007396 0.30908373
 0.30736301 0.30848273 0.30903021 0.31523419 0.31544588 0.31547338
 0.31781943 0.31416284 0.31526304 0.30960839 0.30575622 0.30224452
 0.29206511 0.29589262 0.29500937 0.29712023 0.3009172  0.3023235
 0.29729547 0.29734814 0.29447323 0.29426891 0.29191909 0.29265976
 0.29171149 0.29251866 0.29095373 0.29131142 0.29347579 0.29258029
 0.28980187 0.29007514 0.28963772 0.28899692 0.28598924 0.28775477
 0.28655994 0.28752039 0.28694277 0.28794905 0.29205185 0.2921972
 0.29416629 0.296096   0.29544004 0.29889625 0.29966351 0.2999727
 0.30203607 0.3027266  0.30303016 0.3040971  0.30064573 0.30071448
 0.29875007 0.29708773 0.29683924 0.29722048 0.29857009 0.29826614
 0.29856827 0.29788344 0.29860292 0.29830259 0.29782511 0.29448308
 0.29360083 0.29438406 0.29634614 0.29849644 0.29657409 0.29646999
 0.29825142 0.29760443 0.29680723 0.29782998 0.29684371 0.2985481
 0.2969461  0.29609528 0.29609053 0.29565841 0.29196848]",kinetic,idle
contrastive+VAE,8,"[0.         0.10179968 0.16321004 0.15487047 0.15905356 0.17504533
 0.18733883 0.19317247 0.18386147 0.18813566 0.18575031 0.20142306
 0.20041973 0.21028568 0.22444739 0.22781053 0.22856482 0.23539627
 0.23932363 0.24759868 0.24746816 0.25904665 0.25941607 0.25720339
 0.259799   0.26616791 0.26912238 0.28499821 0.28432935 0.28756237
 0.28923389 0.29047413 0.29026142 0.29077677 0.29777745 0.29920744
 0.30469826 0.30350455 0.29961013 0.30098518 0.29419219 0.29109459
 0.29185477 0.29524218 0.29352239 0.29184513 0.29877346 0.29880807
 0.29794721 0.29480596 0.29391782 0.29354236 0.29336036 0.29845021
 0.29445174 0.29523221 0.29629017 0.29367889 0.29324079 0.29529106
 0.29574251 0.29526252 0.29609082 0.29581912 0.29875853 0.29998599
 0.30082343 0.30149941 0.30214832 0.30166104 0.30342901 0.30538849
 0.30258286 0.30232772 0.30439117 0.30392371 0.30662633 0.30754572
 0.30757994 0.30856506 0.31026517 0.31563497 0.31426243 0.31635119
 0.31591319 0.31608107 0.31536058 0.31603095 0.31462389 0.314164
 0.31296292 0.31359855 0.31470032 0.31563932 0.31546417 0.3160253
 0.31636137 0.31548527 0.31720309 0.31625951 0.31734623]","[0.         0.40775336 0.43833432 0.46329083 0.47592155 0.47966878
 0.48028482 0.49271603 0.49745148 0.49896758 0.50618587 0.50112353
 0.50187938 0.49431121 0.4886423  0.48616917 0.48494408 0.49300039
 0.4856653  0.48661718 0.48982663 0.48942168 0.49260171 0.4888989
 0.49130395 0.48926068 0.48930575 0.48513366 0.48678927 0.48489297
 0.49105233 0.49393123 0.49105211 0.48872339 0.48691605 0.48269631
 0.48205608 0.48749405 0.48690604 0.49032546 0.49181791 0.49251586
 0.49321387 0.48941558 0.49518447 0.49693599 0.49351602 0.49670286
 0.49238304 0.49009207 0.48869065 0.48688937 0.48860614 0.48471707
 0.4890561  0.49051114 0.48946017 0.49050336 0.49081315 0.48928107
 0.48922517 0.48968231 0.48756099 0.486647   0.48785623 0.48805811
 0.48882684 0.48579883 0.48780987 0.48824609 0.4888847  0.48632712
 0.48564869 0.48662171 0.48556313 0.48517323 0.48377219 0.48181735
 0.48321293 0.48329996 0.48219962 0.48419577 0.48520743 0.48381308
 0.48354163 0.48369939 0.48518623 0.48458635 0.48519013 0.48523767
 0.48512189 0.48474414 0.4846422  0.48468082 0.48550084 0.48657715
 0.48881217 0.4887416  0.48735128 0.4863964  0.48729905]",visual,idle
contrastive+VAE,8,"[0.         0.05300615 0.09913364 0.12799941 0.16557437 0.19572317
 0.20330757 0.2189563  0.2390742  0.26411343 0.28415985 0.27665292
 0.28522791 0.30744663 0.30129626 0.29692077 0.29586346 0.30717971
 0.31391585 0.32237909 0.32604554 0.32618156 0.33026306 0.33249602
 0.34532054 0.35660911 0.35933098 0.37004127 0.37410567 0.37526415
 0.37720748 0.38655145 0.39282598 0.40029919 0.40871833 0.42292931
 0.42664654 0.43252462 0.43168881 0.43601434 0.43326856 0.43535744
 0.43190175 0.449443   0.46194393 0.46087758 0.46274039 0.46052252
 0.46264437 0.45976682 0.45876251 0.46390698 0.45877121 0.46198816
 0.46156594 0.46482509 0.464493   0.46718708 0.46441772 0.46263307
 0.46640744 0.46718659 0.47235008 0.4737152  0.47217129 0.47548144
 0.47824422 0.47459533 0.47884129 0.48128822 0.47957641 0.48221679
 0.48140498 0.48048458 0.48094835 0.48191493 0.48544972 0.4896727
 0.49165151 0.49552621 0.49832441 0.49804465 0.49587439 0.49781971
 0.50201632 0.50644016 0.50865472 0.50790988 0.50993501 0.50829612
 0.50987392 0.51342799 0.51566276 0.51702069 0.52127842 0.5243919
 0.52624074 0.52647128 0.5279158  0.52736514 0.52564476]","[0.         0.388419   0.44091455 0.45752366 0.46591702 0.47197327
 0.49344447 0.50913526 0.52047591 0.51710501 0.51876102 0.53826182
 0.54022428 0.54530245 0.55055712 0.56200848 0.55533762 0.55143793
 0.55130621 0.54308268 0.54761936 0.55237815 0.54690158 0.54566035
 0.54211253 0.53710498 0.53256128 0.53102826 0.52718926 0.52302471
 0.52165096 0.52842961 0.53001967 0.52744774 0.51890608 0.5102263
 0.50379239 0.5067133  0.50677899 0.50495871 0.50622447 0.50722572
 0.50661607 0.49271922 0.48667441 0.48685344 0.48683526 0.49217146
 0.49126565 0.49570428 0.492909   0.48628317 0.48983466 0.4926301
 0.49674905 0.49292293 0.49588906 0.49819262 0.50170031 0.5035571
 0.50529051 0.50525762 0.50836043 0.50485952 0.5065063  0.50454808
 0.50206296 0.50437925 0.50204503 0.5008106  0.50139121 0.49769593
 0.49770318 0.49751607 0.4969703  0.49502364 0.4925206  0.49101214
 0.48911696 0.49010372 0.48752757 0.48795524 0.49080549 0.49329457
 0.4916478  0.4877128  0.48586489 0.48321661 0.48359464 0.48556029
 0.48585264 0.4830026  0.47920756 0.47749451 0.4756185  0.47638398
 0.47840495 0.47642473 0.47735845 0.47824612 0.47832046]",auditory,idle
VAE,8,"[0.         0.23912047 0.21997271 0.23224534 0.21208049 0.19880296
 0.18808347 0.18763193 0.17805679 0.17097285 0.17339873 0.17536591
 0.16357481 0.16745571 0.17061746 0.16831277 0.16533817 0.16162171
 0.16317877 0.1680953  0.16632706 0.16391947 0.16839958 0.17495126
 0.17275093 0.17402612 0.16704461 0.16655716 0.16479947 0.16553615
 0.16677851 0.16816721 0.16690442 0.16953076 0.16942946 0.17136202
 0.17152016 0.17155585 0.17366315 0.17578282 0.1758288  0.17959008
 0.17867586 0.18120947 0.18028055 0.17872088 0.18045085 0.17977848
 0.17946035 0.17840518 0.17871323 0.17766102 0.18049427 0.17993101
 0.17707467 0.176324   0.17815545 0.17705169 0.17812715 0.17881231
 0.17949274 0.17890017 0.17878174 0.17876789 0.17954654 0.18048613
 0.18228309 0.18397355 0.18448859 0.18340063 0.18206585 0.183009
 0.18285025 0.18086974 0.18068386 0.18069121 0.18095342 0.1801135
 0.18068651 0.18143452 0.18150279 0.18034992 0.17962635 0.18079759
 0.18073346 0.1816145  0.18210231 0.18088148 0.17968738 0.178603
 0.17860801 0.17822399 0.17861224 0.17964663 0.1802086  0.18030481
 0.17996348 0.17964779 0.1792847  0.17993941 0.17916777]","[0.         0.36426734 0.36737724 0.34977319 0.34419536 0.33948845
 0.32765979 0.33245796 0.32873274 0.34141482 0.33613386 0.33311407
 0.32755147 0.32753856 0.32199553 0.32465525 0.32599905 0.32929803
 0.32848805 0.33205993 0.33337464 0.32948476 0.33070815 0.32794567
 0.32420943 0.32689738 0.32917308 0.33337309 0.32996618 0.32638829
 0.32702974 0.33202822 0.33703621 0.33623884 0.33306708 0.3314179
 0.33001832 0.33372453 0.33245687 0.33077656 0.33241648 0.33401869
 0.33546391 0.33339147 0.3364399  0.34113181 0.34112477 0.3419987
 0.34156326 0.3398129  0.34059148 0.34134344 0.34122889 0.34328376
 0.3427416  0.34250424 0.34433703 0.34377779 0.34563391 0.34376212
 0.34428799 0.34318198 0.34216636 0.34245614 0.34325167 0.34376274
 0.34411913 0.34582986 0.34674887 0.34833845 0.34799638 0.34771706
 0.34699028 0.34805469 0.34783438 0.34725211 0.34658057 0.34610408
 0.34761341 0.34758351 0.34777493 0.35073317 0.35125811 0.35011689
 0.35061422 0.35129234 0.35098659 0.35082247 0.35150046 0.35305238
 0.35434494 0.3550523  0.35493999 0.35529902 0.35497315 0.3549906
 0.35472577 0.35445459 0.354406   0.35540969 0.35470944]",kinetic,idle
