method,dim_embedding,m,std,modality,signal,pid
contrastive,8,"[0.         0.06456749 0.10915096 0.10348904 0.14553236 0.28239195
 0.28540435 0.35495955 0.3940292  0.39226884 0.45251663 0.44864512
 0.45159553 0.47307015 0.43625273 0.4834642  0.45192399 0.44142558
 0.47929707 0.50209941 0.51575605 0.51218846 0.514169   0.54929791
 0.55785819 0.54167285 0.5383795  0.54765912 0.55474903 0.55299066
 0.58097542 0.58531518 0.59792353 0.60865065 0.61167937 0.60969567
 0.61066288 0.61251101 0.60610577 0.60869212 0.60570403 0.61308659
 0.60904936 0.60478723 0.6016032  0.60511453 0.6031618  0.60092811
 0.59520231 0.59591562 0.58897748 0.58841588 0.5823574  0.58575215
 0.58839948 0.58916867 0.593349   0.59468894 0.59782047 0.59839274
 0.59845551 0.60343146 0.60287508 0.60306769 0.6023015  0.6073561
 0.60511941 0.6052783  0.60751468 0.61266753 0.61156909 0.60691571
 0.60905397 0.60704203 0.60911346 0.60806256 0.60136189 0.59930371
 0.60301709 0.60507211 0.60509132 0.60462841 0.60955311 0.60316145
 0.60506234 0.60737721 0.60797932 0.60681924 0.61246742 0.61312903
 0.61164738 0.6143945  0.62026219 0.62292294 0.62337866 0.62874877
 0.62787757 0.62705645 0.62757492 0.62711271 0.62685981]","[0.         0.37559136 0.39681884 0.47564797 0.44371974 0.41264595
 0.35479863 0.31339138 0.28700363 0.28956831 0.24034184 0.27930175
 0.25798263 0.2542623  0.30711205 0.24789124 0.26340896 0.31825447
 0.27354928 0.2540317  0.24489612 0.19840733 0.20136343 0.13621637
 0.13115536 0.15096368 0.15363031 0.13701979 0.14536413 0.15188134
 0.1263488  0.11393055 0.10411111 0.11302479 0.1082428  0.10924814
 0.10326434 0.09820206 0.09489981 0.10417652 0.1127039  0.11602335
 0.11129345 0.1107117  0.11763507 0.11969786 0.11338315 0.1162317
 0.1092683  0.09681531 0.09764963 0.08971516 0.08565985 0.0826881
 0.09100172 0.09666444 0.09318118 0.09142002 0.08828082 0.08480528
 0.07863223 0.08112509 0.08293943 0.08470892 0.07866819 0.08147736
 0.08715578 0.08417088 0.07738747 0.0772217  0.07902451 0.07670717
 0.07266565 0.08055484 0.0737581  0.07968155 0.08275441 0.08059503
 0.07971132 0.07766503 0.07838079 0.0747156  0.07277367 0.07052489
 0.07049415 0.068259   0.06744822 0.06822491 0.06585209 0.06246566
 0.05948131 0.05981115 0.0574177  0.05687123 0.05926906 0.05722951
 0.05237534 0.05358563 0.05212878 0.05141764 0.05497997]",auditory,searching,20
contrastive,8,"[0.         0.18384819 0.15812034 0.12483072 0.17694451 0.21982948
 0.18839575 0.20959069 0.23526009 0.22777182 0.22066002 0.20557861
 0.21887298 0.24809024 0.22592331 0.28930333 0.25050778 0.21574128
 0.25832142 0.26283465 0.27378917 0.26226738 0.25143427 0.24019517
 0.2343346  0.23591882 0.23476485 0.27304759 0.28128334 0.26595819
 0.27529032 0.29547238 0.29604826 0.31879369 0.33453751 0.3463994
 0.33597332 0.32466373 0.32265803 0.30873758 0.3138818  0.30945614
 0.30537727 0.31005821 0.31055796 0.32228137 0.3121433  0.30809744
 0.29755228 0.29299295 0.29601215 0.2955084  0.29482839 0.30437533
 0.30781387 0.31333583 0.31347377 0.31222452 0.31495518 0.30877294
 0.30988043 0.30622375 0.29346689 0.29285765 0.29880002 0.31833865
 0.32023162 0.33299071 0.33611607 0.33636609 0.33309367 0.33324136
 0.33197993 0.32816828 0.33185405 0.32943259 0.314226   0.31527353
 0.31860613 0.31461403 0.31690788 0.31853283 0.31358691 0.31212155
 0.30436783 0.30321825 0.30024777 0.30601605 0.307527   0.30510404
 0.30349675 0.30910837 0.317431   0.31465382 0.3211581  0.32619489
 0.32931972 0.3310734  0.3279136  0.32416465 0.32050869]","[0.         0.51693243 0.52797163 0.59265346 0.58809184 0.58406574
 0.55879695 0.54527083 0.55276446 0.55030191 0.55595391 0.56265736
 0.5454193  0.50683231 0.50040967 0.48003423 0.4924584  0.51445522
 0.49256736 0.49685106 0.49194548 0.48227254 0.48299456 0.48512677
 0.47638644 0.46775085 0.46211929 0.43541659 0.42702734 0.42001456
 0.42244935 0.40913372 0.41411008 0.41381105 0.40426257 0.38338911
 0.39772611 0.40863011 0.4085305  0.42827156 0.42197259 0.43296333
 0.42694709 0.41747324 0.41741578 0.41393877 0.40737941 0.40863925
 0.41978993 0.41725576 0.40782645 0.40759234 0.39669824 0.39235638
 0.39045995 0.38375799 0.38163118 0.38079214 0.37971964 0.38370405
 0.3781769  0.3868181  0.3999646  0.39884133 0.38960315 0.37228915
 0.37132594 0.35768218 0.35660825 0.36019635 0.35901839 0.35174055
 0.35199594 0.35550927 0.35578682 0.35548547 0.36568936 0.36680337
 0.37188174 0.37667781 0.3721291  0.36245083 0.36890198 0.36566644
 0.37197454 0.37240145 0.36820609 0.3583493  0.36050728 0.36117412
 0.36217859 0.35868441 0.35915011 0.36031095 0.35107977 0.34891083
 0.34530584 0.34111531 0.34091491 0.34471053 0.34762115]",auditory,has_item,11
contrastive,8,"[0.         0.19641009 0.15214208 0.11088242 0.16698949 0.21117389
 0.18535188 0.20959821 0.24111095 0.21689547 0.2115966  0.20808498
 0.21651341 0.25171542 0.23501202 0.27778696 0.25386606 0.23774024
 0.26565312 0.27271147 0.28968748 0.27039192 0.26428012 0.25307657
 0.2435269  0.23947289 0.2367774  0.26098601 0.26475895 0.25967706
 0.26232791 0.27083483 0.26540816 0.28101813 0.29149767 0.29764863
 0.29580012 0.29031219 0.29059418 0.28397343 0.28668644 0.28540403
 0.27993426 0.27948008 0.27525105 0.28692577 0.28107355 0.27766889
 0.27501057 0.26999993 0.26708295 0.26674441 0.26646816 0.27529797
 0.27919217 0.27927555 0.28322947 0.27947062 0.2781037  0.27574037
 0.2774468  0.27703737 0.26786757 0.26357138 0.26738876 0.27853926
 0.28078386 0.28625714 0.28675519 0.28521659 0.28632486 0.28538617
 0.28297178 0.27986894 0.28196482 0.27938616 0.27424474 0.27217537
 0.27518501 0.27420889 0.27573292 0.27384708 0.26691463 0.26794346
 0.26541332 0.26234074 0.26084705 0.26412575 0.26654482 0.26554935
 0.26768742 0.27333811 0.27738133 0.2754196  0.27771525 0.28320195
 0.28644085 0.28859371 0.2863568  0.28314789 0.2832995 ]","[0.         0.49036707 0.4916505  0.54351602 0.54842605 0.54047526
 0.52095208 0.50251379 0.50102857 0.51144598 0.50435636 0.50398339
 0.49288558 0.4583358  0.44317686 0.42914657 0.43433882 0.44987917
 0.43006934 0.43327821 0.42894088 0.42645337 0.42615075 0.43017022
 0.42377847 0.4170364  0.411081   0.39365663 0.38964484 0.38039561
 0.38467549 0.37459978 0.38337367 0.38263005 0.37849009 0.36666423
 0.37406333 0.37928603 0.37682229 0.38969076 0.38115254 0.39113279
 0.3849176  0.3756335  0.3771289  0.37114737 0.36593206 0.3680786
 0.37275856 0.36905013 0.36339644 0.36261651 0.35328226 0.35157917
 0.34834934 0.34325478 0.33899484 0.33820352 0.33803903 0.33891133
 0.33576686 0.33887697 0.34814874 0.3451851  0.33944655 0.32690212
 0.32463501 0.31658678 0.31628592 0.31928439 0.31688508 0.31238782
 0.31523917 0.31840651 0.3200474  0.31959829 0.32358834 0.32463261
 0.32625973 0.32972731 0.32635187 0.32032552 0.32514563 0.32156228
 0.32342316 0.32438309 0.32042711 0.31390698 0.31493545 0.31462817
 0.31426056 0.30952209 0.31153985 0.3117475  0.30551872 0.30295374
 0.30064303 0.29611152 0.29580507 0.29909359 0.29956141]",auditory,searching,2
contrastive,8,"[0.         0.11198084 0.10181206 0.05196443 0.06722844 0.09857897
 0.08106373 0.10795068 0.13003538 0.10112084 0.07461169 0.06753112
 0.06121606 0.08386841 0.07531211 0.11105122 0.08423384 0.06880649
 0.09188191 0.0941292  0.10784649 0.09468996 0.08068772 0.07935337
 0.07056763 0.06818801 0.06031206 0.07891393 0.07841615 0.0745404
 0.07680403 0.08051053 0.07758644 0.08930132 0.09711324 0.10686338
 0.10442738 0.10245288 0.10227074 0.09499458 0.09400076 0.08943437
 0.07957512 0.07690033 0.07475315 0.0878349  0.07641477 0.07214257
 0.0709768  0.06717505 0.06480647 0.06582575 0.06334283 0.06934891
 0.07137205 0.07182305 0.07083431 0.06816527 0.0687206  0.06848562
 0.06831303 0.0689797  0.06103948 0.05579701 0.05932773 0.06816485
 0.0699201  0.07386799 0.070401   0.06888632 0.06890744 0.06927177
 0.06605299 0.06439264 0.06484218 0.06328263 0.05835838 0.05460485
 0.05678736 0.05440514 0.05502945 0.05503782 0.04938941 0.051008
 0.04880948 0.04477732 0.04320411 0.04642295 0.04844501 0.0481336
 0.0490548  0.05357771 0.05510621 0.05291084 0.05391636 0.05860518
 0.06063215 0.0607838  0.05818824 0.05670304 0.05788462]","[0.         0.48023139 0.46925608 0.52789428 0.53838972 0.53322619
 0.51453404 0.50070642 0.50594543 0.51408795 0.52813427 0.52722063
 0.53339227 0.51460287 0.49569755 0.49223568 0.49090693 0.4985232
 0.49006806 0.49491287 0.4968724  0.4894739  0.49602278 0.49028937
 0.48411633 0.47704487 0.47747004 0.4716901  0.47412125 0.46824912
 0.47296263 0.47254233 0.47299958 0.47648228 0.47800201 0.46783467
 0.47229107 0.47283666 0.47235192 0.48070734 0.47920412 0.48983846
 0.49113994 0.49018969 0.49087008 0.48491308 0.48676469 0.48750835
 0.48767616 0.48326199 0.48034424 0.47788637 0.47498713 0.47659559
 0.47728259 0.47384039 0.47782514 0.47570493 0.47292647 0.47105802
 0.47199006 0.47071682 0.47395276 0.47386253 0.47092297 0.46688938
 0.46661174 0.46439075 0.46938036 0.47073819 0.47103762 0.46665504
 0.46887333 0.46798867 0.47148498 0.46918946 0.47102686 0.47353784
 0.47561193 0.47882772 0.47831937 0.47255045 0.47315355 0.4708425
 0.47147679 0.47318796 0.4712081  0.46806441 0.46884377 0.46761969
 0.46907343 0.46807903 0.47281377 0.47311499 0.47204409 0.47182456
 0.47242755 0.47302877 0.47353211 0.47259796 0.47134829]",auditory,searching,8
contrastive,8,"[0.         0.09519456 0.08385988 0.06673073 0.08696314 0.12222822
 0.1166513  0.1585813  0.1779471  0.15511326 0.12483086 0.11460762
 0.11682692 0.13119184 0.11726921 0.15219208 0.12929694 0.11770369
 0.13715422 0.13658816 0.15000693 0.13799222 0.13212957 0.12864009
 0.12359192 0.12066733 0.11442645 0.1318281  0.1292138  0.12716253
 0.12856865 0.13082521 0.1275042  0.13487154 0.14191509 0.15173108
 0.15120434 0.15001334 0.15226926 0.14714019 0.14723169 0.14412911
 0.13617058 0.13391479 0.13228522 0.1408328  0.1308042  0.12590495
 0.12589109 0.12313943 0.12065808 0.11858689 0.11353731 0.11892715
 0.12186408 0.12393688 0.12175222 0.1204951  0.12100921 0.11995392
 0.11875355 0.1196375  0.11355415 0.11024612 0.11334168 0.1197411
 0.12281196 0.12592365 0.12342136 0.12284904 0.12334416 0.12274173
 0.12036975 0.11980952 0.11997569 0.11974211 0.11639198 0.11298891
 0.1143376  0.11239125 0.113098   0.11392201 0.10982455 0.11059493
 0.10891857 0.10479606 0.10381926 0.10602018 0.10770193 0.10603574
 0.10664507 0.10980643 0.10992149 0.1090239  0.11044418 0.11434522
 0.1164854  0.11740175 0.11519388 0.11413742 0.11610149]","[0.         0.45613    0.45002425 0.50460951 0.52107818 0.51111444
 0.49275074 0.48970382 0.49622359 0.50179648 0.50707268 0.50556711
 0.51298827 0.49130583 0.47232587 0.47024926 0.46833381 0.47337087
 0.46200572 0.46554655 0.46398112 0.4571728  0.46472634 0.45831724
 0.45397142 0.4495181  0.45037115 0.44371618 0.44469433 0.43957083
 0.44289715 0.44245559 0.44269043 0.44331546 0.44329224 0.4356613
 0.43980185 0.4404196  0.44104945 0.44948279 0.44810427 0.45721154
 0.45921557 0.45820088 0.45922575 0.45127085 0.45307839 0.45349574
 0.45429504 0.45085813 0.44881433 0.4455216  0.44111894 0.44219379
 0.44282323 0.44043881 0.44295237 0.44138105 0.43936368 0.43758525
 0.43792912 0.43661286 0.43967652 0.4406748  0.43809876 0.43244117
 0.43305077 0.43060574 0.43551613 0.43697177 0.43728607 0.43285732
 0.435331   0.435277   0.43829737 0.43713932 0.43926459 0.44165077
 0.44300605 0.44599866 0.44548362 0.44080212 0.44213136 0.43971933
 0.4403971  0.44151089 0.43998307 0.43675575 0.43741629 0.43559717
 0.43694844 0.43553097 0.43888074 0.43969499 0.43884443 0.43836083
 0.43887341 0.43979955 0.44037657 0.43961249 0.43888232]",auditory,searching,5
contrastive,8,"[0.         0.08014204 0.05181684 0.04237069 0.05570659 0.06876462
 0.05648311 0.08612089 0.08874157 0.07092189 0.04240984 0.03121025
 0.03479806 0.04639875 0.0357135  0.05974926 0.03866797 0.034105
 0.05631924 0.05617741 0.06875638 0.06106782 0.05694527 0.05077107
 0.04178437 0.03922123 0.03615968 0.04937149 0.04605826 0.0457488
 0.04834997 0.05364097 0.05262119 0.05817562 0.06158632 0.07042809
 0.07208998 0.0742262  0.07302522 0.06820656 0.06711325 0.06650562
 0.05935479 0.05872582 0.05717418 0.06403918 0.05431951 0.04986378
 0.05094047 0.04767779 0.04493541 0.04192285 0.03738544 0.04103653
 0.04341648 0.0463501  0.0450666  0.04145826 0.04218894 0.04172098
 0.03923462 0.03888365 0.03424283 0.03181414 0.0334696  0.03749271
 0.03890989 0.04052288 0.03870245 0.0393122  0.03884193 0.03876578
 0.03612834 0.03578025 0.03529797 0.03414345 0.02979523 0.02645602
 0.02853226 0.0263881  0.02719438 0.02866767 0.02495443 0.02576792
 0.02466932 0.02065539 0.01980984 0.02175378 0.02306237 0.02128845
 0.02202537 0.02458954 0.02492861 0.02433829 0.02477764 0.02760591
 0.02982394 0.03045094 0.02779732 0.02712471 0.02898226]","[0.         0.43345461 0.43869158 0.4838213  0.4983804  0.49815456
 0.4866572  0.48727823 0.50344325 0.50446544 0.50582556 0.50401841
 0.50748826 0.49065246 0.47198864 0.47981543 0.47650558 0.47490909
 0.46453703 0.46599585 0.46519782 0.45625857 0.46251193 0.4595472
 0.45731587 0.45348555 0.45044575 0.44884935 0.45036906 0.44463625
 0.44595918 0.44274463 0.44108099 0.44265312 0.44617445 0.44030133
 0.44185181 0.43945092 0.44328882 0.44952997 0.44933244 0.45459748
 0.45587871 0.45393486 0.45403116 0.44845662 0.44984369 0.44971801
 0.44926311 0.44704459 0.44573599 0.44313792 0.43925015 0.44137134
 0.44256513 0.43971179 0.44116794 0.441798   0.44005085 0.43819062
 0.43957875 0.43954124 0.44077859 0.44076747 0.43978301 0.43730612
 0.43943133 0.43867364 0.4419747  0.44219988 0.44354706 0.43939393
 0.44179285 0.44165878 0.44464484 0.44463869 0.44720075 0.44889393
 0.44950193 0.45193398 0.45132649 0.44683377 0.44750831 0.44560757
 0.44565864 0.44635052 0.445162   0.44262663 0.44317219 0.44176311
 0.44257916 0.44188307 0.44442473 0.44473003 0.44490652 0.44542177
 0.44569897 0.44671366 0.44766591 0.44660085 0.44606691]",auditory,has_information,35
contrastive,8,"[ 0.          0.00803267 -0.0141864  -0.00924521  0.0053335   0.02425579
  0.0144755   0.03022899  0.03090866  0.01873925 -0.0053691  -0.02088873
 -0.01282405 -0.0115207  -0.02286059 -0.00740896 -0.02423066 -0.03185848
 -0.01357692 -0.01662378 -0.00875586 -0.01833797 -0.02550737 -0.03274509
 -0.03930757 -0.0387311  -0.04000099 -0.0281856  -0.03151839 -0.03329521
 -0.03269351 -0.02747667 -0.0266969  -0.02165641 -0.01658291 -0.00885872
 -0.00443394 -0.0053413  -0.00684197 -0.00766694 -0.00825158 -0.00975424
 -0.01677661 -0.01977514 -0.02197723 -0.01454215 -0.02377915 -0.0273445
 -0.02644035 -0.02867089 -0.03211379 -0.03588953 -0.0391874  -0.03702754
 -0.03323666 -0.03062644 -0.03234854 -0.03415935 -0.03551193 -0.0370092
 -0.03818499 -0.03806612 -0.04267729 -0.04532794 -0.04263991 -0.04014917
 -0.03809671 -0.03934171 -0.04173322 -0.04042295 -0.04075804 -0.04151437
 -0.04367705 -0.04477101 -0.04591528 -0.04737592 -0.05024022 -0.05414232
 -0.05267686 -0.0546227  -0.05503559 -0.0530395  -0.05675234 -0.05624636
 -0.05707016 -0.06129411 -0.06220269 -0.06003016 -0.05865663 -0.06072695
 -0.05944424 -0.05764589 -0.05765045 -0.05834654 -0.05801201 -0.05530731
 -0.05279869 -0.05204693 -0.05399785 -0.05488019 -0.05388195]","[0.         0.44984761 0.45138165 0.4820143  0.49901748 0.4966056
 0.48149255 0.48885599 0.50451957 0.49925175 0.50040161 0.49800041
 0.49542415 0.48708504 0.47220837 0.4873854  0.48085358 0.48081353
 0.47605413 0.47763124 0.4816467  0.47789676 0.48647063 0.48597902
 0.48188281 0.47505986 0.46916183 0.46848907 0.46856626 0.46353216
 0.46663884 0.46353258 0.46009433 0.46113387 0.46239539 0.45747308
 0.45598863 0.45668982 0.46021276 0.46127283 0.46108426 0.46581022
 0.46707479 0.46735983 0.46827298 0.46258302 0.46392907 0.46317777
 0.46196128 0.45897687 0.45829622 0.45715666 0.45295104 0.45579738
 0.45569519 0.45393516 0.4554306  0.45456134 0.45512821 0.45347997
 0.45333377 0.45207952 0.45228575 0.45277062 0.45151905 0.45072081
 0.45159587 0.45352502 0.45695343 0.45610801 0.45706533 0.45416601
 0.45553006 0.45630698 0.45953943 0.45933262 0.45988929 0.46166383
 0.46285964 0.46464392 0.4653508  0.4610483  0.46178305 0.4603346
 0.46018526 0.4611484  0.45999501 0.45742796 0.45788359 0.45717099
 0.45724401 0.45763033 0.46014724 0.46036841 0.4608251  0.46127877
 0.46114389 0.46189618 0.46186509 0.46100261 0.46155753]",auditory,idle,41
contrastive,8,"[ 0.         -0.0384565  -0.04197305 -0.039093   -0.01902858 -0.0059242
 -0.00900016  0.0086095   0.01293954  0.00690085 -0.01622827 -0.03180421
 -0.02356191 -0.02955121 -0.04094222 -0.02719988 -0.04333484 -0.05030903
 -0.0363354  -0.03481611 -0.02924279 -0.03412653 -0.03815422 -0.04324721
 -0.04989086 -0.05069367 -0.04887214 -0.03688656 -0.04184588 -0.04284865
 -0.04341017 -0.03736602 -0.03577334 -0.03350417 -0.03058517 -0.02559784
 -0.02448838 -0.02671291 -0.02595518 -0.02608736 -0.02578713 -0.02705699
 -0.03604089 -0.03977388 -0.04093876 -0.03368446 -0.04056639 -0.04379203
 -0.0440419  -0.04592759 -0.05050051 -0.05462222 -0.05786134 -0.05688268
 -0.05319142 -0.05057468 -0.05030709 -0.05090107 -0.05357111 -0.05482306
 -0.05432402 -0.05376226 -0.05677916 -0.05865759 -0.05483054 -0.05154647
 -0.04875228 -0.05186514 -0.05353695 -0.05107328 -0.05103652 -0.05162489
 -0.0555179  -0.05574174 -0.05633231 -0.05908878 -0.06230639 -0.06564555
 -0.06565324 -0.06620795 -0.06691175 -0.06433877 -0.06817575 -0.06757168
 -0.06827457 -0.07259711 -0.07438682 -0.0725147  -0.07157972 -0.07113699
 -0.06898151 -0.06753176 -0.06750087 -0.06685282 -0.06690149 -0.0643483
 -0.06135659 -0.06169941 -0.06349717 -0.06537241 -0.06398597]","[0.         0.45455747 0.45778568 0.4865818  0.50735999 0.50623513
 0.4812145  0.48297068 0.4991088  0.49675129 0.49666373 0.49408681
 0.49016903 0.48138363 0.46437681 0.47995669 0.47012355 0.46927937
 0.46540557 0.46723371 0.47213689 0.46709992 0.47138609 0.47070826
 0.46654104 0.46001846 0.45546323 0.45420944 0.45379741 0.4502578
 0.45234145 0.44710851 0.44363458 0.44560452 0.44586021 0.44322131
 0.44262809 0.4419899  0.44554451 0.44599964 0.44413449 0.44770417
 0.44860581 0.44834627 0.44854797 0.44383519 0.44416117 0.44259641
 0.44020382 0.43693782 0.43610951 0.43542932 0.43149824 0.43376828
 0.43381462 0.43227539 0.43276627 0.43127416 0.43217172 0.43006864
 0.42964702 0.42806394 0.42807528 0.42853157 0.42722427 0.42664976
 0.42756198 0.42935829 0.43274925 0.43162006 0.43228558 0.42914602
 0.42993525 0.43018608 0.43345688 0.43298066 0.43299317 0.43458368
 0.43612719 0.43763027 0.43827988 0.43399442 0.4345815  0.43329269
 0.4334923  0.43450642 0.43360041 0.4313543  0.43171615 0.43089593
 0.43080527 0.43105543 0.43355448 0.43332575 0.43411725 0.4345021
 0.43435805 0.43514567 0.43497341 0.43445942 0.43471465]",auditory,idle,17
contrastive,8,"[ 0.         -0.06256035 -0.05981531 -0.04846902 -0.02212307 -0.01176568
 -0.01325795  0.00808728  0.0123072   0.01121127 -0.00913812 -0.02280183
 -0.01167403 -0.01567467 -0.02759117 -0.01650858 -0.02976125 -0.03650755
 -0.0224589  -0.02472578 -0.01938566 -0.02249665 -0.0198428  -0.02366509
 -0.03176808 -0.03609883 -0.03674365 -0.02420747 -0.02557166 -0.02574225
 -0.02644535 -0.02178423 -0.01762907 -0.01516057 -0.00902253 -0.00803417
 -0.00757909 -0.00616271 -0.00413228 -0.00732697 -0.00683627 -0.00510196
 -0.01117665 -0.01614339 -0.01456763 -0.00645258 -0.01247838 -0.01394277
 -0.01463568 -0.01667181 -0.02096636 -0.02705871 -0.02834361 -0.02663411
 -0.02248895 -0.02025813 -0.01922932 -0.02065346 -0.02312798 -0.02337043
 -0.02292036 -0.02209699 -0.02555318 -0.02889423 -0.02501147 -0.02201634
 -0.01934632 -0.02384161 -0.02523247 -0.02284196 -0.02424264 -0.02226766
 -0.02533626 -0.02540105 -0.02573175 -0.02789772 -0.03005359 -0.03305456
 -0.03318237 -0.03264009 -0.03313895 -0.03141362 -0.03395691 -0.03357253
 -0.0339043  -0.03764324 -0.03980412 -0.03701689 -0.03660892 -0.03701168
 -0.03541963 -0.03442187 -0.0342683  -0.03361171 -0.03358371 -0.02941534
 -0.02498033 -0.02476104 -0.02527446 -0.02626855 -0.02466839]","[0.         0.4602865  0.46332239 0.48252565 0.50188734 0.49708604
 0.48168156 0.48360434 0.49865084 0.49449542 0.48974999 0.49250949
 0.4870869  0.47731952 0.4602899  0.47124106 0.46415725 0.46144227
 0.45538229 0.4569419  0.46313976 0.46123467 0.46517849 0.46289858
 0.46233099 0.45501612 0.45248979 0.44858488 0.44732329 0.44309331
 0.44372719 0.43892396 0.43407136 0.43443906 0.43607721 0.43131437
 0.42925612 0.42992707 0.43301266 0.43295166 0.43083667 0.43670779
 0.43802448 0.43694388 0.43744612 0.43340156 0.43411749 0.43405555
 0.43087505 0.42757326 0.42654313 0.42479151 0.42271956 0.42443135
 0.4250617  0.42264768 0.42352063 0.42190723 0.42348759 0.42242668
 0.42180557 0.42078048 0.42123648 0.42082773 0.41974539 0.4178484
 0.41862412 0.41976443 0.42355369 0.42237222 0.42162857 0.42016816
 0.42033649 0.42059536 0.42373643 0.42454454 0.42536161 0.42735764
 0.42857813 0.43061533 0.4310414  0.42641056 0.42778949 0.42553513
 0.42575947 0.42725107 0.42654899 0.42452392 0.42453696 0.42307709
 0.42184681 0.4216734  0.4239604  0.42334828 0.42411176 0.42496019
 0.42535825 0.42626928 0.42704574 0.4272728  0.42756509]",auditory,idle,26
contrastive,8,"[ 0.         -0.00810492  0.00668293  0.01295608  0.04284836  0.05301614
  0.04791528  0.06843284  0.07072143  0.07110777  0.0560323   0.0445822
  0.05810475  0.05418851  0.04421934  0.05641298  0.04540658  0.04030077
  0.0549361   0.05326382  0.05907261  0.0560151   0.05695388  0.05412364
  0.04698565  0.04340357  0.04254052  0.05420416  0.05443066  0.05382048
  0.05283674  0.05735856  0.06110174  0.06412266  0.06944133  0.07142821
  0.07089248  0.071628    0.07396106  0.07135276  0.07221473  0.07421003
  0.06919808  0.06438484  0.06570953  0.07232743  0.06688412  0.06635044
  0.06565503  0.0644107   0.06022851  0.05458463  0.0532967   0.05523924
  0.05915933  0.06102937  0.06167104  0.06053305  0.05863005  0.05827852
  0.0587167   0.0594057   0.05623148  0.05337066  0.05663234  0.05934584
  0.0616327   0.05736598  0.0564019   0.05844191  0.05729385  0.05876922
  0.05586145  0.05559337  0.0550445   0.05351724  0.0514995   0.04919771
  0.04899373  0.04957103  0.04868898  0.05017317  0.0481683   0.04856604
  0.04830524  0.04485289  0.04296055  0.04560838  0.04605112  0.04563964
  0.04708278  0.04793534  0.04811759  0.04881263  0.04872083  0.05217933
  0.05622833  0.05645638  0.05622301  0.05552003  0.05667522]","[0.         0.47346799 0.48631598 0.49826441 0.51766836 0.51371888
 0.49754516 0.50060365 0.51138832 0.50954817 0.50872703 0.51413978
 0.50970791 0.50118945 0.48890803 0.49951258 0.49619813 0.49594797
 0.49130241 0.49335026 0.49887494 0.49747171 0.49875651 0.49819034
 0.49939163 0.49466231 0.49265594 0.48823711 0.48884315 0.48476693
 0.48498959 0.48080717 0.47584657 0.47680574 0.47710169 0.47428385
 0.47141716 0.47090077 0.47365511 0.47449568 0.47335158 0.47858884
 0.48109542 0.48055527 0.48060738 0.47508526 0.47632557 0.47755485
 0.47493738 0.47327712 0.47254787 0.47180054 0.47012873 0.47193921
 0.47206857 0.46956036 0.46967171 0.46879475 0.47093267 0.46987258
 0.46932519 0.46829861 0.4691246  0.46955527 0.46775584 0.46579011
 0.46583933 0.46707908 0.47079145 0.46926489 0.46906902 0.46709025
 0.46749335 0.46735253 0.46959159 0.4712308  0.47214382 0.47483183
 0.4756997  0.47741079 0.47719057 0.47304379 0.47500382 0.47318395
 0.47346662 0.47513912 0.47501261 0.47314464 0.47319427 0.47197348
 0.47071794 0.47034074 0.47222916 0.47177312 0.4721916  0.47179434
 0.47153261 0.47227519 0.47334599 0.47395805 0.47351302]",auditory,has_information,23
