,pid,modality,method,embedding_size,accuracy
0,37,visual,pretrained,128,0.8958333333333334
1,31,visual,pretrained,128,0.875
2,25,visual,pretrained,128,0.9270833333333334
3,16,visual,pretrained,128,0.9479166666666666
4,22,visual,pretrained,128,0.96875
5,34,visual,pretrained,128,0.96875
6,4,visual,pretrained,128,0.90625
7,1,visual,pretrained,128,0.9270833333333334
8,40,visual,pretrained,128,0.9479166666666666
9,10,visual,pretrained,128,0.9479166666666666
10,7,visual,pretrained,128,0.90625
11,13,visual,pretrained,128,0.9479166666666666
12,19,visual,pretrained,128,0.9375
13,28,visual,pretrained,128,0.8958333333333334
14,20,auditory,pretrained,128,0.9479166666666666
15,11,auditory,pretrained,128,0.9375
16,2,auditory,pretrained,128,0.9270833333333334
17,8,auditory,pretrained,128,0.9479166666666666
18,5,auditory,pretrained,128,0.8854166666666666
19,35,auditory,pretrained,128,0.9375
20,41,auditory,pretrained,128,0.90625
21,17,auditory,pretrained,128,0.9375
22,26,auditory,pretrained,128,0.9166666666666666
23,23,auditory,pretrained,128,0.9479166666666666
24,14,auditory,pretrained,128,0.8819444378217062
25,38,auditory,pretrained,128,0.9270833333333334
26,32,auditory,pretrained,128,0.8958333333333334
27,29,auditory,pretrained,128,0.9479166666666666
28,12,kinetic,pretrained,128,0.8958333333333334
29,30,kinetic,pretrained,128,0.875
30,36,kinetic,pretrained,128,0.875
31,9,kinetic,pretrained,128,0.8333333333333334
32,39,kinetic,pretrained,128,0.84375
33,3,kinetic,pretrained,128,0.875
34,24,kinetic,pretrained,128,0.8958333333333334
35,33,kinetic,pretrained,128,0.8333333333333334
36,18,kinetic,pretrained,128,0.9166666666666666
37,15,kinetic,pretrained,128,0.8125
38,6,kinetic,pretrained,128,0.875
39,21,kinetic,pretrained,128,0.8229166666666666
40,27,kinetic,pretrained,128,0.875
41,42,kinetic,pretrained,128,0.8541666666666666
