,Unnamed: 0,pid,modality,method,embedding_size,accuracy
14,14,12,kinetic,contrastive,128,0.9625
15,15,30,kinetic,contrastive,128,0.9625
16,16,36,kinetic,contrastive,128,1.0
17,17,9,kinetic,contrastive,128,1.0
18,18,39,kinetic,contrastive,128,0.95
19,19,3,kinetic,contrastive,128,0.9875
20,20,24,kinetic,contrastive,128,0.9875
21,21,33,kinetic,contrastive,128,0.9875
22,22,18,kinetic,contrastive,128,0.975
23,23,15,kinetic,contrastive,128,0.975
24,24,6,kinetic,contrastive,128,0.9875
25,25,21,kinetic,contrastive,128,0.9375
26,26,27,kinetic,contrastive,128,0.975
54,54,12,kinetic,contrastive+VAE,128,0.95
55,55,30,kinetic,contrastive+VAE,128,0.9375
56,56,36,kinetic,contrastive+VAE,128,0.8375
57,57,9,kinetic,contrastive+VAE,128,1.0
58,58,39,kinetic,contrastive+VAE,128,0.925
59,59,3,kinetic,contrastive+VAE,128,0.925
60,60,24,kinetic,contrastive+VAE,128,0.9625
61,61,33,kinetic,contrastive+VAE,128,0.9416666626930236
62,62,18,kinetic,contrastive+VAE,128,0.975
63,63,15,kinetic,contrastive+VAE,128,0.975
64,64,6,kinetic,contrastive+VAE,128,0.9375
65,65,21,kinetic,contrastive+VAE,128,0.8375
66,66,27,kinetic,contrastive+VAE,128,0.9625
80,80,12,kinetic,VAE,128,0.9625
81,81,30,kinetic,VAE,128,0.9625
82,82,36,kinetic,VAE,128,0.825
83,83,9,kinetic,VAE,128,0.975
84,84,39,kinetic,VAE,128,0.9
85,85,3,kinetic,VAE,128,0.95
86,86,24,kinetic,VAE,128,0.9375
87,87,33,kinetic,VAE,128,0.975
88,88,18,kinetic,VAE,128,0.9875
89,89,15,kinetic,VAE,128,0.9875
90,90,6,kinetic,VAE,128,0.9125
91,91,21,kinetic,VAE,128,0.8
92,92,27,kinetic,VAE,128,0.95
93,93,12,kinetic,autoencoder,128,0.9625
94,94,30,kinetic,autoencoder,128,1.0
95,95,36,kinetic,autoencoder,128,0.975
